tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.137060682,left_link,medium,0.129012316
0.040000,0.136811668,left_link,medium,0.129012316
0.080000,0.135458870,left_link,medium,0.129012316
0.120000,0.132802073,left_link,medium,0.129012316
0.160000,0.129283133,left_link,medium,0.129012316
0.200000,0.125607052,left_link,medium,0.129012316
0.240000,0.122367869,left_link,medium,0.129012316
0.280000,0.119791177,left_link,medium,0.129012316
0.320000,0.117768914,left_link,medium,0.129012316
0.360000,0.116008217,left_link,medium,0.129012316
0.400000,0.114183851,left_link,medium,0.129012316
0.440000,0.112088049,left_link,medium,0.129012316
0.480000,0.109723571,left_link,medium,0.129012316
0.520000,0.107253281,left_link,medium,0.129012316
0.560000,0.104893473,left_link,medium,0.129012316
0.600000,0.102805625,left_link,medium,0.129012316
0.640000,0.100991109,left_link,medium,0.129012316
0.680000,0.099242508,left_link,medium,0.129012316
0.720000,0.097237293,left_link,medium,0.129012316
0.760000,0.094687243,left_link,medium,0.129012316
0.800000,0.091489470,left_link,medium,0.129012316
0.840000,0.087871261,left_link,medium,0.129012316
0.880000,0.084418817,left_link,medium,0.129012316
0.920000,0.081819613,left_link,medium,0.129012316
0.960000,0.080498639,left_link,medium,0.129012316
1.000000,0.080255670,left_link,medium,0.129012316
