tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.118616067,wrist1_Link,medium,0.129012316
0.040000,0.118510439,wrist1_Link,medium,0.129012316
0.080000,0.117938056,wrist1_Link,medium,0.129012316
0.120000,0.116773198,wrist1_Link,medium,0.129012316
0.160000,0.115223933,wrist1_Link,medium,0.129012316
0.200000,0.113622801,wrist1_Link,medium,0.129012316
0.240000,0.112226893,wrist1_Link,medium,0.129012316
0.280000,0.111126638,wrist1_Link,medium,0.129012316
0.320000,0.110269517,wrist1_Link,medium,0.129012316
0.360000,0.109527887,wrist1_Link,medium,0.129012316
0.400000,0.108764028,wrist1_Link,medium,0.129012316
0.440000,0.107892343,wrist1_Link,medium,0.129012316
0.480000,0.106916470,wrist1_Link,medium,0.129012316
0.520000,0.105905594,wrist1_Link,medium,0.129012316
0.560000,0.104948308,wrist1_Link,medium,0.129012316
0.600000,0.104108258,wrist1_Link,medium,0.129012316
0.640000,0.103383513,wrist1_Link,medium,0.129012316
0.680000,0.102651594,wrist2_Link,medium,0.129012316
0.720000,0.101764115,wrist2_Link,medium,0.129012316
0.760000,0.100643421,wrist2_Link,medium,0.129012316
0.800000,0.099250736,wrist2_Link,medium,0.129012316
0.840000,0.097692172,wrist2_Link,medium,0.129012316
0.880000,0.096222317,wrist2_Link,medium,0.129012316
0.920000,0.095127030,wrist2_Link,medium,0.129012316
0.960000,0.094574143,wrist2_Link,medium,0.129012316
1.000000,0.094472727,wrist2_Link,medium,0.129012316
