t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.46153206,-0.05607994,1.59171461,0.33523003,2.01687301,0.74932307,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.46152793,-0.05608046,1.59171622,0.33523477,2.01688243,0.74932380,-0.00121770,-0.00015100,0.00047550,0.00139934,0.00278183,0.00021600,-0.23545990,-0.02923199,0.09196991,0.27067702,0.53811482,0.04178444
0.020000,0.46150065,-0.05608384,1.59172688,0.33526614,2.01694479,0.74932864,-0.00455328,-0.00056592,0.00177897,0.00523613,0.01041002,0.00080837,-0.42414442,-0.05284848,0.16581229,0.48813041,0.97054777,0.07537235
0.030000,0.46143131,-0.05609247,1.59175397,0.33534590,2.01710338,0.74934096,-0.00955603,-0.00119056,0.00373568,0.01099739,0.02186599,0.00169810,-0.56946278,-0.07124048,0.22283601,0.65621458,1.30494315,0.10135584
0.040000,0.46130537,-0.05610819,1.59180323,0.33549091,2.01739172,0.74936335,-0.01580935,-0.00197462,0.00618399,0.01820870,0.03620758,0.00281211,-0.67482419,-0.08479898,0.26434997,0.77878398,1.54894527,0.12032701
0.050000,0.46111224,-0.05613234,1.59187880,0.33571345,2.01783426,0.74939772,-0.02293069,-0.00287173,0.00897535,0.02643420,0.05256907,0.00408324,-0.74363784,-0.09391500,0.29166303,0.85969304,1.71019845,0.13287796
0.060000,0.46084502,-0.05616586,1.59198342,0.33602165,2.01844719,0.74944534,-0.03057164,-0.00383941,0.01197428,0.03527655,0.07016120,0.00545024,-0.77931296,-0.09897952,0.30608409,0.90279617,1.79634698,0.13960079
0.070000,0.46050012,-0.05620924,1.59211856,0.33641984,2.01923920,0.74950686,-0.03841785,-0.00483912,0.01505842,0.04437695,0.08827114,0.00685780,-0.78525874,-0.10038356,0.30892203,0.91194781,1.81503519,0.14108762
0.080000,0.46007692,-0.05626263,1.59228451,0.33690898,2.02021221,0.74958246,-0.04618908,-0.00583619,0.01811847,0.05341518,0.10626251,0.00825651,-0.76488439,-0.09851811,0.30148573,0.89100240,1.77390739,0.13793053
0.090000,0.45957742,-0.05632585,1.59248053,0.33748699,2.02136218,0.74967182,-0.05363917,-0.00679988,0.02105825,0.06210952,0.12357538,0.00960290,-0.72159913,-0.09377418,0.28508406,0.84381435,1.68060787,0.13072164
