tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.104445218,gripper_base_link,medium,0.129012316
0.040000,0.104521726,gripper_base_link,medium,0.129012316
0.080000,0.104938421,gripper_base_link,medium,0.129012316
0.120000,0.104761199,wrist1_Link,medium,0.129012316
0.160000,0.103808445,wrist1_Link,medium,0.129012316
0.200000,0.102819293,wrist1_Link,medium,0.129012316
0.240000,0.101952957,wrist1_Link,medium,0.129012316
0.280000,0.101267355,wrist1_Link,medium,0.129012316
0.320000,0.100731491,wrist1_Link,medium,0.129012316
0.360000,0.100266535,wrist1_Link,medium,0.129012316
0.400000,0.099786341,wrist1_Link,medium,0.129012316
0.440000,0.099236691,wrist1_Link,medium,0.129012316
0.480000,0.098619145,wrist1_Link,medium,0.129012316
0.520000,0.097976887,wrist1_Link,medium,0.129012316
0.560000,0.097366161,wrist1_Link,medium,0.129012316
0.600000,0.096828119,wrist1_Link,medium,0.129012316
0.640000,0.096362277,wrist1_Link,medium,0.129012316
0.680000,0.095914914,wrist1_Link,medium,0.129012316
0.720000,0.095403789,wrist1_Link,medium,0.129012316
0.760000,0.094756717,wrist1_Link,medium,0.129012316
0.800000,0.093949945,wrist1_Link,medium,0.129012316
0.840000,0.093043394,wrist1_Link,medium,0.129012316
0.880000,0.092184645,wrist1_Link,medium,0.129012316
0.920000,0.091542191,wrist1_Link,medium,0.129012316
0.960000,0.091217024,wrist1_Link,medium,0.129012316
1.000000,0.091157314,wrist1_Link,medium,0.129012316
