t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.06340672,-0.39503883,0.93917256,0.27425877,1.61224457,0.20439023,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.06340421,-0.39504365,0.93916632,0.27426242,1.61224220,0.20438944,-0.00073961,-0.00142334,-0.00184285,0.00107822,-0.00070049,-0.00023517,-0.14311907,-0.27493262,-0.35664455,0.20852251,-0.13549042,-0.04548613
0.020000,0.06338762,-0.39507550,0.93912499,0.27428659,1.61222650,0.20438417,-0.00276965,-0.00531095,-0.00690261,0.00403302,-0.00262087,-0.00087987,-0.25841940,-0.49355421,-0.64420547,0.37581484,-0.24429979,-0.08201504
0.030000,0.06334541,-0.39515628,0.93901977,0.27434801,1.61218657,0.20437076,-0.00582193,-0.01112071,-0.01451318,0.00846708,-0.00550400,-0.00184777,-0.34789880,-0.66006257,-0.86763012,0.50487501,-0.32836236,-0.11023608
0.040000,0.06326861,-0.39530265,0.93882828,0.27445963,1.61211400,0.20434640,-0.00964822,-0.01835248,-0.02405792,0.01401307,-0.00911208,-0.00305906,-0.41355504,-0.77865551,-1.03186586,0.59870105,-0.38961238,-0.13079862
0.050000,0.06315063,-0.39552653,0.93853406,0.27463085,1.61200265,0.20430902,-0.01402028,-0.02654810,-0.03496969,0.02033364,-0.01322665,-0.00444038,-0.45738593,-0.85353085,-1.14186003,0.66029098,-0.42998410,-0.14435200
0.060000,0.06298708,-0.39583544,0.93812606,0.27486786,1.61184845,0.20425725,-0.01872984,-0.03529137,-0.04673080,0.02712143,-0.01764861,-0.00592490,-0.48138926,-0.88888639,-1.20255999,0.69264283,-0.45141177,-0.15154558
0.070000,0.06277554,-0.39623293,0.93759818,0.27517391,1.61164925,0.20419038,-0.02358863,-0.04420808,-0.05887306,0.03409903,-0.02219819,-0.00745226,-0.48756280,-0.88891996,-1.21891311,0.69875461,-0.45582963,-0.15302872
0.080000,0.06251537,-0.39671906,0.93694873,0.27554964,1.61140459,0.20410824,-0.02842833,-0.05296602,-0.07097774,0.04101905,-0.02671495,-0.00896860,-0.47790437,-0.85782936,-1.19586672,0.68162437,-0.44517194,-0.14945078
0.090000,0.06220753,-0.39729075,0.93617999,0.27599337,1.61111553,0.20401120,-0.03310060,-0.06127492,-0.08267556,0.04766404,-0.03105782,-0.01042657,-0.45441174,-0.79981240,-1.13836819,0.64425011,-0.42137295,-0.14146111
0.100000,0.06185435,-0.39794223,0.93529765,0.27650138,1.61078443,0.20390004,-0.03747711,-0.06888650,-0.09364675,0.05384656,-0.03510505,-0.01178528,-0.41908271,-0.71906691,-1.05136488,0.58962987,-0.38636690,-0.12970906
0.110000,0.06145934,-0.39866547,0.93431038,0.27706823,1.61041476,0.20377594,-0.04144946,-0.07559449,-0.10362100,0.05940914,-0.03875425,-0.01301037,-0.37391507,-0.61979068,-0.93980413,0.52076167,-0.34208804,-0.11484400
0.120000,0.06102700,-0.39945056,0.93322929,0.27768707,1.61001095,0.20364037,-0.04492927,-0.08123454,-0.11237747,0.06422430,-0.04192235,-0.01407395,-0.32090662,-0.50618153,-0.80863330,0.44064353,-0.29047063,-0.09751527
0.130000,0.06056263,-0.40028619,0.93206747,0.27834990,1.60957813,0.20349507,-0.04784812,-0.08568433,-0.11974479,0.06819451,-0.04454565,-0.01495463,-0.26205514,-0.38243727,-0.66279975,0.35227349,-0.23344892,-0.07837224
0.140000,0.06007207,-0.40116001,0.93083944,0.27904791,1.60912200,0.20334194,-0.05015756,-0.08886350,-0.12560108,0.07125225,-0.04657977,-0.01563751,-0.19935842,-0.25275572,-0.50725082,0.25864956,-0.17295714,-0.05806426
0.150000,0.05956160,-0.40205909,0.92956073,0.27977177,1.60864859,0.20318301,-0.05182913,-0.09073365,-0.12987391,0.07335998,-0.04799967,-0.01611420,-0.13481426,-0.12133469,-0.34693389,0.16276976,-0.11092956,-0.03724069
0.160000,0.05903765,-0.40297032,0.92824732,0.28051192,1.60816407,0.20302035,-0.05285434,-0.09129838,-0.13254035,0.07451012,-0.04879968,-0.01638277,-0.07042044,0.00762801,-0.18679629,0.06763214,-0.04930042,-0.01655088
0.170000,0.05850663,-0.40388085,0.92691519,0.28125885,1.60767461,0.20285603,-0.05324470,-0.09060328,-0.13362693,0.07472509,-0.04899346,-0.01644783,-0.00817476,0.12993457,-0.03178540,-0.02376530,0.00999604,0.00335582
