tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.113484654,wrist1_Link,medium,0.129012316
0.040000,0.113445333,wrist1_Link,medium,0.129012316
0.080000,0.113258762,wrist1_Link,medium,0.129012316
0.120000,0.112975570,wrist1_Link,medium,0.129012316
0.160000,0.112766431,wrist1_Link,medium,0.129012316
0.200000,0.112813040,wrist1_Link,medium,0.129012316
0.240000,0.113201948,wrist1_Link,medium,0.129012316
0.280000,0.113862433,wrist1_Link,medium,0.129012316
0.320000,0.114605183,wrist1_Link,medium,0.129012316
0.360000,0.115198349,wrist1_Link,medium,0.129012316
0.400000,0.115442924,wrist1_Link,medium,0.129012316
0.440000,0.115245298,wrist1_Link,medium,0.129012316
0.480000,0.114658030,wrist1_Link,medium,0.129012316
0.520000,0.113841803,wrist1_Link,medium,0.129012316
0.560000,0.112996699,wrist1_Link,medium,0.129012316
0.600000,0.112292404,wrist1_Link,medium,0.129012316
0.640000,0.111799648,wrist1_Link,medium,0.129012316
0.680000,0.111453816,wrist1_Link,medium,0.129012316
0.720000,0.111100157,wrist1_Link,medium,0.129012316
0.760000,0.110570922,wrist1_Link,medium,0.129012316
0.800000,0.109763193,wrist1_Link,medium,0.129012316
0.840000,0.108713718,wrist1_Link,medium,0.129012316
0.880000,0.107623409,wrist1_Link,medium,0.129012316
0.920000,0.106757948,wrist1_Link,medium,0.129012316
0.960000,0.106302592,wrist1_Link,medium,0.129012316
1.000000,0.106216947,wrist1_Link,medium,0.129012316
