t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.25085207,-0.17096205,1.31047783,0.63336474,2.04224796,1.51260628,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.25084835,-0.17096366,1.31047637,0.63336554,2.04225744,1.51261262,-0.00109919,-0.00047303,-0.00043311,0.00023832,0.00279674,0.00187097,-0.21258464,-0.09113335,-0.08396040,0.04607363,0.54094965,0.36188646
0.020000,0.25082371,-0.17097421,1.31046663,0.63337088,2.04232012,1.51265456,-0.00411170,-0.00175582,-0.00162776,0.00089077,0.01046391,0.00700018,-0.38317060,-0.16221276,-0.15248516,0.08293778,0.97537440,0.65250949
0.030000,0.25076109,-0.17100083,1.31044177,0.63338444,2.04247952,1.51276119,-0.00863279,-0.00365567,-0.00343489,0.00186863,0.02197488,0.01470084,-0.51481081,-0.21480798,-0.20663274,0.11126761,1.31099679,0.87703537
0.040000,0.25064728,-0.17104879,1.31039636,0.63340907,2.04276926,1.51295502,-0.01428827,-0.00599560,-0.00571602,0.00308993,0.03638025,0.02433779,-0.61055821,-0.25048876,-0.24746164,0.13173828,1.55553937,1.04063036
0.050000,0.25047269,-0.17112167,1.31032630,0.63344680,2.04321386,1.51325245,-0.02073448,-0.00861430,-0.00834325,0.00447945,0.05280781,0.03532756,-0.67346572,-0.27082487,-0.27603031,0.14502494,1.71672469,1.14846070
0.060000,0.25023100,-0.17122151,1.31022873,0.63349899,2.04382950,1.51366431,-0.02765830,-0.01136618,-0.01119928,0.00596873,0.07046262,0.04713834,-0.70658630,-0.27738605,-0.29339724,0.15180274,1.80227531,1.20569266
0.070000,0.24991888,-0.17134900,1.31010191,0.63356630,2.04462480,1.51419635,-0.03477710,-0.01412134,-0.01417738,0.00749606,0.08862695,0.05928997,-0.71297288,-0.27174206,-0.30062091,0.15274684,1.81991377,1.21749250
0.080000,0.24953565,-0.17150357,1.30994510,0.63364885,2.04560159,1.51484981,-0.04183882,-0.01676557,-0.01718142,0.00900647,0.10666027,0.07135397,-0.69567839,-0.25546266,-0.29875978,0.14853239,1.77736261,1.18902647
0.090000,0.24908303,-0.17168361,1.30975848,0.63374621,2.04675568,1.51562187,-0.04862191,-0.01920037,-0.02012583,0.01045176,0.12399931,0.08295351,-0.65775577,-0.23011761,-0.28887234,0.13983456,1.68234440,1.12546085
0.100000,0.24856478,-0.17188660,1.30954303,0.63385753,2.04807764,1.51650624,-0.05493535,-0.02134294,-0.02293564,0.01179047,0.14015801,0.09376341,-0.60225796,-0.19727665,-0.27201706,0.12732849,1.54258168,1.03196188
0.110000,0.24798643,-0.17210927,1.30930043,0.63398155,2.04955354,1.51749359,-0.06061866,-0.02312615,-0.02554647,0.01298789,0.15472753,0.10351019,-0.53223789,-0.15850955,-0.24925242,0.11168934,1.36579700,0.91369582
0.120000,0.24735495,-0.17234775,1.30903295,0.63411672,2.05116578,1.51857215,-0.06554187,-0.02449861,-0.02790452,0.01401606,0.16737628,0.11197199,-0.45074850,-0.11538606,-0.22163689,0.09359227,1.15971291,0.77582894
0.130000,0.24667846,-0.17259775,1.30874333,0.63426124,2.05289380,1.51972818,-0.06960557,-0.02542458,-0.02996657,0.01485379,0.17784987,0.11897865,-0.36084273,-0.06947594,-0.19022895,0.07371242,0.93205196,0.62352749
0.140000,0.24596593,-0.17285469,1.30843471,0.63441312,2.05471492,1.52094648,-0.07274085,-0.02588407,-0.03169998,0.01548662,0.18597114,0.12441165,-0.26557352,-0.02234893,-0.15608707,0.05272496,0.69053669,0.46195773
0.150000,0.24522687,-0.17311386,1.30811050,0.63457026,2.05660504,1.52221094,-0.07490934,-0.02587274,-0.03308272,0.01590685,0.19164016,0.12820413,-0.16799379,0.02442520,-0.12026972,0.03130504,0.44288966,0.29628593
0.160000,0.24447100,-0.17337061,1.30777426,0.63473054,2.05853947,1.52350503,-0.07610320,-0.02540197,-0.03410332,0.01611353,0.19483424,0.13034091,-0.07115649,0.06927670,-0.08383540,0.01012781,0.19683342,0.13167834
0.170000,0.24370798,-0.17362046,1.30742964,0.63489184,2.06049365,1.52481235,-0.07634512,-0.02449885,-0.03476090,0.01611247,0.19560788,0.13085847,0.02188544,0.11063581,-0.04784256,-0.01013157,-0.03990948,-0.02669879
0.180000,0.24294710,-0.17385929,1.30708023,0.63505214,2.06244399,1.52611709,-0.07568832,-0.02320613,-0.03506517,0.01591621,0.19409283,0.12984493,0.10807908,0.14693278,-0.01334969,-0.02879794,-0.25961650,-0.17367918
0.190000,0.24219693,-0.17408348,1.30672945,0.63520958,2.06436857,1.52740461,-0.07421654,-0.02158230,-0.03503642,0.01554407,0.19049808,0.12744009,0.18437148,0.17659785,0.01858473,-0.04519615,-0.45456508,-0.30409659
