tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.181389437,left_link,medium,0.129012316
0.040000,0.181121719,left_link,medium,0.129012316
0.080000,0.179667750,left_link,medium,0.129012316
0.120000,0.176815746,left_link,medium,0.129012316
0.160000,0.173052318,left_link,medium,0.129012316
0.200000,0.169161425,left_link,medium,0.129012316
0.240000,0.165827256,left_link,medium,0.129012316
0.280000,0.163354748,left_link,medium,0.129012316
0.320000,0.161689679,left_link,medium,0.129012316
0.360000,0.160556809,left_link,medium,0.129012316
0.400000,0.159602471,left_link,medium,0.129012316
0.440000,0.158535142,left_link,medium,0.129012316
0.480000,0.157220597,left_link,medium,0.129012316
0.520000,0.155662719,left_link,medium,0.129012316
0.560000,0.153939828,left_link,medium,0.129012316
0.600000,0.152140037,left_link,medium,0.129012316
0.640000,0.150298238,left_link,medium,0.129012316
0.680000,0.148362562,left_link,medium,0.129012316
0.720000,0.146235437,left_link,medium,0.129012316
0.760000,0.143844195,left_link,medium,0.129012316
0.800000,0.141212572,left_link,medium,0.129012316
0.840000,0.138527711,left_link,medium,0.129012316
0.880000,0.136143671,left_link,medium,0.129012316
0.920000,0.134434213,left_link,medium,0.129012316
0.960000,0.133593904,left_link,medium,0.129012316
1.000000,0.133442656,left_link,medium,0.129012316
