tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.133304627,left_link,medium,0.129012316
0.040000,0.133355801,left_link,medium,0.129012316
0.080000,0.133660075,left_link,medium,0.129012316
0.120000,0.134338899,left_link,medium,0.129012316
0.160000,0.135397975,left_link,medium,0.129012316
0.200000,0.136754431,left_link,medium,0.129012316
0.240000,0.138271865,left_link,medium,0.129012316
0.280000,0.139800445,left_link,medium,0.129012316
0.320000,0.141203644,left_link,medium,0.129012316
0.360000,0.142374095,left_link,medium,0.129012316
0.400000,0.143246998,left_link,medium,0.129012316
0.440000,0.143813484,left_link,medium,0.129012316
0.480000,0.144124633,left_link,medium,0.129012316
0.520000,0.144272162,left_link,medium,0.129012316
0.560000,0.144360947,left_link,medium,0.129012316
0.600000,0.144483998,left_link,medium,0.129012316
0.640000,0.143947502,wrist1_Link,medium,0.129012316
0.680000,0.143421559,wrist1_Link,medium,0.129012316
0.720000,0.142849989,wrist1_Link,medium,0.129012316
0.760000,0.142058419,wrist1_Link,medium,0.129012316
0.800000,0.140948909,wrist1_Link,medium,0.129012316
0.840000,0.139581363,wrist1_Link,medium,0.129012316
0.880000,0.138200475,wrist1_Link,medium,0.129012316
0.920000,0.137121674,wrist1_Link,medium,0.129012316
0.960000,0.136559848,wrist1_Link,medium,0.129012316
1.000000,0.136454930,wrist1_Link,medium,0.129012316
