tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.107012480,gripper_base_link,medium,0.129012316
0.040000,0.106957339,gripper_base_link,medium,0.129012316
0.080000,0.106655135,gripper_base_link,medium,0.129012316
0.120000,0.105992979,wrist1_Link,medium,0.129012316
0.160000,0.104927726,wrist1_Link,medium,0.129012316
0.200000,0.103793414,wrist1_Link,medium,0.129012316
0.240000,0.102759147,wrist1_Link,medium,0.129012316
0.280000,0.101892768,wrist1_Link,medium,0.129012316
0.320000,0.101089751,wrist2_Link,medium,0.129012316
0.360000,0.100372138,wrist2_Link,medium,0.129012316
0.400000,0.099671153,wrist2_Link,medium,0.129012316
0.440000,0.098948375,wrist2_Link,medium,0.129012316
0.480000,0.098236036,wrist2_Link,medium,0.129012316
0.520000,0.097618615,wrist2_Link,medium,0.129012316
0.560000,0.097196092,wrist2_Link,medium,0.129012316
0.600000,0.097046932,wrist2_Link,medium,0.129012316
0.640000,0.097192389,wrist2_Link,medium,0.129012316
0.680000,0.097577449,wrist2_Link,medium,0.129012316
0.720000,0.098092337,wrist2_Link,medium,0.129012316
0.760000,0.098609346,wrist2_Link,medium,0.129012316
0.800000,0.099019290,wrist2_Link,medium,0.129012316
0.840000,0.099265835,wrist2_Link,medium,0.129012316
0.880000,0.099361883,wrist2_Link,medium,0.129012316
0.920000,0.099365474,wrist2_Link,medium,0.129012316
0.960000,0.099343497,wrist2_Link,medium,0.129012316
1.000000,0.099336523,wrist2_Link,medium,0.129012316
