t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.29188476,-0.44807361,0.92143988,0.25531990,1.53117420,0.42840754,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.29187716,-0.44807050,0.92144381,0.25531652,1.53117466,0.42839804,-0.00224254,0.00091588,0.00116114,-0.00099747,0.00013561,-0.00280271,-0.43409195,0.17653246,0.22508667,-0.19305850,0.02623990,-0.54206734
0.020000,0.29182685,-0.44805006,0.92146990,0.25529415,1.53117770,0.42833523,-0.00840341,0.00340276,0.00436362,-0.00373687,0.00050775,-0.01048479,-0.78465393,0.31469779,0.40873990,-0.34882758,0.04736628,-0.97716817
0.030000,0.29169872,-0.44799844,0.92153655,0.25523718,1.53118544,0.42817552,-0.01767694,0.00709191,0.00920723,-0.00785854,0.00106712,-0.02201543,-1.05761381,0.41748546,0.55378174,-0.46995262,0.06374590,-1.31307363
0.040000,0.29146543,-0.44790535,0.92165827,0.25513348,1.53119952,0.42788527,-0.02931677,0.01164451,0.01531996,-0.01302926,0.00176807,-0.03644152,-1.25889943,0.48788492,0.66303424,-0.55907900,0.07574553,-1.55755484
0.050000,0.29110680,-0.44776371,0.92184603,0.25497412,1.53122113,0.42743997,-0.04263578,0.01675161,0.02235802,-0.01894228,0.00256865,-0.05288768,-1.39443865,0.52888564,0.73931944,-0.61885213,0.08373192,-1.71838295
0.060000,0.29060922,-0.44756940,0.92210746,0.25475310,1.53125109,0.42682345,-0.05700615,0.02213419,0.03000586,-0.02531728,0.00343055,-0.07055624,-1.47015931,0.54347707,0.78545940,-0.65191737,0.08807184,-1.80332910
0.070000,0.28996507,-0.44732094,0.92244722,0.25446709,1.53128983,0.42602718,-0.07185933,0.02754309,0.03797613,-0.03190042,0.00431915,-0.08872722,-1.49198928,0.53464866,0.80427617,-0.66092013,0.08913203,-1.82016443
0.080000,0.28917213,-0.44701918,0.92286719,0.25411516,1.53133746,0.42504938,-0.08668605,0.03275906,0.04600972,-0.03846429,0.00520349,-0.10675839,-1.46585639,0.50538988,0.79859180,-0.64850579,0.08727927,-1.77666006
0.090000,0.28823295,-0.44666704,0.92336685,0.25369854,1.53139380,0.42389436,-0.10103634,0.03759275,0.05387571,-0.04480796,0.00605625,-0.12408520,-1.39768851,0.45869019,0.77122833,-0.61731974,0.08288032,-1.68058714
0.100000,0.28715430,-0.44626914,0.92394347,0.25322032,1.53145840,0.42257166,-0.11451947,0.04188469,0.06137143,-0.05075693,0.00685383,-0.14022081,-1.29341349,0.39753904,0.72500782,-0.57000736,0.07630192,-1.53971681
0.110000,0.28594656,-0.44583158,0.92459246,0.25268521,1.53153062,0.42109529,-0.12680401,0.04550532,0.06832241,-0.05616317,0.00757625,-0.15475611,-1.15895917,0.32492589,0.66275231,-0.50921405,0.06791085,-1.36182020
0.120000,0.28462313,-0.44536161,0.92530761,0.25209927,1.53160962,0.41948299,-0.13761781,0.04835497,0.07458243,-0.06090509,0.00820722,-0.16735970,-1.00025341,0.24384020,0.58728386,-0.43758519,0.05807387,-1.15466845
0.130000,0.28319982,-0.44486729,0.92608141,0.25146964,1.53169442,0.41775539,-0.14674800,0.05036385,0.08003345,-0.06488757,0.00873413,-0.17777787,-0.82322406,0.15727143,0.50142450,-0.35776618,0.04715772,-0.92603270
0.140000,0.28169430,-0.44435727,0.92690528,0.25080428,1.53178393,0.41593531,-0.15404098,0.05149209,0.08458569,-0.06804193,0.00914800,-0.18583464,-0.63379897,0.06820903,0.40799631,-0.27240239,0.03552918,-0.68368408
0.150000,0.28012545,-0.44384042,0.92776992,0.25011171,1.53187698,0.41404691,-0.15940242,0.05172968,0.08817756,-0.07032596,0.00944356,-0.19143174,-0.43790601,-0.02035753,0.30982131,-0.18413921,0.02355500,-0.43539374
0.160000,0.27851281,-0.44332558,0.92866552,0.24940072,1.53197240,0.41211495,-0.16279730,0.05109655,0.09077570,-0.07172387,0.00961917,-0.19454861,-0.24147300,-0.10543879,0.20972157,-0.09562204,0.01160195,-0.18893280
0.170000,0.27687598,-0.44282123,0.92958210,0.24868015,1.53206897,0.41016402,-0.16424984,0.04964249,0.09237498,-0.07224637,0.00967689,-0.19524240,-0.05042782,-0.18404531,0.11051912,-0.00949627,0.00003678,0.04792759
0.180000,0.27523402,-0.44233520,0.93050976,0.24795859,1.53216556,0.40821774,-0.16384357,0.04744719,0.09299848,-0.07193059,0.00962243,-0.19364797,0.12930169,-0.25318762,0.01503603,0.07159273,-0.01077375,0.26741629
0.190000,0.27360484,-0.44187439,0.93143898,0.24724413,1.53226108,0.40629799,-0.16172128,0.04462025,0.09269751,-0.07084012,0.00946516,-0.18997789,0.29178768,-0.30987625,-0.07390566,0.14499956,-0.02046287,0.46176218
0.200000,0.27200464,-0.44144444,0.93236089,0.24654407,1.53235456,0.40442414,-0.15808505,0.04130115,0.09155158,-0.06906502,0.00921813,-0.18452244,0.43110230,-0.35112177,-0.15348390,0.20807883,-0.02866383,0.62319410
0.210000,0.27044732,-0.44104945,0.93326755,0.24586473,1.53244520,0.40261228,-0.15319291,0.03765736,0.08966697,-0.06672033,0.00889785,-0.17764505,0.54264909,-0.37469537,-0.22146742,0.25876797,-0.03509351,0.74576947
0.220000,0.26894405,-0.44069179,0.93415216,0.24521115,1.53253234,0.40087469,-0.14732220,0.03386343,0.08716044,-0.06393007,0.00852199,-0.16973200,0.62715721,-0.38141101,-0.27798798,0.29733564,-0.03980337,0.83085984
0.230000,0.26750327,-0.44037215,0.93500906,0.24458722,1.53261551,0.39921989,-0.14073302,0.03008008,0.08414301,-0.06081118,0.00810707,-0.16114214,0.68668724,-0.37284330,-0.32376816,0.32463332,-0.04292853,0.88166532
0.240000,0.26613098,-0.44008967,0.93583366,0.24399566,1.53269440,0.39765301,-0.13366485,0.02645226,0.08071847,-0.05747213,0.00766825,-0.15220231,0.72329973,-0.35056684,-0.35953049,0.34151249,-0.04460409,0.90138601
0.250000,0.26483084,-0.43984215,0.93662239,0.24343818,1.53276884,0.39617603,-0.12633655,0.02310919,0.07698338,-0.05401282,0.00721937,-0.14320736,0.73905525,-0.31615625,-0.38599755,0.34882461,-0.04496515,0.89322201
0.260000,0.26360445,-0.43962616,0.93737259,0.24291550,1.53283879,0.39478816,-0.11894640,0.02016433,0.07302709,-0.05052469,0.00677288,-0.13442015,0.73601435,-0.27118616,-0.40389187,0.34742118,-0.04414684,0.86037342
0.270000,0.26245152,-0.43943721,0.93808247,0.24242750,1.53290434,0.39348616,-0.11167205,0.01771542,0.06893171,-0.04709062,0.00633991,-0.12607151,0.71623761,-0.21723116,-0.41393602,0.33815366,-0.04228424,0.80604035
0.280000,0.26137010,-0.43926992,0.93875102,0.24197326,1.53296567,0.39226461,-0.10467056,0.01584441,0.06477213,-0.04378499,0.00593023,-0.11836029,0.68178559,-0.15586589,-0.41685255,0.32187353,-0.03951248,0.73342289
0.290000,0.26035675,-0.43911817,0.93937793,0.24155115,1.53302305,0.39111627,-0.09807839,0.01461755,0.06061601,-0.04067368,0.00555224,-0.11145333,0.63471884,-0.08866494,-0.41336401,0.29943227,-0.03596667,0.64572114
0.300000,0.25940678,-0.43897526,0.93996355,0.24115895,1.53307684,0.39003240,-0.09201137,0.01408532,0.05652379,-0.03781404,0.00521302,-0.10548548,0.57709794,-0.01720294,-0.40419295,0.27168135,-0.03178189,0.54613522
0.310000,0.25851445,-0.43883403,0.94050879,0.24079387,1.53312746,0.38900308,-0.08656474,0.01428245,0.05254869,-0.03525492,0.00491828,-0.10055958,0.51098345,0.05694550,-0.39006194,0.23947226,-0.02709328,0.43786522
0.320000,0.25767316,-0.43868711,0.94101507,0.24045271,1.53317537,0.38801750,-0.08181314,0.01522793,0.04873668,-0.03303662,0.00467239,-0.09674646,0.43843592,0.13220576,-0.37169352,0.20365646,-0.02203593,0.32411124
0.330000,0.25687569,-0.43852697,0.94148420,0.24013189,1.53322108,0.38706431,-0.07781060,0.01692502,0.04512653,-0.03119097,0.00447834,-0.09408496,0.36151593,0.20700324,-0.34981025,0.16508544,-0.01674495,0.20807338
0.340000,0.25611434,-0.43834614,0.94191838,0.23982757,1.53326512,0.38613194,-0.07459053,0.01936121,0.04174978,-0.02974126,0.00433782,-0.09258194,0.28228403,0.27976331,-0.32513467,0.12461066,-0.01135546,0.09295175
0.350000,0.25538122,-0.43813737,0.94232006,0.23953570,1.53330802,0.38520889,-0.07216575,0.02250825,0.03863074,-0.02870226,0.00425111,-0.09221221,0.20280079,0.34891137,-0.29838936,0.08308362,-0.00600255,-0.01805356
0.360000,0.25466840,-0.43789375,0.94269191,0.23925213,1.53335032,0.38428410,-0.07052848,0.02632215,0.03578649,-0.02808025,0.00421719,-0.09291862,0.12512678,0.41287279,-0.27029685,0.04135578,-0.00082134,-0.12174243
0.370000,0.25396812,-0.43760890,0.94303674,0.23897271,1.53339253,0.38334722,-0.06965032,0.03074316,0.03322688,-0.02787298,0.00423366,-0.09461200,0.05132255,0.47007296,-0.24157971,0.00027861,0.00405307,-0.21491478
0.380000,0.25327302,-0.43727712,0.94335740,0.23869333,1.53343515,0.38238897,-0.06948226,0.03569582,0.03095457,-0.02806968,0.00429678,-0.09717119,-0.01655133,0.51893727,-0.21296049,-0.03929639,0.00848556,-0.29437049
0.390000,0.25257634,-0.43689352,0.94365677,0.23841003,1.53347860,0.38140142,-0.06995471,0.04108888,0.02896494,-0.02865106,0.00440145,-0.10044302,-0.07643429,0.55789111,-0.18516173,-0.07651777,0.01234103,-0.35690947
0.400000,0.25187209,-0.43645423,0.94393761,0.23811911,1.53352329,0.38037835,-0.07097745,0.04681536,0.02724619,-0.02958935,0.00454123,-0.10424233,-0.12626578,0.58535986,-0.15890600,-0.11053403,0.01548438,-0.39933161
0.410000,0.25115532,-0.43595651,0.94420254,0.23781718,1.53356952,0.37931553,-0.07244092,0.05275360,0.02577962,-0.03084859,0.00470840,-0.10835427,-0.16449190,0.60019296,-0.13477614,-0.14064216,0.01781408,-0.41937241
0.420000,0.25042219,-0.43539887,0.94445397,0.23750121,1.53361752,0.37821095,-0.07423018,0.05877892,0.02454350,-0.03238880,0.00489491,-0.11256010,-0.19158545,0.60293611,-0.11279616,-0.16673297,0.01936304,-0.41850975
0.430000,0.24966999,-0.43478102,0.94469410,0.23716860,1.53366746,0.37706468,-0.07623878,0.06477526,0.02351691,-0.03416999,0.00509328,-0.11666283,-0.20852590,0.59455906,-0.09285036,-0.18884571,0.02019774,-0.39915708
0.440000,0.24889701,-0.43410381,0.94492494,0.23681714,1.53371941,0.37587862,-0.07837011,0.07063626,0.02268010,-0.03615258,0.00529670,-0.12048965,-0.21629271,0.57603156,-0.07482303,-0.20701965,0.02038466,-0.36372788
0.450000,0.24810247,-0.43336907,0.94514828,0.23644500,1.53377339,0.37465630,-0.08053732,0.07626528,0.02201444,-0.03829739,0.00549903,-0.12389185,-0.21586534,0.54832336,-0.05859848,-0.22129404,0.01999030,-0.31463562
0.460000,0.24728640,-0.43257957,0.94536574,0.23605078,1.53382936,0.37340262,-0.08266337,0.08157536,0.02150250,-0.04056560,0.00569479,-0.12674486,-0.20822328,0.51240421,-0.04406100,-0.23170815,0.01908115,-0.25429376
0.470000,0.24644956,-0.43173889,0.94557878,0.23563341,1.53388725,0.37212357,-0.08468101,0.08648923,0.02112799,-0.04291881,0.00587916,-0.12894827,-0.19434598,0.46924387,-0.03109489,-0.23830123,0.01772368,-0.18511578
0.480000,0.24559333,-0.43085133,0.94578871,0.23519224,1.53394690,0.37082607,-0.08653277,0.09093933,0.02087575,-0.04531902,0.00604799,-0.13042577,-0.17521291,0.41981208,-0.01958446,-0.24111254,0.01598440,-0.10951514
0.490000,0.24471962,-0.42992184,0.94599666,0.23472700,1.53400814,0.36951765,-0.08817101,0.09486780,0.02073183,-0.04772859,0.00619780,-0.13112521,-0.15180354,0.36507860,-0.00941400,-0.24018135,0.01392979,-0.02990531
0.500000,0.24383075,-0.42895588,0.94620366,0.23423776,1.53407078,0.36820626,-0.08955785,0.09822647,0.02068339,-0.05011030,0.00632576,-0.13101856,-0.12509733,0.30601318,-0.00046781,-0.23554691,0.01162633,0.05130024
0.510000,0.24292939,-0.42795934,0.94641061,0.23372501,1.53413458,0.36689999,-0.09066523,0.10097686,0.02071878,-0.05242731,0.00642972,-0.13010193,-0.09607376,0.24358557,0.00736981,-0.22724849,0.00914052,0.13168805
0.520000,0.24201844,-0.42693847,0.94661828,0.23318956,1.53419929,0.36560685,-0.09147487,0.10309020,0.02082748,-0.05464319,0.00650818,-0.12839557,-0.06571229,0.17876552,0.01421456,-0.21532535,0.00653884,0.20884463
0.530000,0.24110092,-0.42589972,0.94682737,0.23263260,1.53426465,0.36433456,-0.09197828,0.10454742,0.02100015,-0.05672187,0.00656033,-0.12594385,-0.03499240,0.11252278,0.02018214,-0.19981674,0.00388778,0.28035654
0.540000,0.24017989,-0.42484974,0.94703847,0.23205569,1.53433041,0.36309024,-0.09217679,0.10533915,0.02122858,-0.05862770,0.00658600,-0.12281530,-0.00489353,0.04582711,0.02538825,-0.18076192,0.00125384,0.34381029
0.550000,0.23925836,-0.42379516,0.94725210,0.23146074,1.53439629,0.36188021,-0.09208149,0.10546569,0.02150576,-0.06032542,0.00658569,-0.11910255,0.02360483,-0.02035174,0.02994860,-0.15820017,-0.00129651,0.39679241
0.560000,0.23833917,-0.42274261,0.94746873,0.23085000,1.53446204,0.36070975,-0.09171329,0.10493707,0.02182579,-0.06178014,0.00656057,-0.11492240,0.04952322,-0.08504403,0.03397888,-0.13217072,-0.00369678,0.43688945
0.570000,0.23742491,-0.42169854,0.94768875,0.23022606,1.53452742,0.35958285,-0.09110289,0.10377300,0.02218395,-0.06295740,0.00651247,-0.11041576,0.07188217,-0.14728000,0.03759479,-0.10271285,-0.00588047,0.46168793
0.580000,0.23651779,-0.42066917,0.94791252,0.22959189,1.53459222,0.35850197,-0.09029078,0.10200289,0.02257669,-0.06382310,0.00644390,-0.10574768,0.08970222,-0.20608990,0.04091205,-0.06986582,-0.00778109,0.46877438
0.590000,0.23561960,-0.41966037,0.94814039,0.22895075,1.53465624,0.35746780,-0.08932724,0.09966585,0.02300159,-0.06434355,0.00635802,-0.10110735,0.10200389,-0.26050398,0.04404634,-0.03366889,-0.00933217,0.45573533
0.600000,0.23473155,-0.41867758,0.94837266,0.22830628,1.53471933,0.35647902,-0.08827236,0.09681069,0.02345739,-0.06448545,0.00625864,-0.09670810,0.10780772,-0.30955248,0.04711336,0.00583869,-0.01046720,0.42015732
0.610000,0.23385422,-0.41772569,0.94860964,0.22766241,1.53478138,0.35553206,-0.08719518,0.09349541,0.02394392,-0.06421617,0.00615023,-0.09278489,0.10646489,-0.35246934,0.05019029,0.04849840,-0.01113996,0.36062258
0.620000,0.23298749,-0.41680900,0.94885164,0.22702342,1.53484232,0.35462097,-0.08616464,0.08978158,0.02446097,-0.06350709,0.00603727,-0.08956696,0.09864910,-0.38930318,0.05320015,0.09367472,-0.01138520,0.27969615
0.630000,0.23213057,-0.41593119,0.94909895,0.22639381,1.53490213,0.35373771,-0.08524043,0.08572878,0.02500731,-0.06233681,0.00592377,-0.08725041,0.08536471,-0.42030633,0.05602741,0.14061285,-0.01125791,0.18093876
0.640000,0.23128216,-0.41509536,0.94935187,0.22577827,1.53496081,0.35287242,-0.08447222,0.08139405,0.02558053,-0.06069148,0.00581317,-0.08599575,0.06761609,-0.44573109,0.05855656,0.18855804,-0.01081310,0.06791115
0.650000,0.23044048,-0.41430407,0.94961064,0.22518159,1.53501841,0.35201383,-0.08389964,0.07683191,0.02617706,-0.05856480,0.00570838,-0.08592788,0.04640758,-0.46582979,0.06067210,0.23675548,-0.01010577,-0.05582594
0.660000,0.22960341,-0.41355931,0.94987548,0.22460857,1.53507500,0.35114960,-0.08355226,0.07209437,0.02679221,-0.05595804,0.00561175,-0.08713610,0.02274354,-0.48085473,0.06225849,0.28445041,-0.00919092,-0.18671177
0.670000,0.22876861,-0.41286260,0.95014653,0.22406400,1.53513068,0.35026667,-0.08344961,0.06723089,0.02742009,-0.05287999,0.00552507,-0.08967408,-0.00237168,-0.49105824,0.06320024,0.33088805,-0.00812356,-0.32118560
0.680000,0.22793357,-0.41221495,0.95042390,0.22355249,1.53518554,0.34935163,-0.08360118,0.06228843,0.02805368,-0.04934699,0.00544960,-0.09355990,-0.02793371,-0.49669261,0.06338181,0.37531361,-0.00695869,-0.45568670
0.690000,0.22709574,-0.41161694,0.95070760,0.22307849,1.53523971,0.34839104,-0.08400642,0.05731143,0.02868480,-0.04538294,0.00538604,-0.09877603,-0.05293821,-0.49801018,0.06268771,0.41697232,-0.00575131,-0.58665432
0.700000,0.22625263,-0.41106870,0.95099755,0.22264617,1.53529330,0.34737184,-0.08465474,0.05234178,0.02930413,-0.04101928,0.00533453,-0.10526934,-0.07638082,-0.49526324,0.06100240,0.45510939,-0.00455642,-0.71052774
