tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.101398163,right_link,medium,0.123093914
0.040000,0.101383209,right_link,medium,0.123093914
0.080000,0.101301882,right_link,medium,0.123093914
0.120000,0.101141718,right_link,medium,0.123093914
0.160000,0.100928651,right_link,medium,0.123093914
0.200000,0.100704899,right_link,medium,0.123093914
0.240000,0.100506712,right_link,medium,0.123093914
0.280000,0.100348350,right_link,medium,0.123093914
0.320000,0.100223609,right_link,medium,0.123093914
0.360000,0.100114671,right_link,medium,0.123093914
0.400000,0.100001462,right_link,medium,0.123093914
0.440000,0.099870983,right_link,medium,0.123093914
0.480000,0.099723219,right_link,medium,0.123093914
0.520000,0.099568194,right_link,medium,0.123093914
0.560000,0.099419466,right_link,medium,0.123093914
0.600000,0.099287349,right_link,medium,0.123093914
0.640000,0.099172114,right_link,medium,0.123093914
0.680000,0.099060693,right_link,medium,0.123093914
0.720000,0.098932461,right_link,medium,0.123093914
0.760000,0.098768662,right_link,medium,0.123093914
0.800000,0.098562075,right_link,medium,0.123093914
0.840000,0.098326681,right_link,medium,0.123093914
0.880000,0.098100375,right_link,medium,0.123093914
0.920000,0.097928860,right_link,medium,0.123093914
0.960000,0.097841306,right_link,medium,0.123093914
1.000000,0.097825173,right_link,medium,0.123093914
