t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.87832034,-0.07804830,1.49179435,0.05755136,1.69715989,0.90586352,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.87831817,-0.07804858,1.49179358,0.05755130,1.69715984,0.90586059,-0.00064690,-0.00008348,-0.00023024,-0.00001809,-0.00001409,-0.00087494,-0.12804918,-0.01646928,-0.04551779,-0.00363345,-0.00274910,-0.17319512
0.020000,0.87830326,-0.07805049,1.49178828,0.05755088,1.69715952,0.90584043,-0.00253464,-0.00032491,-0.00089989,-0.00007296,-0.00005361,-0.00342844,-0.24819652,-0.03159652,-0.08789462,-0.00735390,-0.00508753,-0.33575055
0.030000,0.87826360,-0.07805556,1.49177422,0.05754972,1.69715870,0.90578678,-0.00558505,-0.00071104,-0.00197789,-0.00016545,-0.00011451,-0.00755523,-0.36060830,-0.04541247,-0.12719948,-0.01115710,-0.00702610,-0.48789032
0.040000,0.87818794,-0.07806515,1.49174746,0.05754744,1.69715717,0.90568442,-0.00972158,-0.00122889,-0.00343387,-0.00029636,-0.00019284,-0.01315227,-0.46545080,-0.05794789,-0.16350139,-0.01503875,-0.00857563,-0.62983848
0.050000,0.87806580,-0.07808053,1.49170438,0.05754366,1.69715479,0.90551917,-0.01486938,-0.00186583,-0.00523814,-0.00046647,-0.00028476,-0.02011877,-0.56289030,-0.06923354,-0.19686936,-0.01899457,-0.00974693,-0.76181905
0.060000,0.87788743,-0.07810282,1.49164163,0.05753798,1.69715144,0.90527781,-0.02095526,-0.00260950,-0.00736170,-0.00067649,-0.00038655,-0.02835617,-0.65309310,-0.07930015,-0.22737241,-0.02302030,-0.01055081,-0.88405607
0.070000,0.87764380,-0.07813304,1.49155617,0.05752999,1.69714704,0.90494813,-0.02790768,-0.00344787,-0.00977626,-0.00092709,-0.00049459,-0.03776816,-0.73622546,-0.08817850,-0.25507955,-0.02711166,-0.01099808,-0.99677358
0.080000,0.87732662,-0.07817206,1.49144523,0.05751930,1.69714154,0.90451885,-0.03565676,-0.00436921,-0.01245420,-0.00121892,-0.00060536,-0.04826066,-0.81245368,-0.09589932,-0.28005978,-0.03126435,-0.01109956,-1.10019561
0.090000,0.87692824,-0.07822066,1.49130630,0.05750548,1.69713494,0.90397962,-0.04413429,-0.00536210,-0.01536860,-0.00155257,-0.00071546,-0.05974184,-0.88194404,-0.10249339,-0.30238212,-0.03547412,-0.01086606,-1.19454619
