tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.202024384,left_link,medium,0.128494792
0.040000,0.201962646,left_link,medium,0.128494792
0.080000,0.201560576,left_link,medium,0.128494792
0.120000,0.200557245,left_link,medium,0.128494792
0.160000,0.198771661,left_link,medium,0.128494792
0.200000,0.196095493,left_link,medium,0.128494792
0.240000,0.192485820,left_link,medium,0.128494792
0.280000,0.187957836,left_link,medium,0.128494792
0.320000,0.182577417,left_link,medium,0.128494792
0.360000,0.176453392,left_link,medium,0.128494792
0.400000,0.169729393,left_link,medium,0.128494792
0.440000,0.162575157,left_link,medium,0.128494792
0.480000,0.155177277,left_link,medium,0.128494792
0.520000,0.147729533,left_link,medium,0.128494792
0.560000,0.140423090,left_link,medium,0.128494792
0.600000,0.133436994,left_link,medium,0.128494792
0.640000,0.126929471,left_link,medium,0.128494792
0.680000,0.121030499,left_link,medium,0.128494792
0.720000,0.115836207,left_link,medium,0.128494792
0.760000,0.111247961,left_link,medium,0.128494792
0.800000,0.106459039,left_link,medium,0.128494792
0.840000,0.102590623,left_link,medium,0.128494792
0.880000,0.099650345,left_link,medium,0.128494792
0.920000,0.097621938,left_link,medium,0.128494792
0.960000,0.096467599,left_link,medium,0.128494792
1.000000,0.096130284,left_link,medium,0.128494792
1.040000,0.096536171,left_link,medium,0.128494792
1.080000,0.097597484,left_link,medium,0.128494792
1.120000,0.099215789,left_link,medium,0.128494792
1.160000,0.101285736,left_link,medium,0.128494792
1.200000,0.103699154,left_link,medium,0.128494792
1.240000,0.106349312,left_link,medium,0.128494792
1.280000,0.109135175,left_link,medium,0.128494792
1.320000,0.111965478,left_link,medium,0.128494792
1.360000,0.114762530,left_link,medium,0.128494792
1.400000,0.117465194,left_link,medium,0.128494792
1.440000,0.120029233,left_link,medium,0.128494792
1.480000,0.122425769,left_link,medium,0.128494792
1.520000,0.124639467,left_link,medium,0.128494792
1.560000,0.125970176,gripper_base_link,medium,0.128494792
1.600000,0.126836188,gripper_base_link,medium,0.128494792
1.640000,0.127580295,gripper_base_link,medium,0.128494792
1.680000,0.128219913,gripper_base_link,medium,0.128494792
1.720000,0.128776718,gripper_base_link,medium,0.128494792
1.760000,0.129275188,gripper_base_link,medium,0.128494792
1.800000,0.129741167,gripper_base_link,medium,0.128494792
1.840000,0.130200485,gripper_base_link,medium,0.128494792
1.880000,0.130677630,gripper_base_link,medium,0.128494792
1.920000,0.131194497,gripper_base_link,medium,0.128494792
1.960000,0.131769214,gripper_base_link,medium,0.128494792
2.000000,0.132415065,gripper_base_link,medium,0.128494792
2.040000,0.133139521,gripper_base_link,medium,0.128494792
2.080000,0.133943760,gripper_base_link,medium,0.128494792
2.120000,0.134823230,gripper_base_link,medium,0.128494792
2.160000,0.135768597,gripper_base_link,medium,0.128494792
2.200000,0.136766704,gripper_base_link,medium,0.128494792
2.240000,0.137801491,gripper_base_link,medium,0.128494792
2.280000,0.138854883,gripper_base_link,medium,0.128494792
2.320000,0.139907625,gripper_base_link,medium,0.128494792
2.360000,0.140845471,gripper_base_link,medium,0.128494792
2.400000,0.141649307,gripper_base_link,medium,0.128494792
2.440000,0.142412543,gripper_base_link,medium,0.128494792
2.480000,0.143120982,gripper_base_link,medium,0.128494792
2.520000,0.143762475,gripper_base_link,medium,0.128494792
2.560000,0.144327404,gripper_base_link,medium,0.128494792
2.600000,0.144809139,gripper_base_link,medium,0.128494792
2.640000,0.145204483,gripper_base_link,medium,0.128494792
2.680000,0.145514098,gripper_base_link,medium,0.128494792
2.720000,0.145742889,gripper_base_link,medium,0.128494792
2.760000,0.145899961,gripper_base_link,medium,0.128494792
2.800000,0.145998029,gripper_base_link,medium,0.128494792
2.840000,0.146052719,gripper_base_link,medium,0.128494792
2.880000,0.146081883,gripper_base_link,medium,0.128494792
2.920000,0.146104897,gripper_base_link,medium,0.128494792
2.960000,0.146141963,gripper_base_link,medium,0.128494792
3.000000,0.146213404,gripper_base_link,medium,0.128494792
3.040000,0.146338936,gripper_base_link,medium,0.128494792
3.080000,0.146536951,gripper_base_link,medium,0.128494792
3.120000,0.146823788,gripper_base_link,medium,0.128494792
3.160000,0.147213018,gripper_base_link,medium,0.128494792
3.200000,0.147714736,gripper_base_link,medium,0.128494792
3.240000,0.148334892,gripper_base_link,medium,0.128494792
3.280000,0.149074639,gripper_base_link,medium,0.128494792
3.320000,0.149929737,gripper_base_link,medium,0.128494792
3.360000,0.150827010,gripper_base_link,medium,0.128494792
3.400000,0.151818140,gripper_base_link,medium,0.128494792
3.440000,0.152879171,gripper_base_link,medium,0.128494792
3.480000,0.153979691,gripper_base_link,medium,0.128494792
3.520000,0.155084907,gripper_base_link,medium,0.128494792
3.560000,0.156156807,gripper_base_link,medium,0.128494792
3.600000,0.157155300,gripper_base_link,medium,0.128494792
3.640000,0.158039315,gripper_base_link,medium,0.128494792
3.680000,0.158767841,gripper_base_link,medium,0.128494792
3.720000,0.159300941,gripper_base_link,medium,0.128494792
3.760000,0.159600726,gripper_base_link,medium,0.128494792
3.800000,0.159632318,gripper_base_link,medium,0.128494792
3.840000,0.159364823,gripper_base_link,medium,0.128494792
3.880000,0.158772350,gripper_base_link,medium,0.128494792
3.920000,0.157722869,gripper_base_link,medium,0.128494792
3.960000,0.156130362,gripper_base_link,medium,0.128494792
4.000000,0.154119078,gripper_base_link,medium,0.128494792
4.040000,0.151693952,gripper_base_link,medium,0.128494792
4.080000,0.148872028,gripper_base_link,medium,0.128494792
4.120000,0.145682230,gripper_base_link,medium,0.128494792
4.160000,0.142164560,gripper_base_link,medium,0.128494792
4.200000,0.138369204,gripper_base_link,medium,0.128494792
4.240000,0.134355491,gripper_base_link,medium,0.128494792
4.280000,0.130190653,gripper_base_link,medium,0.128494792
4.320000,0.125948323,gripper_base_link,medium,0.128494792
4.360000,0.121706741,gripper_base_link,medium,0.128494792
4.400000,0.117546667,gripper_base_link,medium,0.128494792
4.440000,0.113549021,gripper_base_link,medium,0.128494792
4.480000,0.109792317,gripper_base_link,medium,0.128494792
4.520000,0.106350009,gripper_base_link,medium,0.128494792
4.560000,0.103287872,gripper_base_link,medium,0.128494792
4.600000,0.100661598,gripper_base_link,medium,0.128494792
4.640000,0.098514760,gripper_base_link,medium,0.128494792
4.680000,0.096877260,gripper_base_link,medium,0.128494792
4.720000,0.095764428,gripper_base_link,medium,0.128494792
4.760000,0.095177457,gripper_base_link,medium,0.128494792
4.800000,0.095105278,gripper_base_link,medium,0.128494792
4.840000,0.095526739,gripper_base_link,medium,0.128494792
4.880000,0.096412691,gripper_base_link,medium,0.128494792
4.920000,0.097727886,gripper_base_link,medium,0.128494792
4.960000,0.099432609,gripper_base_link,medium,0.128494792
5.000000,0.101484030,gripper_base_link,medium,0.128494792
5.040000,0.103837307,gripper_base_link,medium,0.128494792
5.080000,0.106446479,gripper_base_link,medium,0.128494792
5.120000,0.109265203,gripper_base_link,medium,0.128494792
5.160000,0.112247412,gripper_base_link,medium,0.128494792
5.200000,0.115347902,gripper_base_link,medium,0.128494792
5.240000,0.118384704,gripper_base_link,medium,0.128494792
5.280000,0.121185269,gripper_base_link,medium,0.128494792
5.320000,0.123980093,gripper_base_link,medium,0.128494792
5.360000,0.126730729,gripper_base_link,medium,0.128494792
5.400000,0.129402650,gripper_base_link,medium,0.128494792
5.440000,0.131965388,gripper_base_link,medium,0.128494792
5.480000,0.134392421,gripper_base_link,medium,0.128494792
5.520000,0.136661062,gripper_base_link,medium,0.128494792
5.560000,0.138701537,right_link,medium,0.128494792
5.600000,0.140068101,right_link,medium,0.128494792
5.640000,0.141205469,right_link,medium,0.128494792
5.680000,0.142003431,right_link,medium,0.128494792
5.720000,0.142481090,right_link,medium,0.128494792
5.760000,0.142712267,right_link,medium,0.128494792
