tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.202024384,left_link,medium,0.128494792
0.040000,0.201950695,left_link,medium,0.128494792
0.080000,0.201470786,left_link,medium,0.128494792
0.120000,0.200273080,left_link,medium,0.128494792
0.160000,0.198140959,left_link,medium,0.128494792
0.200000,0.194943807,left_link,medium,0.128494792
0.240000,0.190628255,left_link,medium,0.128494792
0.280000,0.185209601,left_link,medium,0.128494792
0.320000,0.178763279,left_link,medium,0.128494792
0.360000,0.171416185,left_link,medium,0.128494792
0.400000,0.163337621,left_link,medium,0.128494792
0.440000,0.154729642,left_link,medium,0.128494792
0.480000,0.145816690,left_link,medium,0.128494792
0.520000,0.136834529,left_link,medium,0.128494792
0.560000,0.128018710,left_link,medium,0.128494792
0.600000,0.119592961,left_link,medium,0.128494792
0.640000,0.111758078,left_link,medium,0.128494792
0.680000,0.104681932,left_link,medium,0.128494792
0.720000,0.098491463,left_link,medium,0.128494792
0.760000,0.093270668,left_link,medium,0.128494792
0.800000,0.089054447,left_link,medium,0.128494792
0.840000,0.084783627,left_link,medium,0.128494792
0.880000,0.081657494,left_link,medium,0.128494792
0.920000,0.079659151,left_link,medium,0.128494792
0.960000,0.078743605,left_link,medium,0.128494792
1.000000,0.078840564,left_link,medium,0.128494792
1.040000,0.079857763,left_link,medium,0.128494792
1.080000,0.081684970,left_link,medium,0.128494792
1.120000,0.084198651,left_link,medium,0.128494792
1.160000,0.087267105,left_link,medium,0.128494792
1.200000,0.090755829,left_link,medium,0.128494792
1.240000,0.094532820,left_link,medium,0.128494792
1.280000,0.098473596,left_link,medium,0.128494792
1.320000,0.102465789,left_link,medium,0.128494792
1.360000,0.106413242,left_link,medium,0.128494792
1.400000,0.110239101,left_link,medium,0.128494792
1.440000,0.113885996,left_link,medium,0.128494792
1.480000,0.117314185,left_link,medium,0.128494792
1.520000,0.120164563,gripper_base_link,medium,0.128494792
1.560000,0.122197355,gripper_base_link,medium,0.128494792
1.600000,0.124021672,gripper_base_link,medium,0.128494792
1.640000,0.125643122,gripper_base_link,medium,0.128494792
1.680000,0.127074584,gripper_base_link,medium,0.128494792
1.720000,0.128334619,gripper_base_link,medium,0.128494792
1.760000,0.129445924,gripper_base_link,medium,0.128494792
1.800000,0.130433848,gripper_base_link,medium,0.128494792
1.840000,0.131324961,gripper_base_link,medium,0.128494792
1.880000,0.132145694,gripper_base_link,medium,0.128494792
1.920000,0.132921048,gripper_base_link,medium,0.128494792
1.960000,0.133673378,gripper_base_link,medium,0.128494792
2.000000,0.134421258,gripper_base_link,medium,0.128494792
2.040000,0.135178453,gripper_base_link,medium,0.128494792
2.080000,0.135953313,gripper_base_link,medium,0.128494792
2.120000,0.136749131,gripper_base_link,medium,0.128494792
2.160000,0.137564848,gripper_base_link,medium,0.128494792
2.200000,0.138395787,gripper_base_link,medium,0.128494792
2.240000,0.139234364,gripper_base_link,medium,0.128494792
2.280000,0.140070795,gripper_base_link,medium,0.128494792
2.320000,0.140893772,gripper_base_link,medium,0.128494792
2.360000,0.141638206,gripper_base_link,medium,0.128494792
2.400000,0.142196077,gripper_base_link,medium,0.128494792
2.440000,0.142720409,gripper_base_link,medium,0.128494792
2.480000,0.143202947,gripper_base_link,medium,0.128494792
2.520000,0.143636713,gripper_base_link,medium,0.128494792
2.560000,0.144016425,gripper_base_link,medium,0.128494792
2.600000,0.144338909,gripper_base_link,medium,0.128494792
2.640000,0.144603488,gripper_base_link,medium,0.128494792
2.680000,0.144812367,gripper_base_link,medium,0.128494792
2.720000,0.144970962,gripper_base_link,medium,0.128494792
2.760000,0.145087896,gripper_base_link,medium,0.128494792
2.800000,0.145174533,gripper_base_link,medium,0.128494792
2.840000,0.145244419,gripper_base_link,medium,0.128494792
2.880000,0.145312710,gripper_base_link,medium,0.128494792
2.920000,0.145395598,gripper_base_link,medium,0.128494792
2.960000,0.145509722,gripper_base_link,medium,0.128494792
3.000000,0.145671570,gripper_base_link,medium,0.128494792
3.040000,0.145896876,gripper_base_link,medium,0.128494792
3.080000,0.146200014,gripper_base_link,medium,0.128494792
3.120000,0.146593395,gripper_base_link,medium,0.128494792
3.160000,0.147086863,gripper_base_link,medium,0.128494792
3.200000,0.147687119,gripper_base_link,medium,0.128494792
3.240000,0.148397144,gripper_base_link,medium,0.128494792
3.280000,0.149215663,gripper_base_link,medium,0.128494792
3.320000,0.150136402,gripper_base_link,medium,0.128494792
3.360000,0.151084256,gripper_base_link,medium,0.128494792
3.400000,0.152112362,gripper_base_link,medium,0.128494792
3.440000,0.153196157,gripper_base_link,medium,0.128494792
3.480000,0.154306041,gripper_base_link,medium,0.128494792
3.520000,0.155408444,gripper_base_link,medium,0.128494792
3.560000,0.156466880,gripper_base_link,medium,0.128494792
3.600000,0.157442965,gripper_base_link,medium,0.128494792
3.640000,0.158297421,gripper_base_link,medium,0.128494792
3.680000,0.158991034,gripper_base_link,medium,0.128494792
3.720000,0.159485602,gripper_base_link,medium,0.128494792
3.760000,0.159744861,gripper_base_link,medium,0.128494792
3.800000,0.159735413,gripper_base_link,medium,0.128494792
3.840000,0.159427685,gripper_base_link,medium,0.128494792
3.880000,0.158796932,gripper_base_link,medium,0.128494792
3.920000,0.157714089,gripper_base_link,medium,0.128494792
3.960000,0.156095363,gripper_base_link,medium,0.128494792
4.000000,0.154061686,gripper_base_link,medium,0.128494792
4.040000,0.151618315,gripper_base_link,medium,0.128494792
4.080000,0.148782467,gripper_base_link,medium,0.128494792
4.120000,0.145583105,gripper_base_link,medium,0.128494792
4.160000,0.142060161,gripper_base_link,medium,0.128494792
4.200000,0.138263639,gripper_base_link,medium,0.128494792
4.240000,0.134252584,gripper_base_link,medium,0.128494792
4.280000,0.130093838,gripper_base_link,medium,0.128494792
4.320000,0.125860538,gripper_base_link,medium,0.128494792
4.360000,0.121630336,gripper_base_link,medium,0.128494792
4.400000,0.117483319,gripper_base_link,medium,0.128494792
4.440000,0.113499682,gripper_base_link,medium,0.128494792
4.480000,0.109757195,gripper_base_link,medium,0.128494792
4.520000,0.106328587,gripper_base_link,medium,0.128494792
4.560000,0.103278985,gripper_base_link,medium,0.128494792
4.600000,0.100663545,gripper_base_link,medium,0.128494792
4.640000,0.098525459,gripper_base_link,medium,0.128494792
4.680000,0.096894431,gripper_base_link,medium,0.128494792
4.720000,0.095785771,gripper_base_link,medium,0.128494792
4.760000,0.095200824,gripper_base_link,medium,0.128494792
