t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.66899235,0.01403637,1.53446097,-0.06339587,1.77147177,0.59698619,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000
0.010000,0.66899588,0.01404237,1.53446593,-0.06340072,1.77147545,0.59698786,0.00104234,0.00176894,0.00146213,-0.00143011,0.00108576,0.00049316,0.20161053,0.34215115,0.28280786,-0.27661384,0.21000921,0.09538780
0.020000,0.66901924,0.01408201,1.53449870,-0.06343277,1.77149978,0.59699891,0.00389987,0.00661843,0.00547052,-0.00535071,0.00406233,0.00184514,0.36351951,0.61692521,0.50992462,-0.49875632,0.37866298,0.17199163
0.030000,0.66907865,0.01418283,1.53458203,-0.06351428,1.77156166,0.59702702,0.00818998,0.01389913,0.01148844,-0.01123683,0.00853116,0.00387492,0.48860510,0.82920668,0.68538762,-0.67037636,0.50895938,0.23117326
0.040000,0.66918663,0.01436609,1.53473350,-0.06366244,1.77167415,0.59707811,0.01355882,0.02301054,0.01901955,-0.01860299,0.01412366,0.00641507,0.57974549,0.98388008,0.81323420,-0.79542286,0.60389649,0.27429442
0.050000,0.66935233,0.01464730,1.53496594,-0.06388978,1.77184675,0.59715651,0.01968134,0.03340099,0.02760786,-0.02700320,0.02050122,0.00931181,0.63981884,1.08582995,0.89750171,-0.87784475,0.66647237,0.30271687
0.060000,0.66958178,0.01503669,1.53528780,-0.06420459,1.77208576,0.59726506,0.02626124,0.04456767,0.03683778,-0.03603096,0.02735523,0.01242495,0.67170333,1.13994079,0.94222747,-0.92159094,0.69968511,0.31780235
0.070000,0.66987819,0.01553972,1.53570358,-0.06461127,1.77239451,0.59740530,0.03303103,0.05605662,0.04633407,-0.04531926,0.03440704,0.01562794,0.67827714,1.15109713,0.95144884,-0.93061034,0.70653277,0.32091261
0.080000,0.67024224,0.01615755,1.53621424,-0.06511075,1.77277372,0.59757755,0.03975201,0.06746272,0.05576187,-0.05454058,0.04140799,0.01880783,0.66241843,1.12418349,0.92920314,-0.90885187,0.69001342,0.31340939
0.090000,0.67067236,0.01688751,1.53681760,-0.06570089,1.77322177,0.59778105,0.04621422,0.07842968,0.06482670,-0.06340687,0.04813941,0.02186529,0.62700539,1.06408439,0.87952773,-0.86026444,0.65312515,0.29665445
0.100000,0.67116505,0.01772364,1.53750872,-0.06637687,1.77373498,0.59801416,0.05223653,0.08865007,0.07327445,-0.07166960,0.05441259,0.02471462,0.57491619,0.97568434,0.80645994,-0.78879697,0.59886602,0.27200954
0.110000,0.67171512,0.01865715,1.53828032,-0.06713157,1.77430796,0.59827441,0.05766655,0.09786531,0.08089138,-0.07911971,0.06006882,0.02728372,0.50902900,0.86386786,0.71403711,-0.69839837,0.53023410,0.24083640
0.120000,0.67231599,0.01967690,1.53912319,-0.06795598,1.77493387,0.59855870,0.06238071,0.10586565,0.08750413,-0.08558763,0.06497936,0.02951412,0.43222199,0.73351948,0.60629658,-0.59301756,0.45022747,0.20449677
0.130000,0.67296002,0.02076988,1.54002660,-0.06883961,1.77560473,0.59886341,0.06628419,0.11249021,0.09297971,-0.09094328,0.06904545,0.03136097,0.34737335,0.58952372,0.48727570,-0.47660345,0.36184420,0.16435241
0.140000,0.67363875,0.02192174,1.54097868,-0.06977084,1.77631173,0.59918453,0.06931096,0.11762692,0.09722550,-0.09509608,0.07219831,0.03279303,0.25736123,0.43676509,0.36101179,-0.35310496,0.26808237,0.12176507
0.150000,0.67434319,0.02311724,1.54196684,-0.07073735,1.77704552,0.59951783,0.07142379,0.12121258,0.10018926,-0.09799493,0.07439916,0.03379267,0.16506383,0.28012812,0.23154221,-0.22647101,0.17194005,0.07809649
0.160000,0.67506415,0.02434076,1.54297815,-0.07172651,1.77779651,0.59985893,0.07261421,0.12323283,0.10185912,-0.09962821,0.07563917,0.03435589,0.07335931,0.12449732,0.10290429,-0.10065049,0.07641530,0.03470842
0.170000,0.67579247,0.02557679,1.54399980,-0.07272578,1.77855517,0.60020352,0.07290255,0.12372216,0.10226357,-0.10002381,0.07593952,0.03449231,-0.01487416,-0.02524278,-0.02086463,0.02040766,-0.01549379,-0.00703740
0.180000,0.67651935,0.02681038,1.54501943,-0.07372308,1.77931233,0.60054743,0.07233790,0.12276390,0.10147151,-0.09924910,0.07535134,0.03422516,-0.09675839,-0.16420767,-0.13572721,0.13275453,-0.10078915,-0.04577921
0.190000,0.67723664,0.02802767,1.54602560,-0.07470721,1.78005950,0.60088680,0.07099814,0.12049021,0.09959218,-0.09741092,0.07395577,0.03359128,-0.16941523,-0.28751283,-0.23764610,0.23244121,-0.17647271,-0.08015526
0.200000,0.67793708,0.02921639,1.54700814,-0.07566824,1.78078912,0.60121820,0.06898994,0.11708212,0.09677519,-0.09465564,0.07186392,0.03264114,-0.22996648,-0.39027373,-0.32258398,0.31551879,-0.23954641,-0.10880382
0.210000,0.67861465,0.03036629,1.54795860,-0.07659788,1.78149492,0.60153878,0.06644707,0.11276664,0.09320820,-0.09116676,0.06921512,0.03143804,-0.27620770,-0.46874924,-0.38744856,0.37896271,-0.28771395,-0.13068188
0.220000,0.67926472,0.03146951,1.54887047,-0.07748978,1.78217207,0.60184634,0.06351185,0.10778531,0.08909084,-0.08713958,0.06615763,0.03004930,-0.30862938,-0.52377174,-0.43292786,0.42344593,-0.32148625,-0.14602152
0.230000,0.67988403,0.03252053,1.54973920,-0.07833948,1.78281717,0.60213936,0.06031667,0.10236279,0.08460881,-0.08275572,0.06282934,0.02853757,-0.32839572,-0.55731699,-0.46065496,0.45056576,-0.34207601,-0.15537355
0.240000,0.68047059,0.03351598,1.55056200,-0.07914426,1.78342817,0.60241688,0.05698224,0.09670398,0.07993147,-0.07818082,0.05935601,0.02695995,-0.33667092,-0.57136075,-0.47226294,0.46191951,-0.35069594,-0.15928879
0.250000,0.68102357,0.03445444,1.55133769,-0.07990296,1.78400419,0.60267851,0.05361767,0.09099400,0.07521184,-0.07356456,0.05585127,0.02536808,-0.33461919,-0.56787877,-0.46938489,0.45910449,-0.34855874,-0.15831805
0.260000,0.68154317,0.03533624,1.55206655,-0.08061586,1.78454543,0.60292434,0.05032040,0.08539823,0.07058662,-0.06904064,0.05241665,0.02380804,-0.32340473,-0.54884683,-0.45365388,0.44371802,-0.33687711,-0.15301217
0.270000,0.68203049,0.03616327,1.55275014,-0.08128448,1.78505306,0.60315491,0.04717624,0.08006231,0.06617616,-0.06472678,0.04914150,0.02232045,-0.30419175,-0.51624068,-0.42670300,0.41735741,-0.31686375,-0.14392195
0.280000,0.68248745,0.03693878,1.55339114,-0.08191144,1.78552905,0.60337111,0.04425935,0.07511208,0.06208451,-0.06072475,0.04610310,0.02094038,-0.27814445,-0.47203608,-0.39016532,0.38161997,-0.28973138,-0.13159822
0.290000,0.68291665,0.03766716,1.55399319,-0.08250030,1.78597612,0.60357418,0.04163225,0.07065366,0.05839937,-0.05712031,0.04336656,0.01969743,-0.24642705,-0.41820880,-0.34567393,0.33810303,-0.25669269,-0.11659179
0.300000,0.68332123,0.03835378,1.55456072,-0.08305540,1.78639757,0.60376560,0.03934583,0.06677340,0.05519210,-0.05398329,0.04098489,0.01861565,-0.21020373,-0.35673459,-0.29486192,0.28840389,-0.21896039,-0.09945349
0.310000,0.68370483,0.03900478,1.55509881,-0.08358171,1.78679714,0.60394709,0.03743931,0.06353787,0.05251776,-0.05136752,0.03899896,0.01771363,-0.17063872,-0.28958921,-0.23936235,0.23411987,-0.17774718,-0.08073413
0.320000,0.68407138,0.03962684,1.55561299,-0.08408462,1.78717896,0.60412051,0.03594031,0.06099393,0.05041504,-0.04931085,0.03743751,0.01700440,-0.12889621,-0.21874843,-0.18080832,0.17684828,-0.13426576,-0.06098454
0.330000,0.68442505,0.04022705,1.55610909,-0.08456986,1.78754737,0.60428785,0.03486477,0.05916864,0.04890633,-0.04783519,0.03631716,0.01649553,-0.08614041,-0.14618800,-0.12083290,0.11818644,-0.08972884,-0.04075553
0.340000,0.68477010,0.04081264,1.55659312,-0.08504328,1.78790679,0.60445110,0.03421700,0.05806932,0.04799767,-0.04694643,0.03564241,0.01618906,-0.04353553,-0.07388370,-0.06106918,0.05973165,-0.04534913,-0.02059792
0.350000,0.68511079,0.04139082,1.55707101,-0.08551072,1.78826167,0.60461229,0.03398967,0.05768353,0.04767879,-0.04663454,0.03540561,0.01608150,-0.00224577,-0.00381127,-0.00315023,0.00308124,-0.00233932,-0.00106254
0.360000,0.68545124,0.04196858,1.55754857,-0.08597781,1.78861630,0.60477336,0.03416382,0.05797907,0.04792308,-0.04687347,0.03558701,0.01616389,0.03656467,0.06205352,0.05129085,-0.05016749,0.03808788,0.01729981
0.370000,0.68579531,0.04255250,1.55803121,-0.08644988,1.78897470,0.60493615,0.03470882,0.05890398,0.04868757,-0.04762123,0.03615472,0.01642175,0.07173157,0.12173491,0.10062100,-0.09841721,0.07471976,0.03393829
0.380000,0.68614651,0.04314852,1.55852386,-0.08693174,1.78934054,0.60510232,0.03558243,0.06038657,0.04991302,-0.04881983,0.03706472,0.01683508,0.10209074,0.17325715,0.14320712,-0.14007062,0.10634363,0.04830209
0.390000,0.68650787,0.04376179,1.55903076,-0.08742754,1.78971695,0.60527329,0.03673073,0.06233534,0.05152379,-0.05039533,0.03826086,0.01737837,0.12647797,0.21464446,0.17741615,-0.17353040,0.13174678,0.05984040
0.400000,0.68688182,0.04439642,1.55955532,-0.08794061,1.79010648,0.60545022,0.03808820,0.06463909,0.05342797,-0.05225780,0.03967487,0.01802063,0.14372905,0.24392108,0.20161499,-0.19719924,0.14971650,0.06800238
0.410000,0.68727008,0.04505532,1.56009994,-0.08847330,1.79051091,0.60563391,0.03957847,0.06716822,0.05551845,-0.05430249,0.04122723,0.01872573,0.15301215,0.25967534,0.21463679,-0.20993585,0.15938632,0.07239449
0.420000,0.68767357,0.04574009,1.56066594,-0.08902690,1.79093122,0.60582482,0.04112354,0.06979033,0.05768578,-0.05642235,0.04283666,0.01945674,0.15482493,0.26275179,0.21717966,-0.21242302,0.16127462,0.07325217
0.430000,0.68809250,0.04645104,1.56125358,-0.08960167,1.79136759,0.60602302,0.04265284,0.07238569,0.05983099,-0.05852058,0.04442967,0.02018030,0.14999743,0.25455909,0.21040792,-0.20579959,0.15624601,0.07096814
0.440000,0.68852637,0.04718736,1.56186219,-0.09019696,1.79181954,0.60622830,0.04410412,0.07484865,0.06186677,-0.06051177,0.04594141,0.02086694,0.13935968,0.23650588,0.19548589,-0.19120439,0.14516512,0.06593511
0.450000,0.68897414,0.04794726,1.56249030,-0.09081130,1.79228596,0.60644015,0.04542343,0.07708764,0.06371742,-0.06232189,0.04731568,0.02149114,0.12374173,0.21000081,0.17357790,-0.16977622,0.12889655,0.05854580
0.460000,0.68943424,0.04872811,1.56313571,-0.09144258,1.79276523,0.60665784,0.04656512,0.07902519,0.06531892,-0.06388831,0.04850493,0.02203131,0.10397359,0.17645251,0.14584828,-0.14265393,0.10830492,0.04919293
0.470000,0.68990472,0.04952655,1.56379567,-0.09208809,1.79325531,0.60688044,0.04749184,0.08059791,0.06661886,-0.06515979,0.04947025,0.02246977,0.08088532,0.13726964,0.11346135,-0.11097634,0.08425483,0.03826919
0.480000,0.69038327,0.05033868,1.56446694,-0.09274466,1.79375379,0.60710685,0.04817453,0.08175649,0.06757650,-0.06609645,0.05018138,0.02279277,0.05530694,0.09386083,0.07758145,-0.07588227,0.05761091,0.02616732
0.490000,0.69086733,0.05116018,1.56514596,-0.09340880,1.79425802,0.60733588,0.04859244,0.08246573,0.06816273,-0.06666984,0.05061670,0.02299049,0.02806849,0.04763474,0.03937289,-0.03851055,0.02923776,0.01328002
0.500000,0.69135419,0.05198643,1.56582890,-0.09407679,1.79476516,0.60756622,0.04873313,0.08270449,0.06836008,-0.06686287,0.05076325,0.02305706,-0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000
0.510000,0.69184105,0.05281267,1.56651184,-0.09474477,1.79527230,0.60779657,0.04859244,0.08246573,0.06816273,-0.06666984,0.05061670,0.02299049,-0.02806849,-0.04763474,-0.03937289,0.03851055,-0.02923776,-0.01328002
0.520000,0.69232511,0.05363417,1.56719086,-0.09540892,1.79577653,0.60802560,0.04817453,0.08175649,0.06757650,-0.06609645,0.05018138,0.02279277,-0.05530694,-0.09386083,-0.07758145,0.07588227,-0.05761091,-0.02616732
0.530000,0.69280366,0.05444631,1.56786214,-0.09606549,1.79627501,0.60825201,0.04749184,0.08059791,0.06661886,-0.06515979,0.04947025,0.02246977,-0.08088532,-0.13726964,-0.11346135,0.11097634,-0.08425483,-0.03826919
0.540000,0.69327414,0.05524475,1.56852209,-0.09671099,1.79676509,0.60847461,0.04656512,0.07902519,0.06531892,-0.06388831,0.04850493,0.02203131,-0.10397359,-0.17645251,-0.14584828,0.14265393,-0.10830492,-0.04919293
0.550000,0.69373424,0.05602559,1.56916751,-0.09734227,1.79724436,0.60869230,0.04542343,0.07708764,0.06371742,-0.06232189,0.04731568,0.02149114,-0.12374173,-0.21000081,-0.17357790,0.16977622,-0.12889655,-0.05854580
0.560000,0.69418201,0.05678549,1.56979561,-0.09795662,1.79771078,0.60890415,0.04410412,0.07484865,0.06186677,-0.06051177,0.04594141,0.02086694,-0.13935968,-0.23650588,-0.19548589,0.19120439,-0.14516512,-0.06593511
0.570000,0.69461589,0.05752182,1.57040422,-0.09855190,1.79816273,0.60910943,0.04265284,0.07238569,0.05983099,-0.05852058,0.04442967,0.02018030,-0.14999743,-0.25455909,-0.21040792,0.20579959,-0.15624601,-0.07096814
0.580000,0.69503481,0.05823276,1.57099186,-0.09912667,1.79859911,0.60930763,0.04112354,0.06979033,0.05768578,-0.05642235,0.04283666,0.01945674,-0.15482493,-0.26275179,-0.21717966,0.21242302,-0.16127462,-0.07325217
0.590000,0.69543830,0.05891753,1.57155786,-0.09968028,1.79901941,0.60949854,0.03957847,0.06716822,0.05551845,-0.05430249,0.04122723,0.01872573,-0.15301215,-0.25967534,-0.21463679,0.20993585,-0.15938632,-0.07239449
0.600000,0.69582656,0.05957644,1.57210249,-0.10021297,1.79942384,0.60968223,0.03808820,0.06463909,0.05342797,-0.05225780,0.03967487,0.01802063,-0.14372905,-0.24392108,-0.20161499,0.19719924,-0.14971650,-0.06800238
0.610000,0.69620051,0.06021107,1.57262705,-0.10072604,1.79981337,0.60985916,0.03673073,0.06233534,0.05152379,-0.05039533,0.03826086,0.01737837,-0.12647797,-0.21464446,-0.17741615,0.17353040,-0.13174678,-0.05984040
0.620000,0.69656187,0.06082433,1.57313394,-0.10122184,1.80018978,0.61003013,0.03558243,0.06038657,0.04991302,-0.04881983,0.03706472,0.01683508,-0.10209074,-0.17325715,-0.14320712,0.14007062,-0.10634363,-0.04830209
0.630000,0.69691308,0.06142035,1.57362659,-0.10170369,1.80055562,0.61019629,0.03470882,0.05890398,0.04868757,-0.04762123,0.03615472,0.01642175,-0.07173157,-0.12173491,-0.10062100,0.09841721,-0.07471976,-0.03393829
0.640000,0.69725715,0.06200427,1.57410923,-0.10217577,1.80091402,0.61035908,0.03416382,0.05797907,0.04792308,-0.04687347,0.03558701,0.01616389,-0.03656467,-0.06205352,-0.05129085,0.05016749,-0.03808788,-0.01729981
0.650000,0.69759759,0.06258203,1.57458679,-0.10264286,1.80126865,0.61052016,0.03398967,0.05768353,0.04767879,-0.04663454,0.03540561,0.01608150,0.00224577,0.00381127,0.00315023,-0.00308124,0.00233932,0.00106254
0.660000,0.69793828,0.06316021,1.57506469,-0.10311029,1.80162353,0.61068135,0.03421700,0.05806932,0.04799767,-0.04694643,0.03564241,0.01618906,0.04353553,0.07388370,0.06106918,-0.05973165,0.04534913,0.02059792
0.670000,0.69828333,0.06374580,1.57554871,-0.10358371,1.80198296,0.61084460,0.03486477,0.05916864,0.04890633,-0.04783519,0.03631716,0.01649553,0.08614041,0.14618800,0.12083290,-0.11818644,0.08972884,0.04075553
0.680000,0.69863700,0.06434601,1.57604482,-0.10406896,1.80235136,0.61101193,0.03594031,0.06099393,0.05041504,-0.04931085,0.03743751,0.01700440,0.12889621,0.21874843,0.18080832,-0.17684828,0.13426576,0.06098454
0.690000,0.69900355,0.06496808,1.57655899,-0.10457187,1.80273318,0.61118536,0.03743931,0.06353787,0.05251776,-0.05136752,0.03899896,0.01771363,0.17063872,0.28958921,0.23936235,-0.23411987,0.17774718,0.08073413
0.700000,0.69938715,0.06561907,1.57709708,-0.10509817,1.80313275,0.61136685,0.03934583,0.06677340,0.05519210,-0.05398329,0.04098489,0.01861565,0.21020373,0.35673459,0.29486192,-0.28840389,0.21896039,0.09945349
0.710000,0.69979174,0.06630570,1.57766461,-0.10565328,1.80355420,0.61155827,0.04163225,0.07065366,0.05839937,-0.05712031,0.04336656,0.01969743,0.24642705,0.41820880,0.34567393,-0.33810303,0.25669269,0.11659179
0.720000,0.70022093,0.06703408,1.57826666,-0.10624214,1.80400127,0.61176134,0.04425935,0.07511208,0.06208451,-0.06072475,0.04610310,0.02094038,0.27814445,0.47203608,0.39016532,-0.38161997,0.28973138,0.13159822
0.730000,0.70067789,0.06780958,1.57890766,-0.10686910,1.80447727,0.61197754,0.04717624,0.08006231,0.06617616,-0.06472678,0.04914150,0.02232045,0.30419175,0.51624068,0.42670300,-0.41735741,0.31686375,0.14392195
0.740000,0.70116521,0.06863661,1.57959125,-0.10753771,1.80498489,0.61220810,0.05032040,0.08539823,0.07058662,-0.06904064,0.05241665,0.02380804,0.32340473,0.54884683,0.45365388,-0.44371802,0.33687711,0.15301217
0.750000,0.70168481,0.06951841,1.58032011,-0.10825061,1.80552613,0.61245394,0.05361767,0.09099400,0.07521184,-0.07356456,0.05585127,0.02536808,0.33461919,0.56787877,0.46938489,-0.45910449,0.34855874,0.15831805
0.760000,0.70223779,0.07045687,1.58109580,-0.10900932,1.80610215,0.61271557,0.05698224,0.09670398,0.07993147,-0.07818082,0.05935601,0.02695995,0.33667092,0.57136075,0.47226294,-0.46191951,0.35069594,0.15928879
