t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.70129159,0.36652356,1.73983556,-0.36739071,1.88898558,0.50499788,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000,0.00000000,0.00000000
0.010000,0.70128241,0.36651887,1.73983144,-0.36738794,1.88898305,0.50499018,-0.00270883,-0.00138626,-0.00121615,0.00081804,-0.00074496,-0.00227273,-0.52426060,-0.26879150,-0.23500663,0.15836882,-0.14437914,-0.43965637
0.020000,0.70122166,0.36648771,1.73980421,-0.36736958,1.88896632,0.50493924,-0.01014718,-0.00521216,-0.00454155,0.00306616,-0.00279838,-0.00850571,-0.94711062,-0.48848346,-0.42243815,0.28637380,-0.26199652,-0.79308893
0.030000,0.70106697,0.36640808,1.73973511,-0.36732282,1.88892359,0.50480965,-0.02133714,-0.01100334,-0.00951809,0.00645147,-0.00590181,-0.01786786,-1.27578971,-0.66239820,-0.56582254,0.38616442,-0.35468884,-1.06652615
0.040000,0.70078543,0.36626257,1.73960976,-0.36723767,1.88884558,0.50457402,-0.03537320,-0.01831861,-0.01572294,0.01070257,-0.00981519,-0.02959035,-1.51753751,-0.79385803,-0.66868779,0.45989014,-0.42429279,-1.26619654
0.050000,0.70035281,0.36603799,1.73941785,-0.36710672,1.88872533,0.50421233,-0.05142225,-0.02675006,-0.02276854,0.01556956,-0.01431683,-0.04296666,-1.67959366,-0.88618529,-0.73456190,0.50970044,-0.47264508,-1.39832857
0.060000,0.69975282,0.36572510,1.73915277,-0.36692499,1.88855797,0.50371133,-0.06872357,-0.03592295,-0.03030263,0.02082402,-0.01920338,-0.05735255,-1.76919781,-0.94270229,-0.76697284,0.53774479,-0.50158241,-1.46915073
0.070000,0.69897646,0.36531820,1.73881123,-0.36668964,1.88834059,0.50306386,-0.08658883,-0.04549581,-0.03800821,0.02625906,-0.02428988,-0.07216607,-1.79358960,-0.96673137,-0.76944861,0.54617267,-0.51294146,-1.48489151
0.080000,0.69802123,0.36481488,1.73839297,-0.36639982,1.88807206,0.50226832,-0.10440212,-0.05516036,-0.04560358,0.03168925,-0.02940974,-0.08688754,-1.76000866,-0.96159484,-0.74551719,0.53713354,-0.50855895,-1.45177941
0.090000,0.69689041,0.36421561,1.73790035,-0.36605642,1.88775278,0.50132795,-0.12161989,-0.06464156,-0.05284229,0.03695068,-0.03441471,-0.10105958,-1.67569465,-0.93061503,-0.69870658,0.51277689,-0.49027156,-1.37604290
