tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.109977163,left_link,medium,0.127764023
0.040000,0.110016921,left_link,medium,0.127764023
0.080000,0.110008151,wrist1_Link,medium,0.127764023
0.120000,0.109758789,wrist1_Link,medium,0.127764023
0.160000,0.109534675,wrist1_Link,medium,0.127764023
0.200000,0.109476400,wrist1_Link,medium,0.127764023
0.240000,0.109670536,wrist1_Link,medium,0.127764023
0.280000,0.110103507,wrist1_Link,medium,0.127764023
0.320000,0.110681091,wrist1_Link,medium,0.127764023
0.360000,0.111272836,wrist1_Link,medium,0.127764023
0.400000,0.111756656,wrist1_Link,medium,0.127764023
0.440000,0.112062141,wrist1_Link,medium,0.127764023
0.480000,0.112196577,wrist1_Link,medium,0.127764023
0.520000,0.112228020,wrist1_Link,medium,0.127764023
0.560000,0.112251774,wrist1_Link,medium,0.127764023
0.600000,0.112356558,wrist1_Link,medium,0.127764023
0.640000,0.112591422,wrist1_Link,medium,0.127764023
0.680000,0.112945964,wrist1_Link,medium,0.127764023
0.720000,0.113363800,wrist1_Link,medium,0.127764023
0.760000,0.113768946,wrist1_Link,medium,0.127764023
0.800000,0.114092267,wrist1_Link,medium,0.127764023
0.840000,0.114296625,wrist1_Link,medium,0.127764023
0.880000,0.114389913,wrist1_Link,medium,0.127764023
0.920000,0.114410511,wrist1_Link,medium,0.127764023
0.960000,0.114404003,wrist1_Link,medium,0.127764023
1.000000,0.114400743,wrist1_Link,medium,0.127764023
