tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.103378932,upperArm_Link,medium,0.127764023
0.040000,0.103451822,upperArm_Link,medium,0.127764023
0.080000,0.103852976,upperArm_Link,medium,0.127764023
0.120000,0.104657349,upperArm_Link,medium,0.127764023
0.160000,0.105756258,upperArm_Link,medium,0.127764023
0.200000,0.106959019,upperArm_Link,medium,0.127764023
0.240000,0.108096201,upperArm_Link,medium,0.127764023
0.280000,0.109093680,upperArm_Link,medium,0.127764023
0.320000,0.109965638,upperArm_Link,medium,0.127764023
0.360000,0.110774343,upperArm_Link,medium,0.127764023
0.400000,0.111589111,upperArm_Link,medium,0.127764023
0.440000,0.112447270,upperArm_Link,medium,0.127764023
0.480000,0.113331610,upperArm_Link,medium,0.127764023
0.520000,0.114187992,upperArm_Link,medium,0.127764023
0.560000,0.114958772,upperArm_Link,medium,0.127764023
0.600000,0.115617743,upperArm_Link,medium,0.127764023
0.640000,0.116205233,upperArm_Link,medium,0.127764023
0.680000,0.116841222,upperArm_Link,medium,0.127764023
0.720000,0.117682130,upperArm_Link,medium,0.127764023
0.760000,0.118856031,upperArm_Link,medium,0.127764023
0.800000,0.120397286,upperArm_Link,medium,0.127764023
0.840000,0.119868441,wrist1_Link,medium,0.127764023
0.880000,0.119130848,wrist1_Link,medium,0.127764023
0.920000,0.118515402,wrist1_Link,medium,0.127764023
0.960000,0.118182346,wrist1_Link,medium,0.127764023
1.000000,0.118118546,wrist1_Link,medium,0.127764023
