t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.49334739,-0.51684012,0.88823360,0.16210880,1.53654999,0.69138898,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000000
0.010000,0.49334589,-0.51683750,0.88823849,0.16211606,1.53655879,0.69139846,-0.00044048,0.00077458,0.00144363,0.00214188,0.00259461,0.00279674,-0.08415378,0.15034622,0.27872495,0.41424934,0.50185386,0.54094965
0.020000,0.49333616,-0.51682006,0.88827078,0.16216406,1.53661694,0.69146114,-0.00160744,0.00291853,0.00538166,0.00801233,0.00970766,0.01046391,-0.14561775,0.27417481,0.49959757,0.74670258,0.90488163,0.97537440
0.030000,0.49331204,-0.51677542,0.88835258,0.16228610,1.53676482,0.69162054,-0.00328359,0.00617567,0.01125713,0.01682308,0.02038670,0.02197488,-0.18630814,0.37328322,0.66693310,1.00329868,1.21624774,1.31099679
0.040000,0.49326945,-0.51669363,0.88850066,0.16250789,1.53703362,0.69191028,-0.00527075,0.01030779,0.01855625,0.02784525,0.03375095,0.03638025,-0.20814118,0.44946894,0.78504681,1.18997660,1.44311661,1.55553937
0.050000,0.49320619,-0.51656708,0.88872687,0.16284814,1.53744608,0.69235488,-0.00738994,0.01509464,0.02680837,0.04040935,0.04899126,0.05280781,-0.21303309,0.50452944,0.85825391,1.31267530,1.59265267,1.71672469
0.060000,0.49312175,-0.51639024,0.88903858,0.16331918,1.53801723,0.69297052,-0.00948133,0.02033395,0.03558602,0.05390528,0.06537011,0.07046262,-0.20290011,0.54026220,0.89086968,1.37733375,1.67202033,1.80227531
0.070000,0.49301713,-0.51615951,0.88943906,0.16392751,1.53875505,0.69376582,-0.01140425,0.02584144,0.04450485,0.06778235,0.08222165,0.08862695,-0.17965847,0.55846468,0.88720934,1.38989090,1.68838401,1.81991377
0.080000,0.49289463,-0.51587307,0.88992800,0.16467445,1.53966125,0.69474261,-0.01303719,0.03145080,0.05322367,0.08154923,0.09895166,0.10666027,-0.14522439,0.56093437,0.85158815,1.35628571,1.64890813,1.77736261
0.090000,0.49275769,-0.51553065,0.89050187,0.16555668,1.54073193,0.69589670,-0.01427781,0.03701368,0.06144446,0.09477399,0.11503756,0.12399931,-0.10151410,0.54946875,0.78832135,1.28245714,1.56075713,1.68234440
0.100000,0.49261066,-0.51513339,0.89115438,0.16656687,1.54195834,0.69721866,-0.01504294,0.04239972,0.06891233,0.10708409,0.13002843,0.14015801,-0.05044383,0.52586527,0.70172418,1.17434416,1.43109541,1.54258168
0.110000,0.49245863,-0.51468362,0.89187690,0.16769426,1.54332758,0.69869456,-0.01526854,0.04749652,0.07541556,0.11816639,0.14354499,0.15472753,0.00607020,0.49192143,0.59611189,1.03788573,1.26708741,1.36579700
0.120000,0.49230724,-0.51418474,0.89265890,0.16892526,1.54482329,0.70030680,-0.01490977,0.05220967,0.08078557,0.12776712,0.15527958,0.16737628,0.06611174,0.44943469,0.47579973,0.87902079,1.07589753,1.15971291
0.130000,0.49216247,-0.51364096,0.89348841,0.17024401,1.54642643,0.70203482,-0.01394094,0.05646273,0.08489694,0.13569191,0.16499621,0.17784987,0.12776459,0.40020253,0.34510295,0.70368833,0.86469021,0.93205196
0.140000,0.49203048,-0.51305721,0.89435237,0.17163305,1.54811594,0.70385594,-0.01235550,0.06019723,0.08766740,0.14180579,0.17253054,0.18597114,0.18911249,0.34602243,0.20833678,0.51782729,0.64062986,0.69053669
0.150000,0.49191738,-0.51243889,0.89523715,0.17307383,1.54986945,0.70574606,-0.01016609,0.06337267,0.08905783,0.14603316,0.17778985,0.19164016,0.24823924,0.28869185,0.06981647,0.32737663,0.41088091,0.44288966
0.160000,0.49182907,-0.51179170,0.89612893,0.17454737,1.55166407,0.70768049,-0.00740451,0.06596655,0.08907226,0.14835782,0.18075307,0.19483424,0.30322859,0.23000828,-0.06614273,0.13827532,0.18260777,0.19683342
0.170000,0.49177103,-0.51112151,0.89701416,0.17603479,1.55347702,0.70963467,-0.00412170,0.06797432,0.08775789,0.14882296,0.18147080,0.19560788,0.35216432,0.17176919,-0.19522558,-0.04353768,-0.03702512,-0.03990948
0.180000,0.49174814,-0.51043412,0.89787996,0.17751796,1.55528640,0.71158501,-0.00038779,0.06940941,0.08520506,0.14753115,0.18006525,0.19409283,0.39313021,0.11577204,-0.31311683,-0.21212341,-0.24085336,-0.25961650
0.190000,0.49176448,-0.50973513,0.89871457,0.17898009,1.55707189,0.71350959,0.00370795,0.07030323,0.08154725,0.14464438,0.17673030,0.19049808,0.42421002,0.06381433,-0.41550124,-0.36154292,-0.42171251,-0.45456508
0.200000,0.49182315,-0.50902970,0.89950780,0.18040626,1.55881545,0.71538898,0.00805707,0.07070515,0.07696111,0.14038398,0.17173145,0.18510980,0.44348752,0.01769352,-0.49806355,-0.48585724,-0.57243817,-0.61703267
0.210000,0.49192605,-0.50832244,0.90025142,0.18178411,1.56050208,0.71720700,0.01253330,0.07068157,0.07166383,0.13502723,0.16540167,0.17828691,0.44957483,-0.02118358,-0.55752840,-0.58051988,-0.68754296,-0.74110445
