tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.103378932,upperArm_Link,medium,0.127764023
0.040000,0.103443910,upperArm_Link,medium,0.127764023
0.080000,0.103797479,upperArm_Link,medium,0.127764023
0.120000,0.104494651,upperArm_Link,medium,0.127764023
0.160000,0.105423760,upperArm_Link,medium,0.127764023
0.200000,0.106401327,upperArm_Link,medium,0.127764023
0.240000,0.107268645,upperArm_Link,medium,0.127764023
0.280000,0.107962568,upperArm_Link,medium,0.127764023
0.320000,0.108509672,upperArm_Link,medium,0.127764023
0.360000,0.108987806,upperArm_Link,medium,0.127764023
0.400000,0.109352690,wrist1_Link,medium,0.127764023
0.440000,0.108483705,wrist1_Link,medium,0.127764023
0.480000,0.107502007,wrist1_Link,medium,0.127764023
0.520000,0.106474833,wrist1_Link,medium,0.127764023
0.560000,0.105492062,wrist1_Link,medium,0.127764023
0.600000,0.104621251,wrist1_Link,medium,0.127764023
0.640000,0.103863413,wrist1_Link,medium,0.127764023
0.680000,0.103132169,wrist1_Link,medium,0.127764023
0.720000,0.102292443,wrist1_Link,medium,0.127764023
0.760000,0.101222687,wrist1_Link,medium,0.127764023
0.800000,0.099878108,wrist1_Link,medium,0.127764023
0.840000,0.098352346,wrist1_Link,medium,0.127764023
0.880000,0.096891849,wrist1_Link,medium,0.127764023
0.920000,0.095789127,wrist1_Link,medium,0.127764023
0.960000,0.095227606,wrist1_Link,medium,0.127764023
1.000000,0.095124241,wrist1_Link,medium,0.127764023
