tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.106272190,wrist1_Link,medium,0.127764023
0.040000,0.106230813,wrist1_Link,medium,0.127764023
0.080000,0.106006110,wrist1_Link,medium,0.127764023
0.120000,0.105565205,wrist1_Link,medium,0.127764023
0.160000,0.104982009,wrist1_Link,medium,0.127764023
0.200000,0.104373693,wrist1_Link,medium,0.127764023
0.240000,0.103838424,wrist1_Link,medium,0.127764023
0.280000,0.103413111,wrist1_Link,medium,0.127764023
0.320000,0.103079601,wrist1_Link,medium,0.127764023
0.360000,0.102789428,wrist1_Link,medium,0.127764023
0.400000,0.102488951,wrist1_Link,medium,0.127764023
0.440000,0.102144000,wrist1_Link,medium,0.127764023
0.480000,0.101755113,wrist1_Link,medium,0.127764023
0.520000,0.101349131,wrist1_Link,medium,0.127764023
0.560000,0.100961587,wrist1_Link,medium,0.127764023
0.600000,0.100618921,wrist1_Link,medium,0.127764023
0.640000,0.100321271,wrist1_Link,medium,0.127764023
0.680000,0.100034563,wrist1_Link,medium,0.127764023
0.720000,0.099705927,wrist1_Link,medium,0.127764023
0.760000,0.099288209,wrist1_Link,medium,0.127764023
0.800000,0.098764689,wrist1_Link,medium,0.127764023
0.840000,0.098172682,wrist1_Link,medium,0.127764023
0.880000,0.097608070,wrist1_Link,medium,0.127764023
0.920000,0.097183127,wrist1_Link,medium,0.127764023
0.960000,0.096967192,wrist1_Link,medium,0.127764023
1.000000,0.096927477,wrist1_Link,medium,0.127764023
