tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.099106946,foreArm_Link,medium,0.127764023
0.040000,0.099400114,foreArm_Link,medium,0.127764023
0.080000,0.100893994,foreArm_Link,medium,0.127764023
0.120000,0.103527400,foreArm_Link,medium,0.127764023
0.160000,0.106406517,foreArm_Link,medium,0.127764023
0.200000,0.108399041,foreArm_Link,medium,0.127764023
0.240000,0.108731231,foreArm_Link,medium,0.127764023
0.280000,0.107390779,foreArm_Link,medium,0.127764023
0.320000,0.105006961,foreArm_Link,medium,0.127764023
0.360000,0.102519426,foreArm_Link,medium,0.127764023
0.400000,0.100836173,foreArm_Link,medium,0.127764023
0.440000,0.100495553,foreArm_Link,medium,0.127764023
0.480000,0.101457493,foreArm_Link,medium,0.127764023
0.520000,0.103224992,foreArm_Link,medium,0.127764023
0.560000,0.105097511,foreArm_Link,medium,0.127764023
0.600000,0.105569545,right_link,medium,0.127764023
0.640000,0.104442645,right_link,medium,0.127764023
0.680000,0.103102286,right_link,medium,0.127764023
0.720000,0.101741619,right_link,medium,0.127764023
0.760000,0.100583169,right_link,medium,0.127764023
0.800000,0.099813323,right_link,medium,0.127764023
0.840000,0.099516290,right_link,medium,0.127764023
0.880000,0.099613112,right_link,medium,0.127764023
0.920000,0.099885098,right_link,medium,0.127764023
0.960000,0.100091391,right_link,medium,0.127764023
1.000000,0.100136713,right_link,medium,0.127764023
