tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.099106946,foreArm_Link,medium,0.127764023
0.040000,0.099124362,foreArm_Link,medium,0.127764023
0.080000,0.099220346,foreArm_Link,medium,0.127764023
0.120000,0.099415599,foreArm_Link,medium,0.127764023
0.160000,0.099688015,foreArm_Link,medium,0.127764023
0.200000,0.099989459,foreArm_Link,medium,0.127764023
0.240000,0.100269416,foreArm_Link,medium,0.127764023
0.280000,0.100501748,foreArm_Link,medium,0.127764023
0.320000,0.100690089,foreArm_Link,medium,0.127764023
0.360000,0.100858380,foreArm_Link,medium,0.127764023
0.400000,0.101037000,foreArm_Link,medium,0.127764023
0.440000,0.101247544,foreArm_Link,medium,0.127764023
0.480000,0.101491967,foreArm_Link,medium,0.127764023
0.520000,0.101755160,foreArm_Link,medium,0.127764023
0.560000,0.102014089,foreArm_Link,medium,0.127764023
0.600000,0.101480214,right_link,medium,0.127764023
0.640000,0.100577517,right_link,medium,0.127764023
0.680000,0.099715603,right_link,medium,0.127764023
0.720000,0.098737036,right_link,medium,0.127764023
0.760000,0.097508079,right_link,medium,0.127764023
0.800000,0.095992114,right_link,medium,0.127764023
0.840000,0.094311637,right_link,medium,0.127764023
0.880000,0.092743778,right_link,medium,0.127764023
0.920000,0.091587096,right_link,medium,0.127764023
0.960000,0.091007235,right_link,medium,0.127764023
1.000000,0.090901174,right_link,medium,0.127764023
