tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.435920402,upperArm_Link,medium,0.158702181
0.040000,0.435563466,upperArm_Link,medium,0.158913513
0.080000,0.435203024,upperArm_Link,medium,0.159124845
0.120000,0.434837643,upperArm_Link,medium,0.159336177
0.160000,0.434469387,upperArm_Link,medium,0.159547510
0.200000,0.434101779,upperArm_Link,medium,0.159758842
0.240000,0.433737779,upperArm_Link,medium,0.159970174
0.280000,0.433378699,upperArm_Link,medium,0.160181506
0.320000,0.433024458,upperArm_Link,medium,0.160392838
0.360000,0.432674130,upperArm_Link,medium,0.160604170
0.400000,0.432326364,upperArm_Link,medium,0.160815503
0.440000,0.431979807,upperArm_Link,medium,0.161026835
0.480000,0.431633501,upperArm_Link,medium,0.161238167
0.520000,0.431287018,upperArm_Link,medium,0.161449499
0.560000,0.430940450,upperArm_Link,medium,0.161660831
0.600000,0.430594362,upperArm_Link,medium,0.161872163
0.640000,0.430249701,upperArm_Link,medium,0.162083495
0.680000,0.429907651,upperArm_Link,medium,0.162294828
0.720000,0.429569328,upperArm_Link,medium,0.162506160
0.760000,0.429235444,upperArm_Link,medium,0.162717492
0.800000,0.428905968,upperArm_Link,medium,0.162928824
0.840000,0.428579717,upperArm_Link,medium,0.163140156
0.880000,0.428254231,upperArm_Link,medium,0.163351488
0.920000,0.427926689,upperArm_Link,medium,0.163562820
0.960000,0.427595413,upperArm_Link,medium,0.163774153
1.000000,0.427261371,upperArm_Link,medium,0.163985485
