t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.62233603,-0.20708220,1.33600223,-0.02769361,1.57084405,0.62232864,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.62233525,-0.20708161,1.33600287,-0.02769341,1.57084421,0.62232743,-0.00023162,0.00017227,0.00018998,0.00005973,0.00004500,-0.00035594,-0.04534128,0.03334772,0.03687862,0.01150387,0.00853736,-0.06892220
0.020000,0.62232998,-0.20707775,1.33600715,-0.02769208,1.57084519,0.62231945,-0.00088753,0.00064557,0.00071592,0.00022156,0.00016191,-0.00133467,-0.08489434,0.06028065,0.06726255,0.02045397,0.01442228,-0.12471193
0.030000,0.62231627,-0.20706791,1.33601810,-0.02768872,1.57084760,0.62229909,-0.00191095,0.00135802,0.00151499,0.00046097,0.00032545,-0.00280948,-0.11887986,0.08125311,0.09157326,0.02705302,0.01790695,-0.16829142
0.040000,0.62229072,-0.20704998,1.33603816,-0.02768267,1.57085178,0.62226199,-0.00324731,0.00225228,0.00252855,0.00075546,0.00051288,-0.00466287,-0.14751850,0.09671946,0.11023219,0.03150377,0.01924359,-0.20058285
0.050000,0.62225046,-0.20702243,1.33606921,-0.02767349,1.57085787,0.62220493,-0.00484423,0.00327557,0.00370220,0.00108456,0.00070400,-0.00678658,-0.17103096,0.10713403,0.12366081,0.03400895,0.01868440,-0.22250843
0.060000,0.62219314,-0.20698420,1.33611257,-0.02766093,1.57086581,0.62212569,-0.00665157,0.00437964,0.00498574,0.00142983,0.00088109,-0.00908156,-0.18963791,0.11295116,0.13228058,0.03477129,0.01648159,-0.23499037
0.070000,0.62211689,-0.20693471,1.33616913,-0.02764490,1.57087540,0.62202303,-0.00862138,0.00552078,0.00633318,0.00177486,0.00102899,-0.01145798,-0.20356002,0.11462518,0.13651295,0.03399353,0.01288736,-0.23895087
0.080000,0.62202032,-0.20687379,1.33623931,-0.02762548,1.57088626,0.62189653,-0.01070789,0.00665984,0.00770278,0.00210525,0.00113504,-0.01383525,-0.21301796,0.11261045,0.13677939,0.03187840,0.00815393,-0.23531212
0.090000,0.62190249,-0.20680164,1.33632314,-0.02760288,1.57089792,0.62174656,-0.01286759,0.00776221,0.00905696,0.00240864,0.00118912,-0.01614197,-0.21823242,0.10736129,0.13350135,0.02862865,0.00253351,-0.22499634
0.100000,0.62176286,-0.20671877,1.33642029,-0.02757743,1.57090984,0.62157414,-0.01505913,0.00879780,0.01036239,0.00267471,0.00118360,-0.01831599,-0.21942408,0.09933205,0.12710029,0.02444700,-0.00372172,-0.20892573
0.110000,0.62160133,-0.20662599,1.33653012,-0.02754954,1.57092138,0.62138086,-0.01724340,0.00974110,0.01158996,0.00289515,0.00111341,-0.02030437,-0.21681360,0.08897706,0.11799767,0.01953619,-0.01035953,-0.18802248
0.120000,0.62141814,-0.20652433,1.33665174,-0.02751970,1.57093188,0.62116881,-0.01938347,0.01057111,0.01271475,0.00306368,0.00097597,-0.02206341,-0.21062167,0.07675067,0.10661495,0.01409895,-0.01712771,-0.16320880
0.130000,0.62121392,-0.20641500,1.33678401,-0.02748846,1.57094067,0.62094047,-0.02144463,0.01127139,0.01371606,0.00317605,0.00077126,-0.02355859,-0.20106896,0.06310721,0.09337359,0.00833803,-0.02377407,-0.13540690
0.140000,0.62098962,-0.20629937,1.33692560,-0.02745638,1.57094709,0.62069861,-0.02339438,0.01183004,0.01457743,0.00323004,0.00050174,-0.02476466,-0.18837614,0.04850103,0.07869505,0.00245615,-0.03004640,-0.10553898
0.150000,0.62074651,-0.20617890,1.33707505,-0.02742405,1.57095051,0.62044620,-0.02520242,0.01223971,0.01528658,0.00322545,0.00017242,-0.02566556,-0.17276390,0.03338646,0.06300077,-0.00334394,-0.03569249,-0.07452724
0.160000,0.62048614,-0.20605509,1.33723079,-0.02739206,1.57095036,0.62018634,-0.02684066,0.01249759,0.01583546,0.00316411,-0.00020918,-0.02625446,-0.15445291,0.01821785,0.04671224,-0.00885952,-0.04046012,-0.04329388
0.170000,0.62021035,-0.20592945,1.33739121,-0.02736094,1.57094618,0.61992214,-0.02828322,0.01260540,0.01622025,0.00304988,-0.00063302,-0.02653377,-0.13366385,0.00344952,0.03025089,-0.01388785,-0.04409710,-0.01276110
0.180000,0.61992121,-0.20580346,1.33755465,-0.02733122,1.57093761,0.61965666,-0.02950641,0.01256943,0.01644131,0.00288865,-0.00108652,-0.02651509,-0.11061739,-0.01046417,0.01403820,-0.01822619,-0.04635122,0.01614888
0.190000,0.61962102,-0.20567850,1.33771951,-0.02730330,1.57092440,0.61939276,-0.03048878,0.01240048,0.01650324,0.00268833,-0.00155459,-0.02621928,-0.08553421,-0.02306890,-0.00150439,-0.02167180,-0.04697027,0.04251388
0.200000,0.61931230,-0.20555584,1.33788422,-0.02727755,1.57090652,0.61913309,-0.03121104,0.01211393,0.01641486,0.00245887,-0.00201963,-0.02567637,-0.05863499,-0.03391031,-0.01595540,-0.02402196,-0.04570205,0.06541167
0.210000,0.61899772,-0.20543655,1.33804734,-0.02725418,1.57088409,0.61887993,-0.03165623,0.01172942,0.01618898,0.00221209,-0.00246170,-0.02492517,-0.03017008,-0.04263434,-0.02897107,-0.02512764,-0.04237609,0.08412092
0.220000,0.61868014,-0.20532151,1.33820759,-0.02723332,1.57085743,0.61863515,-0.03181046,0.01126814,0.01584033,0.00196024,-0.00286082,-0.02400764,-0.00050856,-0.04928797,-0.04051834,-0.02505471,-0.03714893,0.09872367
0.230000,0.61836252,-0.20521138,1.33836379,-0.02721496,1.57082708,0.61840020,-0.03166374,0.01075007,0.01538336,0.00171452,-0.00319914,-0.02296344,0.02995082,-0.05401844,-0.05064185,-0.02392273,-0.03025884,0.10950281
0.240000,0.61804789,-0.20510663,1.33851494,-0.02719898,1.57079370,0.61817618,-0.03121011,0.01019369,0.01483209,0.00148492,-0.00346124,-0.02182939,0.06080930,-0.05697300,-0.05938621,-0.02185128,-0.02194412,0.11674123
0.250000,0.61773935,-0.20500757,1.33866016,-0.02718518,1.57075815,0.61796380,-0.03044756,0.00961604,0.01420009,0.00128023,-0.00363407,-0.02063948,0.09166812,-0.05829890,-0.06679606,-0.01895993,-0.01244304,0.12072183
0.260000,0.61743996,-0.20491433,1.33879872,-0.02717326,1.57072136,0.61776347,-0.02937808,0.00903265,0.01350047,0.00110806,-0.00370694,-0.01942487,0.12212853,-0.05814339,-0.07291603,-0.01536826,-0.00199388,0.12172750
0.270000,0.61715279,-0.20482689,1.33892999,-0.02716288,1.57068437,0.61757529,-0.02800764,0.00845762,0.01274592,0.00097480,-0.00367158,-0.01821390,0.15179178,-0.05665371,-0.07779075,-0.01119585,0.00916508,0.12004114
0.280000,0.61688078,-0.20474511,1.33905349,-0.02715362,1.57064831,0.61739909,-0.02634623,0.00790354,0.01194866,0.00088568,-0.00352207,-0.01703208,0.18025911,-0.05397710,-0.08146484,-0.00656226,0.02079556,0.11594563
0.290000,0.61662679,-0.20466872,1.33916886,-0.02714501,1.57061432,0.61723447,-0.02440778,0.00738154,0.01112047,0.00084469,-0.00325489,-0.01590208,0.20713176,-0.05026082,-0.08398293,-0.00158707,0.03265928,0.10972388
0.300000,0.61639349,-0.20459734,1.33927584,-0.02713656,1.57058360,0.61708081,-0.02221024,0.00690130,0.01027270,0.00085468,-0.00286890,-0.01484374,0.23201098,-0.04565212,-0.08538966,0.00361014,0.04451795,0.10165878
