t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.62233603,-0.20708220,1.33600223,-0.02769361,1.57084405,0.62232864,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.62233452,-0.20708099,1.33600263,-0.02769314,1.57084437,0.62232745,-0.00044495,0.00035444,0.00012037,0.00013878,0.00009351,-0.00035208,-0.08612693,0.06824343,0.02376058,0.02641028,0.01764618,-0.06819782
0.020000,0.62232454,-0.20707309,1.33600540,-0.02769009,1.57084641,0.62231954,-0.00166715,0.00131392,0.00046887,0.00050252,0.00033283,-0.00132108,-0.15563723,0.12120168,0.04561808,0.04511401,0.02926453,-0.12353152
0.030000,0.62229913,-0.20705319,1.33601271,-0.02768258,1.57085133,0.62229938,-0.00350606,0.00273143,0.00102621,0.00101781,0.00066075,-0.00278281,-0.20965680,0.16004603,0.06551891,0.05684280,0.03546823,-0.16689465
0.040000,0.62225286,-0.20701739,1.33602655,-0.02766945,1.57085975,0.62226263,-0.00581240,0.00447170,0.00177255,0.00161856,0.00102619,-0.00462205,-0.24931154,0.18594773,0.08340947,0.06232825,0.03687042,-0.19918077
0.050000,0.62218178,-0.20696309,1.33604872,-0.02765012,1.57087182,0.62220604,-0.00844816,0.00641115,0.00268752,0.00224600,0.00138420,-0.00673248,-0.27572735,0.20007809,0.09923615,0.06230198,0.03408428,-0.22128343
0.060000,0.62208323,-0.20688888,1.33608080,-0.02762461,1.57088728,0.62212740,-0.01128657,0.00843792,0.00375021,0.00284867,0.00169596,-0.00901675,-0.29003012,0.20360836,0.11294536,0.05749559,0.02772294,-0.23409620
0.070000,0.62195576,-0.20679438,1.33612415,-0.02759338,1.57090548,0.62202542,-0.01421214,0.01045188,0.00493919,0.00338242,0.00192878,-0.01138642,-0.29334575,0.19770982,0.12448350,0.04864068,0.01839959,-0.23851263
0.080000,0.62179904,-0.20668018,1.33617993,-0.02755731,1.57092550,0.62189965,-0.01712062,0.01236460,0.00623246,0.00381043,0.00205612,-0.01376199,-0.28680015,0.18355376,0.13379697,0.03646887,0.00672736,-0.23542627
0.090000,0.62161372,-0.20654768,1.33624907,-0.02751762,1.57094618,0.62175040,-0.01991902,0.01409934,0.00760753,0.00410318,0.00205755,-0.01607291,-0.27151920,0.16231144,0.14083218,0.02171176,-0.00668057,-0.22573069
