tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.147817880,left_link,medium,0.181455996
0.040000,0.145207311,left_link,medium,0.181832655
0.080000,0.142474789,left_link,medium,0.182209313
0.120000,0.139558465,left_link,medium,0.182585972
0.160000,0.136462511,left_link,medium,0.182962631
0.200000,0.133239669,left_link,medium,0.183339289
0.240000,0.129976262,left_link,medium,0.183715948
0.280000,0.126777409,left_link,medium,0.184092607
0.320000,0.123746940,left_link,medium,0.184469265
0.360000,0.120963724,left_link,medium,0.184845924
0.400000,0.118456336,left_link,medium,0.185222582
0.440000,0.116176641,left_link,medium,0.185599241
0.480000,0.113993832,left_link,medium,0.185975900
0.520000,0.111746271,left_link,medium,0.186352558
0.560000,0.109319657,left_link,medium,0.186729217
0.600000,0.106729820,left_link,medium,0.187105876
0.640000,0.104204354,left_link,medium,0.187482534
0.680000,0.102139657,left_link,medium,0.187859193
0.720000,0.100937298,left_link,medium,0.188235851
0.760000,0.101161255,left_link,medium,0.188612510
0.800000,0.102877745,left_link,medium,0.188989169
0.840000,0.105620848,left_link,medium,0.189365827
0.880000,0.108323737,left_link,medium,0.189742486
0.920000,0.109714784,left_link,medium,0.190119145
0.960000,0.108956807,left_link,medium,0.190495803
1.000000,0.106339133,left_link,medium,0.190872462
