tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.217976718,left_link,medium,0.182260731
0.040000,0.211428485,left_link,medium,0.182902604
0.080000,0.204631781,left_link,medium,0.183544477
0.120000,0.197567430,left_link,medium,0.184186350
0.160000,0.190384655,left_link,medium,0.184828223
0.200000,0.183287856,left_link,medium,0.185470096
0.240000,0.176427796,left_link,medium,0.186111969
0.280000,0.169832307,left_link,medium,0.186753842
0.320000,0.163430087,left_link,medium,0.187395715
0.360000,0.157108770,left_link,medium,0.188037588
0.400000,0.150771483,left_link,medium,0.188679461
0.440000,0.144388659,left_link,medium,0.189321334
0.480000,0.138025697,left_link,medium,0.189963207
0.520000,0.131821906,left_link,medium,0.190605080
0.560000,0.125958707,left_link,medium,0.191246953
0.600000,0.120637076,left_link,medium,0.191888826
0.640000,0.116060283,left_link,medium,0.192530699
0.680000,0.112409493,left_link,medium,0.193172572
0.720000,0.109799035,left_link,medium,0.193814445
0.760000,0.108225154,left_link,medium,0.194456318
0.800000,0.107472434,left_link,medium,0.195098191
0.840000,0.106576929,left_link,medium,0.195740064
0.880000,0.105217522,left_link,medium,0.196381937
0.920000,0.102501925,left_link,medium,0.197023810
0.960000,0.097866627,left_link,medium,0.197665683
1.000000,0.091644570,left_link,medium,0.198307556
