tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.141060670,left_link,medium,0.170027134
0.040000,0.139706903,left_link,medium,0.170310795
0.080000,0.138159933,left_link,medium,0.170594456
0.120000,0.136376233,left_link,medium,0.170878117
0.160000,0.134429302,left_link,medium,0.171161778
0.200000,0.132445220,left_link,medium,0.171445439
0.240000,0.130538284,left_link,medium,0.171729100
0.280000,0.128764816,left_link,medium,0.172012761
0.320000,0.127124029,left_link,medium,0.172296422
0.360000,0.125577547,left_link,medium,0.172580083
0.400000,0.124069798,left_link,medium,0.172863744
0.440000,0.122548402,left_link,medium,0.173147405
0.480000,0.120979625,left_link,medium,0.173431066
0.520000,0.119350874,left_link,medium,0.173714727
0.560000,0.117668037,left_link,medium,0.173998388
0.600000,0.115952587,left_link,medium,0.174282049
0.640000,0.114238577,left_link,medium,0.174565710
0.680000,0.112567584,left_link,medium,0.174849371
0.720000,0.110978443,left_link,medium,0.175133032
0.760000,0.109494869,left_link,medium,0.175416694
0.800000,0.108112873,left_link,medium,0.175700355
0.840000,0.106788539,left_link,medium,0.175984016
0.880000,0.105438387,left_link,medium,0.176267677
0.920000,0.103972079,left_link,medium,0.176551338
0.960000,0.102338213,left_link,medium,0.176834999
1.000000,0.100570985,left_link,medium,0.177118660
