t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.61521006,-0.20028615,1.34315323,-0.02394830,1.57352100,0.60634904,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.61520715,-0.20028515,1.34315460,-0.02394820,1.57352078,0.60634683,-0.00085836,0.00029592,0.00040390,0.00002798,-0.00006359,-0.00065111,-0.16609809,0.05726586,0.07815865,0.00541987,-0.01229955,-0.12601044
0.020000,0.61518790,-0.20027851,1.34316366,-0.02394757,1.57351936,0.60633223,-0.00321432,0.00110826,0.00151254,0.00010498,-0.00023792,-0.00243889,-0.29990308,0.10341538,0.14112882,0.00981384,-0.02217705,-0.22762559
0.030000,0.61513891,-0.20026162,1.34318671,-0.02394597,1.57351573,0.60629505,-0.00675649,0.00232983,0.00317948,0.00022108,-0.00049964,-0.00512810,-0.40372739,0.13924334,0.18999761,0.01325343,-0.02980809,-0.30658507
0.040000,0.61504978,-0.20023088,1.34322866,-0.02394305,1.57350914,0.60622739,-0.01119664,0.00386137,0.00526912,0.00036710,-0.00082718,-0.00850087,-0.47988346,0.16554456,0.22585212,0.01581015,-0.03536825,-0.36462853
0.050000,0.61491287,-0.20018366,1.34329309,-0.02393856,1.57349903,0.60612343,-0.01626964,0.00561161,0.00765676,0.00053458,-0.00120069,-0.01235675,-0.53068373,0.18311383,0.24977946,0.01755552,-0.03903311,-0.40349558
0.060000,0.61472309,-0.20011820,1.34338240,-0.02393232,1.57348504,0.60597926,-0.02173350,0.00749719,0.01022857,0.00071575,-0.00160211,-0.01651266,-0.55844064,0.19274595,0.26286673,0.01856105,-0.04097827,-0.42492585
0.070000,0.61447763,-0.20003352,1.34349793,-0.02392422,1.57346695,0.60579273,-0.02736935,0.00944272,0.01288158,0.00090357,-0.00201511,-0.02080294,-0.56546661,0.19523573,0.26620104,0.01889826,-0.04137932,-0.43065896
0.080000,0.61417578,-0.19992937,1.34364000,-0.02391424,1.57344474,0.60556325,-0.03298144,0.01138075,0.01552371,0.00109172,-0.00242513,-0.02507932,-0.55407409,0.19137795,0.26086949,0.01863867,-0.04041183,-0.42243455
0.090000,0.61381866,-0.19980613,1.34380809,-0.02390241,1.57341850,0.60529163,-0.03839715,0.01325177,0.01807371,0.00127459,-0.00281937,-0.02921091,-0.52657550,0.18196744,0.24795919,0.01785379,-0.03825141,-0.40199224
