tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,-0.000247041,left_link,medium,0.158068929
0.040000,-0.006595995,left_link,medium,0.158700377
0.080000,-0.013482682,left_link,medium,0.159331825
0.120000,-0.021233503,left_link,medium,0.159963273
0.160000,-0.029904095,left_link,medium,0.160594721
0.200000,-0.039291730,left_link,medium,0.161226168
0.240000,-0.048925275,left_link,medium,0.161857616
0.280000,-0.058079075,left_link,medium,0.162489064
0.320000,-0.065901483,left_link,medium,0.163120512
0.360000,-0.071600620,left_link,medium,0.163751960
0.400000,-0.074641175,left_link,medium,0.164383407
0.440000,-0.074961179,left_link,medium,0.165014855
0.480000,-0.073115305,left_link,medium,0.165646303
0.520000,-0.070127958,left_link,medium,0.166277751
0.560000,-0.067184538,left_link,medium,0.166909199
0.600000,-0.065289965,left_link,medium,0.167540646
0.640000,-0.064962904,left_link,medium,0.168172094
0.680000,-0.066133856,left_link,medium,0.168803542
0.720000,-0.068394181,left_link,medium,0.169434990
0.760000,-0.071277696,left_link,medium,0.170066438
0.800000,-0.074379464,left_link,medium,0.170697885
0.840000,-0.077349270,left_link,medium,0.171329333
0.880000,-0.079884301,left_link,medium,0.171960781
0.920000,-0.081759383,left_link,medium,0.172592229
0.960000,-0.082826221,left_link,medium,0.173223677
1.000000,-0.083026884,left_link,medium,0.173855124
