frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.091233,1786673092.232702,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,92.1789,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.188798,1786673092.324931,2673,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,152.2585,0.00000000,0.00000734,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00007519,0.00000000,0.00000000,0.00000000,0.00000000
2,0.322228,1786673092.477203,2786,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,129.4689,0.00000000,-0.00135717,1.56967020,-0.00096469,1.57079637,0.00000000,0.00000000,-0.01022641,-0.00846787,-0.00722996,0.00000000,0.00000000
3,0.458126,1786673092.606687,2691,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,140.0955,0.00000000,-0.00779823,1.56295037,-0.00364235,1.57079637,0.00000000,0.00000000,-0.04739623,-0.04944755,-0.01970344,0.00000000,0.00000000
4,0.592399,1786673092.746808,2871,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,123.7955,0.00000000,-0.02197149,1.54878449,-0.00612194,1.57079637,0.00000000,0.00000000,-0.10555593,-0.10550095,-0.01846683,0.00000000,0.00000000
5,0.718370,1786673092.870619,2755,50000,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,132.3110,0.00000000,-0.04176050,1.52869105,-0.00845114,1.57079637,0.00000000,0.00000000,-0.15709095,-0.15950760,-0.01848985,0.00000000,0.00000000
6,0.852241,1786673093.002955,2737,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,135.6734,0.00000000,-0.06788053,1.49954486,-0.01098941,1.57079637,0.00000000,0.00000000,-0.19511444,-0.21771967,-0.01896071,0.00000000,0.00000000
7,0.986845,1786673093.138656,2762,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.8781,0.00000000,-0.09526236,1.46463263,-0.01342498,1.57079637,0.00000000,0.00000000,-0.20342509,-0.25936993,-0.01809434,0.00000000,0.00000000
8,1.116791,1786673093.270559,2688,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,130.8605,0.00000000,-0.12166482,1.42941952,-0.01584955,1.57079637,0.00000000,0.00000000,-0.20318007,-0.27098236,-0.01865825,0.00000000,0.00000000
9,1.247107,1786673093.401445,2735,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.7309,0.00000000,-0.14801961,1.39649534,-0.01827412,1.57079256,0.00000000,0.00000000,-0.20223783,-0.25264910,-0.01860531,-0.00002927,0.00000000
