tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.126213983,upperArm_Link,medium,0.188251144
0.040000,0.124527791,upperArm_Link,medium,0.188501686
0.080000,0.122961810,upperArm_Link,medium,0.188752228
0.120000,0.121475069,upperArm_Link,medium,0.189002769
0.160000,0.119922956,upperArm_Link,medium,0.189253311
0.200000,0.118374669,upperArm_Link,medium,0.189503852
0.240000,0.116795263,upperArm_Link,medium,0.189754394
0.280000,0.115180437,upperArm_Link,medium,0.190004935
0.320000,0.113557467,upperArm_Link,medium,0.190255477
0.360000,0.111971127,upperArm_Link,medium,0.190506019
0.400000,0.110468143,upperArm_Link,medium,0.190756560
0.440000,0.109080624,upperArm_Link,medium,0.191007102
0.480000,0.107809364,upperArm_Link,medium,0.191257643
0.520000,0.106492488,upperArm_Link,medium,0.191508185
0.560000,0.104688026,upperArm_Link,medium,0.191758726
0.600000,0.102992237,upperArm_Link,medium,0.192009268
0.640000,0.101408414,upperArm_Link,medium,0.192259810
0.680000,0.099896880,upperArm_Link,medium,0.192510351
0.720000,0.098390897,upperArm_Link,medium,0.192760893
0.760000,0.096821375,upperArm_Link,medium,0.193011434
0.800000,0.095137574,upperArm_Link,medium,0.193261976
0.840000,0.093324661,upperArm_Link,medium,0.193512517
0.880000,0.091413234,upperArm_Link,medium,0.193763059
0.920000,0.089463850,upperArm_Link,medium,0.194013601
0.960000,0.087536456,upperArm_Link,medium,0.194264142
1.000000,0.085653135,upperArm_Link,medium,0.194514684
