frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.092909,1786955124.055555,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,93.8646,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.198368,1786955124.149455,2706,50000,0,2706,49,1767,0.018108,0.224054,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.346357,,0,1.000000,SAFE,1,current,50000,218.8539,0.00000000,0.00000734,1.57080007,-0.00000367,1.57079637,0.00000000,0.00000000,0.00006956,0.00000000,-0.00003478,0.00000000,0.00000000
2,0.397418,1786955124.368335,2634,50000,0,2634,38,1719,0.014427,0.226322,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.589153,0.991090,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.335006,,0,1.000000,SAFE,1,current,50000,177.9872,0.00377440,-0.00374139,1.56707323,-0.00159926,1.57079637,0.00375239,0.01896202,-0.01883303,-0.01872308,-0.00801601,0.00000000,0.01885145
3,0.569376,1786955124.546349,2577,50000,0,2577,49,1696,0.019014,0.224338,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.581998,0.976701,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.357702,,0,1.000000,SAFE,1,current,50000,174.6550,0.01814573,-0.01493254,1.55476344,-0.00357633,1.57079637,0.01827778,0.08357470,-0.06508076,-0.07158605,-0.01149739,0.00000000,0.08447061
4,0.745249,1786955124.721021,2647,50000,0,2647,76,1761,0.028712,0.223468,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.567854,0.949022,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.359810,,0,1.000000,SAFE,1,current,50000,176.1535,0.04582468,-0.02840521,1.53913033,-0.00547637,1.57079637,0.04600074,0.15738082,-0.07660479,-0.08888891,-0.01080351,0.00000000,0.15763108
5,0.922258,1786955124.897203,2681,50000,0,2681,54,1800,0.020142,0.225348,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.545670,0.906880,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.374845,,0,1.000000,SAFE,1,current,50000,200.1967,0.08796665,-0.04224101,1.52297997,-0.00743876,1.57079637,0.08826743,0.23807839,-0.07816447,-0.09124040,-0.01108642,0.00000000,0.23878296
6,1.124237,1786955125.097429,2572,50000,0,2572,55,1736,0.021384,0.223658,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.511310,0.843753,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.430854,,0,1.000000,SAFE,1,current,50000,190.5191,0.15109341,-0.05765040,1.50503600,-0.00967259,1.57079637,0.15158859,0.31254032,-0.07629181,-0.08884056,-0.01105968,0.00000000,0.31350279
7,1.315453,1786955125.288002,2581,50000,0,2581,29,1675,0.011236,0.223249,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.467865,0.768683,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.462262,,0,1.000000,SAFE,1,current,50000,180.2793,0.22616328,-0.07224914,1.48793924,-0.01174869,1.57079637,0.22682351,0.39259164,-0.07634681,-0.08941062,-0.01085737,0.00000000,0.39345478
8,1.499768,1786955125.468311,2697,50000,0,2697,38,1789,0.014090,0.222147,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.422658,0.688570,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.479849,,0,1.000000,SAFE,1,current,50000,170.2066,0.30627668,-0.08649577,1.47138548,-0.01374777,1.57079637,0.30714965,0.43465509,-0.07729505,-0.08981239,-0.01084598,0.00000000,0.43580933
9,1.663130,1786955125.638534,2421,50000,0,2421,24,1618,0.009913,0.223801,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.379933,0.616566,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.485812,,0,1.000000,SAFE,1,current,50000,172.4933,0.37828007,-0.09918348,1.45652616,-0.01557445,1.57079637,0.37911636,0.44076020,-0.07766628,-0.09095955,-0.01118179,0.00000000,0.44053562
10,1.836836,1786955125.811044,2599,50000,0,2599,32,1738,0.012312,0.223059,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.333871,0.540224,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.470874,,0,1.000000,SAFE,1,current,50000,182.7052,0.45462275,-0.11263046,1.44085276,-0.01751850,1.57079637,0.45547372,0.43949329,-0.07741228,-0.09022940,-0.01119163,0.00000000,0.43957787
11,2.021619,1786955125.993777,2507,50000,0,2507,20,1703,0.007978,0.223840,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.284628,0.459494,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.468322,,0,1.000000,SAFE,1,current,50000,190.6432,0.53535235,-0.12685509,1.42424035,-0.01948456,1.57079637,0.53619599,0.43689012,-0.07698042,-0.08990256,-0.01063988,0.00000000,0.43685044
12,2.207355,1786955126.184438,2457,50000,0,2457,17,1763,0.006919,0.223369,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.235215,0.378786,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.473549,,0,1.000000,SAFE,1,current,50000,153.8404,0.61606002,-0.14108704,1.40761673,-0.02152032,1.57079637,0.61694032,0.43452765,-0.07662439,-0.08950105,-0.01096045,0.00000000,0.43472501
13,2.368498,1786955126.338295,2518,50000,0,2518,17,1724,0.006751,0.225072,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.192608,0.308958,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.470843,,0,1.000000,SAFE,1,current,50000,179.6141,0.68588823,-0.15339693,1.39327478,-0.02332499,1.57079637,0.68674290,0.43333155,-0.07639126,-0.08900156,-0.01119921,0.00000000,0.43317249
14,2.540152,1786955126.517926,2455,50000,0,2455,12,1699,0.004888,0.223588,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.147866,0.234956,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.468111,,0,1.000000,SAFE,1,current,50000,150.7241,0.75989068,-0.16646612,1.37803411,-0.02512966,1.57079637,0.76060230,0.43111396,-0.07613677,-0.08878714,-0.01051342,0.00000000,0.43028059
15,2.696431,1786955126.668684,2441,50000,0,2441,5,1734,0.002048,0.225582,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.108399,0.169063,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.475454,,0,1.000000,SAFE,1,current,50000,144.3752,0.82578313,-0.17876135,1.36360407,-0.02689398,1.57079637,0.82631505,0.42163209,-0.07867462,-0.09233485,-0.01128953,0.00000000,0.42048218
