frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
25,4.381936,1,1,0.561033,-0.469840,0.370529,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.095546,0.108194,0.163194,0.095546,0.013637,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
26,4.564327,1,2,0.570324,-0.459345,0.368827,0.000000,0.076973,0.076973,0.071732,0.050650,0.057213,-0.009280,0.102985,0.111354,0.166354,0.102985,0.016120,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
27,4.748313,1,3,0.561267,-0.455489,0.365060,0.000000,0.041908,0.041908,0.068961,0.000637,0.039156,-0.014923,0.104981,0.113925,0.168925,0.104981,0.021723,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
28,4.932696,1,4,0.566171,-0.450659,0.364390,0.000000,0.038116,0.038116,0.032532,0.009422,0.035176,-0.011258,0.106005,0.116437,0.171437,0.106005,0.021618,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
29,5.099255,1,5,0.575154,-0.436971,0.369000,0.012910,0.049650,0.049650,0.045058,0.019581,0.045577,-0.002121,0.102490,0.112813,0.167813,0.102490,0.016296,0,0,0,0,"speed_ok,valid_streak_not_ready"
30,5.270018,1,6,0.582055,-0.445837,0.373936,0.017082,0.026287,0.026287,0.044294,0.016574,0.019085,0.007218,0.105746,0.120701,0.175701,0.105746,0.016746,0,0,0,0,"speed_ok,valid_streak_not_ready"
31,5.451785,1,7,0.565664,-0.438990,0.374882,0.000000,0.027883,0.027883,0.047812,0.006224,0.023355,0.013903,0.105923,0.123918,0.178918,0.105923,0.023800,0,0,0,0,"speed_ok,valid_streak_not_ready"
32,5.632161,1,8,0.571595,-0.427909,0.365174,0.010149,0.033082,0.033082,0.052000,0.007667,0.032162,0.001108,0.109764,0.129526,0.184526,0.109764,0.017985,0,0,0,0,"speed_ok,valid_streak_not_ready"
33,5.807803,1,9,0.582738,-0.426136,0.368420,0.016291,0.018700,0.018700,0.049906,0.010713,0.015306,-0.000819,0.108801,0.122631,0.177631,0.108801,0.016326,0,0,0,0,"speed_ok,valid_streak_not_ready"
34,5.988027,1,10,0.578918,-0.418873,0.366353,0.020992,0.039554,0.039554,0.049310,-0.004403,0.037840,-0.010642,0.110057,0.123090,0.178090,0.110057,0.016220,0,0,0,0,"speed_ok,valid_streak_not_ready"
