tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.158847224,left_link,medium,0.177104516
0.040000,0.155572147,left_link,medium,0.177487783
0.080000,0.152518386,left_link,medium,0.177871049
0.120000,0.149741044,left_link,medium,0.178254316
0.160000,0.147173661,left_link,medium,0.178637582
0.200000,0.144684177,left_link,medium,0.179020849
0.240000,0.142143893,left_link,medium,0.179404116
0.280000,0.139491652,left_link,medium,0.179787382
0.320000,0.136740566,left_link,medium,0.180170649
0.360000,0.133952316,left_link,medium,0.180553915
0.400000,0.131203546,left_link,medium,0.180937182
0.440000,0.128548525,left_link,medium,0.181320449
0.480000,0.125992106,left_link,medium,0.181703715
0.520000,0.123496769,left_link,medium,0.182086982
0.560000,0.121006149,left_link,medium,0.182470248
0.600000,0.118473471,left_link,medium,0.182853515
0.640000,0.115893808,left_link,medium,0.183236782
0.680000,0.113323395,left_link,medium,0.183620048
0.720000,0.110857865,left_link,medium,0.184003315
0.760000,0.108590962,left_link,medium,0.184386581
0.800000,0.106567946,left_link,medium,0.184769848
0.840000,0.104732795,left_link,medium,0.185153115
0.880000,0.102903013,left_link,medium,0.185536381
0.920000,0.100840509,left_link,medium,0.185919648
0.960000,0.098378604,left_link,medium,0.186302914
1.000000,0.095359073,left_link,medium,0.186686181
