t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.87970680,-0.09693497,1.46770644,-0.00606692,1.57079637,0.87970316,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.87971048,-0.09692642,1.46771563,-0.00607617,1.57078877,0.87970316,0.00109329,0.00252154,0.00271150,-0.00273070,-0.00224346,0.00000000,0.21439290,0.48611621,0.52446233,-0.52817630,-0.43393413,0.00000000
0.020000,0.87973539,-0.09687012,1.46777640,-0.00613738,1.57073849,0.87970316,0.00420389,0.00937218,0.01014499,-0.01021683,-0.00839385,0.00000000,0.40359681,0.86718921,0.94564647,-0.95234306,-0.78241707,0.00000000
0.030000,0.87980046,-0.09672792,1.46793094,-0.00629301,1.57061062,0.87970316,0.00908394,0.01954253,0.02130512,-0.02145599,-0.01762761,0.00000000,0.56841603,1.15142560,1.27103959,-1.28004045,-1.05164362,-0.00000000
0.040000,0.87992217,-0.09647131,1.46821185,-0.00657591,1.57037820,0.87970316,0.01549361,0.03210526,0.03527143,-0.03552121,-0.02918318,-0.00000000,0.70965484,1.34703201,1.50812889,-1.51880870,-1.24780859,0.00000000
0.050000,0.88011465,-0.09608066,1.46864290,-0.00701001,1.57002156,0.87970316,0.02320112,0.04621509,0.05119831,-0.05156087,-0.04236090,0.00000000,0.82811752,1.46221506,1.66440153,-1.67618798,-1.37710678,0.00000000
0.060000,0.88038977,-0.09554440,1.46923978,-0.00761111,1.56952771,0.87970316,0.03198272,0.06110884,0.06831503,-0.06879880,-0.05652307,0.00000000,0.92460836,1.50518136,1.74734469,-1.75971851,-1.44573301,0.00000000
0.070000,0.88075717,-0.09485815,1.47001084,-0.00838763,1.56888974,0.87970316,0.04162273,0.07610535,0.08592573,-0.08653421,-0.07109397,-0.00000000,0.99993165,1.48413753,1.76444556,-1.77694047,-1.45988206,0.00000000
0.080000,0.88122439,-0.09402396,1.47095786,-0.00934136,1.56810619,0.87970316,0.05191348,0.09060558,0.10340942,-0.10414172,-0.08555977,0.00000000,1.05489167,1.40729020,1.72319130,-1.73539407,-1.42574876,0.00000000
0.090000,0.88179694,-0.09304943,1.47207677,-0.01046820,1.56718041,0.87970316,0.06265537,0.10409250,0.12022000,-0.12107133,-0.09946865,0.00000000,1.09029271,1.28284596,1.63106910,-1.64261951,-1.34952791,0.00000000
0.100000,0.88247836,-0.09194694,1.47335844,-0.01175894,1.56611998,0.87970316,0.07365682,0.11613120,0.13588620,-0.13684848,-0.11243069,-0.00000000,1.10693905,1.11901146,1.49556613,-1.50615698,-1.23741431,0.00000000
