t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.84928787,-0.04669400,1.50015366,0.01193210,1.61537397,0.85685140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.84928689,-0.04669190,1.50015381,0.01194029,1.61538479,0.85685434,-0.00029713,0.00062456,0.00004790,0.00241236,0.00318859,0.00086135,-0.06037173,0.12235517,0.01081197,0.46466725,0.61480658,0.16430686
0.020000,0.84927982,-0.04667768,1.50015510,0.01199409,1.61545599,0.85687332,-0.00122413,0.00239672,0.00023905,0.00895084,0.01185505,0.00313373,-0.12575310,0.22959432,0.02846622,0.82658193,1.09728807,0.28289009
0.030000,0.84926016,-0.04664063,1.50015928,0.01212976,1.61563590,0.85692025,-0.00282449,0.00516759,0.00063639,0.01862866,0.02472759,0.00638045,-0.19482249,0.32217614,0.05187054,1.09389419,1.45774047,0.35986370
0.040000,0.84922099,-0.04657148,1.50016869,0.01237410,1.61596065,0.85700286,-0.00512847,0.00879291,0.00129198,0.03054055,0.04063741,0.01020601,-0.26625832,0.40055934,0.07993272,1.27475416,1.70645975,0.39934171
0.050000,0.84915518,-0.04646239,1.50018612,0.01274526,1.61645521,0.85712512,-0.00815314,0.01313298,0.00224693,0.04386273,0.05851866,0.01425602,-0.33873895,0.46520260,0.11156055,1.37731198,1.85374190,0.40543813
0.060000,0.84905551,-0.04630689,1.50021473,0.01325357,1.61713438,0.85728768,-0.01190233,0.01805269,0.00353144,0.05785295,0.07740845,0.01821722,-0.41094280,0.51656463,0.14566182,1.40971779,1.90988290,0.38226697
0.070000,0.84891475,-0.04609984,1.50025791,0.01390234,1.61800386,0.85748826,-0.01636667,0.02342153,0.00516477,0.07185042,0.09644684,0.02181751,-0.48154825,0.55510412,0.18114431,1.38012173,1.88517876,0.33394225
0.080000,0.84872586,-0.04583739,1.50031921,0.01468866,1.61906127,0.85772205,-0.02152356,0.02911356,0.00715529,0.08527587,0.11487686,0.02482593,-0.54923370,0.58127977,0.21691583,1.29667392,1.78992544,0.26457799
0.090000,0.84848209,-0.04551690,1.50040220,0.01560428,1.62029718,0.85798216,-0.02733720,0.03500744,0.00950041,0.09763156,0.13204450,0.02705265,-0.61267754,0.59555028,0.25188415,1.16752452,1.63441894,0.17828819
0.100000,0.84817709,-0.04513695,1.50051036,0.01663633,1.62169611,0.85826000,-0.03375857,0.04098641,0.01218665,0.10850119,0.14739871,0.02834899,-0.67055817,0.59837433,0.28495708,1.00082366,1.42895524,0.07918688
0.110000,0.84780510,-0.04469726,1.50064699,0.01776822,1.62323760,0.85854568,-0.04072541,0.04693830,0.01518960,0.11755002,0.16049140,0.02860740,-0.72155397,0.59021064,0.31504239,0.80472147,1.18383032,-0.02861194
