t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.81981891,-0.04655461,1.52285886,-0.00134617,1.57080007,0.81980795,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.81981741,-0.04655091,1.52286226,-0.00134253,1.57080957,0.81980894,-0.00044445,0.00109080,0.00100333,0.00107307,0.00280584,0.00029405,-0.08589670,0.21095999,0.19404872,0.20756672,0.54271304,0.05686780
0.020000,0.81980746,-0.04652647,1.52288474,-0.00131848,1.57087246,0.81981553,-0.00166021,0.00408028,0.00375328,0.00401532,0.01049805,0.00109989,-0.15447631,0.38024271,0.34978949,0.37432828,0.97856273,0.10249542
0.030000,0.81978219,-0.04646432,1.52294191,-0.00125731,1.57103238,0.81983228,-0.00348058,0.00856684,0.00788071,0.00843345,0.02204669,0.00230921,-0.20703519,0.51088206,0.47000754,0.50323599,1.31528993,0.13769994
0.040000,0.81973634,-0.04635138,1.52304581,-0.00114610,1.57132307,0.81986273,-0.00575183,0.01417922,0.01304431,0.01396370,0.03649924,0.00382187,-0.24486972,0.60591198,0.55748807,0.59724115,1.56063548,0.16329846
0.050000,0.81966612,-0.04617812,1.52320520,-0.00097544,1.57176912,0.81990943,-0.00833321,0.02057649,0.01893063,0.02027177,0.05298060,0.00554588,-0.26927630,0.66836639,0.61501631,0.65929507,1.72234023,0.18010807
0.060000,0.81956907,-0.04593828,1.52342588,-0.00073910,1.57238677,0.81997407,-0.01109692,0.02744807,0.02525408,0.02705293,0.07069305,0.00739746,-0.28155129,0.70127922,0.64537747,0.69234905,1.80814504,0.18894585
0.070000,0.81944396,-0.04562852,1.52371088,-0.00043373,1.57318467,0.82005755,-0.01392812,0.03451372,0.03175691,0.03403192,0.08891630,0.00930095,-0.28299108,0.70768439,0.65135679,0.69935440,1.82579073,0.19062891
0.080000,0.81929063,-0.04524819,1.52406084,-0.00005862,1.57416465,0.82016004,-0.01672495,0.04152352,0.03820922,0.04096303,0.10700747,0.01118891,-0.27489205,0.69061584,0.63573946,0.68326242,1.78301818,0.18597432
0.090000,0.81910987,-0.04479897,1.52447422,0.00038465,1.57532249,0.82028108,-0.01939849,0.04825790,0.04440899,0.04763002,0.12440107,0.01300204,-0.25855057,0.65310747,0.60131072,0.64702443,1.68756821,0.17579919
