t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.84878165,0.00344428,1.51749980,0.03812182,1.69189620,0.85277611,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.84877843,0.00344727,1.51750139,0.03812798,1.69190578,0.85277682,-0.00094945,0.00088411,0.00046912,0.00181956,0.00282655,0.00020893,-0.18377732,0.17098324,0.09077372,0.35192967,0.54666412,0.04040616
0.020000,0.84875713,0.00346709,1.51751191,0.03816876,1.69196912,0.85278150,-0.00355752,0.00330698,0.00175659,0.00680734,0.01057342,0.00078150,-0.33214692,0.30816083,0.16388305,0.63448249,0.98537023,0.07282637
0.030000,0.84870289,0.00351745,1.51753868,0.03827245,1.69213017,0.85279340,-0.00748283,0.00694283,0.00369214,0.01429473,0.02220022,0.00164077,-0.44764965,0.41398998,0.22060063,0.85269034,1.32395508,0.09784051
0.040000,0.84860414,0.00360898,1.51758739,0.03846092,1.69242285,0.85281503,-0.01240943,0.01149047,0.00611821,0.02366343,0.03674491,0.00271556,-0.53282633,0.49092790,0.26219915,1.01158513,1.57025539,0.11602849
0.050000,0.84845234,0.00374938,1.51766220,0.03875010,1.69287184,0.85284821,-0.01804674,0.01667328,0.00888997,0.03434549,0.05332383,0.00394052,-0.59021780,0.54143180,0.28995127,1.11619874,1.73210788,0.12797021
0.060000,0.84824172,0.00394372,1.51776590,0.03915048,1.69349341,0.85289415,-0.02412963,0.02223919,0.01187532,0.04582324,0.07113170,0.00525608,-0.62236489,0.56795891,0.30512966,1.17156307,1.81734930,0.13424555
0.070000,0.84796906,0.00419468,1.51790002,0.03966765,1.69429614,0.85295346,-0.03041836,0.02796072,0.01495489,0.05762936,0.08944157,0.00660847,-0.63180845,0.57296643,0.30900699,1.18271002,1.83381638,0.13543442
0.080000,0.84763339,0.00450277,1.51806495,0.04030276,1.69528174,0.85302628,-0.03669859,0.03363498,0.01802203,0.06934683,0.10760490,0.00794974,-0.62108930,0.55891157,0.30285593,1.15467147,1.78934583,0.13211671
0.090000,0.84723575,0.00486662,1.51826010,0.04105306,1.69644584,0.85311227,-0.04278141,0.03908360,0.02098283,0.08060895,0.12505148,0.00923772,-0.59274829,0.52825156,0.28794915,1.09247933,1.69177440,0.12487232
