frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,raw_window_speed_m_s,filtered_speed_m_s,raw_window_velocity_x_m_s,raw_window_velocity_y_m_s,raw_window_velocity_z_m_s,velocity_ema_alpha,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
30,5.311502,1,1,0.500498,-0.482279,0.367738,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000,0.095772,0.110175,0.165175,0.095772,0.008722,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
31,5.492163,1,2,0.506479,-0.466666,0.368034,0.000000,0.060740,0.060740,0.101843,0.021725,0.056712,0.001076,0.093446,0.060740,0.033423,0.087249,0.001655,0.650,0.101160,0.109865,0.164865,0.101160,0.011146,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
32,5.666879,1,3,0.494953,-0.451060,0.363563,0.014468,0.077832,0.077832,0.132975,-0.002455,0.077452,-0.007281,0.090791,0.077832,-0.015743,0.088627,-0.011854,0.650,0.098916,0.114881,0.169881,0.098916,0.013408,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
33,5.844138,1,4,0.495442,-0.439202,0.363096,0.025584,0.081521,0.081521,0.077738,-0.010595,0.080294,-0.009285,0.081980,0.081521,-0.009503,0.080958,-0.008725,0.650,0.102562,0.116003,0.171003,0.102562,0.016466,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
34,6.033203,1,5,0.504753,-0.445009,0.364825,0.000000,0.075276,0.075276,0.035456,-0.008239,0.074346,-0.008445,0.052216,0.075276,0.005905,0.051723,-0.004043,0.250,0.109037,0.119418,0.174418,0.109037,0.016624,0,0,0,0,"speed_ok,valid_streak_not_ready"
35,6.230155,1,6,0.507259,-0.435311,0.374030,0.011201,0.065405,0.065405,0.033700,-0.004540,0.065094,-0.004465,0.043805,0.065405,0.001069,0.043012,0.008225,0.250,0.105376,0.118146,0.173146,0.105376,0.010447,0,0,0,0,"speed_ok,valid_streak_not_ready"
36,6.405782,1,7,0.506594,-0.420043,0.372419,0.022215,0.057690,0.057690,0.102618,0.001315,0.057673,0.000511,0.046196,0.057690,0.015682,0.041783,0.011931,0.250,0.107857,0.122245,0.177245,0.107857,0.005183,0,0,0,0,"speed_ok,valid_streak_not_ready"
37,6.601082,1,8,0.507940,-0.428654,0.373801,0.000000,0.049823,0.049823,0.066089,0.004588,0.049427,0.004272,0.026184,0.049823,0.016742,0.014130,0.014340,0.250,0.106892,0.133956,0.188956,0.106892,0.010771,0,0,0,0,"speed_ok,valid_streak_not_ready"
38,6.780070,1,9,0.508424,-0.409448,0.373294,0.013465,0.048053,0.048053,0.140623,0.004519,0.047528,0.005451,0.049281,0.048053,0.004925,0.047701,0.011360,0.250,0.114516,0.132903,0.187903,0.114516,0.010760,0,0,0,0,"speed_ok,valid_streak_not_ready"
39,6.950929,1,10,0.505968,-0.402552,0.372572,0.022985,0.046285,0.046285,0.062856,0.003296,0.046010,0.003811,0.044822,0.046285,-0.001763,0.044743,-0.001992,0.250,0.109978,0.126682,0.181682,0.109978,0.018042,0,0,0,0,"speed_ok,valid_streak_not_ready"
40,7.114228,1,11,0.505534,-0.392135,0.362217,0.032613,0.046452,0.046452,0.057911,-0.000293,0.046015,-0.006354,0.042186,0.046452,-0.001503,0.039596,-0.014475,0.650,0.117588,0.143814,0.198814,0.117588,0.018348,0,0,0,0,"speed_ok,valid_streak_not_ready"
41,7.306202,1,12,0.502993,-0.382308,0.363630,0.036819,0.058429,0.058429,0.080953,-0.004808,0.056620,-0.013600,0.066555,0.058429,-0.006902,0.064657,-0.014190,0.650,0.112016,0.139419,0.194419,0.112016,0.020954,0,0,0,0,"speed_ok,valid_streak_not_ready"
42,7.501042,1,13,0.505835,-0.376762,0.369108,0.037758,0.055870,0.055870,0.065415,-0.004701,0.054264,-0.012440,0.045538,0.055870,-0.003567,0.045031,-0.005767,0.250,0.106933,0.131678,0.186678,0.106933,0.016860,0,0,0,0,"speed_ok,valid_streak_not_ready"
43,7.679165,1,14,0.490161,-0.372602,0.360590,0.039515,0.052747,0.052747,0.055265,-0.007739,0.050889,-0.011520,0.049606,0.052747,-0.021829,0.041358,-0.016545,0.250,0.112972,0.142482,0.197482,0.112972,0.026617,0,0,0,0,"speed_ok,valid_streak_not_ready"
44,7.855404,1,15,0.496723,-0.353993,0.361032,0.045421,0.051533,0.051533,0.163298,-0.009866,0.049719,-0.009294,0.052777,0.051533,-0.011874,0.051399,-0.001597,0.250,0.113825,0.134454,0.189454,0.113825,0.029517,0,0,0,0,"speed_ok,valid_streak_not_ready"
45,8.032145,1,16,0.510361,-0.328913,0.361442,0.056654,0.064618,0.064618,0.132023,-0.001483,0.064145,-0.007666,0.074815,0.064618,0.010219,0.074052,-0.003035,0.650,0.106995,0.131179,0.186179,0.106995,0.017440,0,0,0,0,"speed_ok,valid_streak_not_ready"
46,8.203997,1,17,0.499776,-0.319495,0.358923,0.062240,0.081784,0.081784,0.054684,0.002524,0.081143,-0.009898,0.083483,0.081784,-0.008650,0.081751,-0.014539,0.650,0.113212,0.129675,0.184675,0.113212,0.023435,1,1,1,0,valid_streak_not_ready
