tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.083759907,left_link,medium,0.120632127
0.040000,0.082179525,left_link,medium,0.120632127
0.080000,0.080676325,left_link,medium,0.120632127
0.120000,0.079269056,left_link,medium,0.120632127
0.160000,0.077936752,left_link,medium,0.120632127
0.200000,0.076635984,left_link,medium,0.120632127
0.240000,0.075323218,left_link,medium,0.120632127
0.280000,0.073977099,left_link,medium,0.120632127
0.320000,0.072601641,left_link,medium,0.120632127
0.360000,0.071217764,left_link,medium,0.120632127
0.400000,0.069851703,left_link,medium,0.120632127
0.440000,0.068522148,left_link,medium,0.120632127
0.480000,0.067230942,left_link,medium,0.120632127
0.520000,0.065965378,left_link,medium,0.120632127
0.560000,0.064706139,left_link,medium,0.120632127
0.600000,0.063437082,left_link,medium,0.120632127
0.640000,0.061914667,gripper_base_link,medium,0.120632127
0.680000,0.060250499,gripper_base_link,medium,0.120632127
0.720000,0.058605762,gripper_base_link,medium,0.120632127
0.760000,0.056991609,gripper_base_link,medium,0.120632127
0.800000,0.055419961,gripper_base_link,medium,0.120632127
0.840000,0.053894272,gripper_base_link,medium,0.120632127
0.880000,0.052397083,gripper_base_link,medium,0.120632127
0.920000,0.050890750,gripper_base_link,medium,0.120632127
0.960000,0.049338618,gripper_base_link,medium,0.120632127
1.000000,0.047738452,gripper_base_link,medium,0.120632127
