frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.092485,1786969074.050757,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,93.5380,0.00000000,0.00000000,1.57079637,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.201206,1786969074.144336,2517,50000,0,2517,27,1683,0.010727,0.222993,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.590999,0.994843,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.363098,,0,1.000000,SAFE,1,current,50000,199.6855,0.00000367,0.00000734,1.57080007,-0.00000367,1.57079637,0.00000000,0.00003374,0.00006748,0.00003399,-0.00003374,0.00000000,0.00000000
2,0.372297,1786969074.344038,2514,50000,0,2514,40,1632,0.015911,0.224786,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.589790,0.992418,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.364322,,0,1.000000,SAFE,1,current,50000,178.2870,0.00247592,-0.00249426,1.56840479,-0.00122145,1.57079637,0.00242457,0.01444987,-0.01462138,-0.01399995,-0.00711774,0.00000000,0.01417117
3,0.552727,1786969074.522342,2506,50000,0,2506,25,1623,0.009976,0.226578,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.582887,0.979037,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.366394,,0,1.000000,SAFE,1,current,50000,173.7053,0.01580920,-0.01342865,1.55649459,-0.00336358,1.57079637,0.01589357,0.07389740,-0.06060197,-0.06601022,-0.01187237,0.00000000,0.07464959
4,0.723896,1786969074.696066,2587,50000,0,2587,18,1722,0.006958,0.224310,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.569836,0.952855,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.381488,,0,1.000000,SAFE,1,current,50000,169.7235,0.04199158,-0.02689398,1.54094958,-0.00527462,1.57079637,0.04211996,0.15296245,-0.07866702,-0.09081690,-0.01116467,0.00000000,0.15321960
5,0.893236,1786969074.865805,2583,50000,0,2583,22,1727,0.008517,0.223475,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.549923,0.914861,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.398068,,0,1.000000,SAFE,1,current,50000,168.1545,0.07998502,-0.03995216,1.52563190,-0.00710864,1.57079637,0.08018310,0.22436150,-0.07711205,-0.09045502,-0.01083035,0.00000000,0.22477305
6,1.062496,1786969075.033977,2461,50000,0,2461,17,1657,0.006908,0.224486,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.523634,0.866146,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.426872,,0,1.000000,SAFE,1,current,50000,179.2842,0.12870009,-0.05264721,1.51087904,-0.00894999,1.57079637,0.12900087,0.28781249,-0.07500335,-0.08716109,-0.01087884,0.00000000,0.28841928
7,1.249893,1786969075.213279,2462,50000,0,2462,31,1630,0.012591,0.223209,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.484438,0.795716,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.469688,,0,1.000000,SAFE,1,current,50000,180.6765,0.19912991,-0.06726797,1.49376416,-0.01104810,1.57079637,0.19971679,0.37583217,-0.07802026,-0.09132952,-0.01119608,0.00000000,0.37735888
8,1.427626,1786969075.393986,2547,50000,0,2547,15,1682,0.005889,0.223661,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.441729,0.721211,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.470162,,0,1.000000,SAFE,1,current,50000,180.2504,0.27363488,-0.08072963,1.47808695,-0.01292613,1.57079637,0.27430981,0.41919508,-0.07574072,-0.08820634,-0.01056655,0.00000000,0.41969049
9,1.606866,1786969075.574253,2603,50000,0,2603,2,1709,0.000768,0.224464,1,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.395565,0.642760,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.441960,,0,1.000000,SAFE,1,current,50000,132.0617,0.35208666,-0.09458745,1.46186686,-0.01489586,1.57079637,0.35280558,0.43769044,-0.07731418,-0.09049354,-0.01098933,0.00000000,0.43793586
