frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
39,6.964361,0,1,1,66,0.576693,-0.487414,0.379442,0.098337,0.133066,0.036053,0.183277,
40,7.152357,0,1,1,91,0.567989,-0.477576,0.367160,0.095338,0.165165,0.035823,0.181928,0.093913
41,7.345350,0,1,0,95,0.583986,-0.463444,0.382451,0.101991,0.155269,0.057561,0.178263,0.139685
42,7.517596,0,1,0,136,0.580911,-0.448445,0.382462,0.104386,0.158505,0.082837,0.182971,0.086461
43,7.689783,0,1,0,140,0.583892,-0.439872,0.380193,0.104648,0.138701,0.095466,0.177974,0.054975
44,7.871214,0,1,0,135,0.579666,-0.437836,0.376835,0.104244,0.149534,0.086412,0.185940,0.032054
45,8.040001,0,1,0,138,0.586962,-0.444167,0.383626,0.105157,0.145129,0.104043,0.179900,0.070578
46,8.214733,0,1,0,160,0.584738,-0.431010,0.386992,0.105878,0.130051,0.115935,0.179039,0.078662
47,8.379075,0,1,0,185,0.591868,-0.419305,0.381086,0.111126,0.135215,0.144597,0.187247,0.089150
48,8.546722,0,1,0,179,0.594296,-0.420662,0.380714,0.116147,0.134906,0.174454,0.183924,0.016692
49,8.731418,0,1,0,206,0.588409,-0.402313,0.383207,0.114552,0.143461,0.165757,0.180909,0.106900
50,8.906216,0,1,0,231,0.585421,-0.401800,0.384362,0.115298,0.157587,0.180089,0.189332,0.018646
51,9.072747,0,1,0,192,0.595347,-0.398093,0.385260,0.114232,0.167407,0.178354,0.181709,0.065362
52,9.264916,0,1,0,244,0.581825,-0.382398,0.382630,0.122888,0.211582,0.207044,0.183007,0.105184
53,9.466967,0,1,0,205,0.587045,-0.363447,0.384002,0.118573,0.176625,0.186934,0.185654,0.097725
54,9.654247,0,1,0,205,0.593174,-0.361054,0.384174,0.116664,0.188824,0.196366,0.182282,0.034658
55,9.830582,0,1,0,232,0.589765,-0.329031,0.383217,0.117442,0.136878,0.200596,0.181321,0.181240
56,10.028602,0,1,0,233,0.594660,-0.317937,0.380916,0.117269,0.150450,0.190060,0.181858,0.063694
57,10.210641,0,1,0,242,0.590100,-0.306748,0.382127,0.123097,0.180313,0.203148,0.185263,0.065487
58,10.411203,0,1,0,220,0.591604,-0.288795,0.385729,0.116635,0.181957,0.194716,0.183545,0.092244
59,10.616345,0,1,0,235,0.593348,-0.288919,0.380266,0.121190,0.148237,0.197360,0.182856,0.027521
60,10.819583,0,1,0,220,0.596865,-0.281583,0.378898,0.116657,0.132178,0.187559,0.187139,0.041206
61,11.006515,0,1,0,198,0.597528,-0.275152,0.383708,0.119609,0.160779,0.210532,0.189244,0.043305
62,11.180154,0,1,0,211,0.596196,-0.262794,0.378068,0.117724,0.151305,0.190606,0.190413,0.079618
63,11.370003,0,1,0,212,0.600273,-0.253059,0.379613,0.117099,0.144488,0.190021,0.188769,0.055421
64,11.549958,0,1,0,203,0.603327,-0.245706,0.382882,0.117418,0.146199,0.184119,0.193301,0.047403
65,11.742347,0,1,0,204,0.602055,-0.242677,0.379553,0.116090,0.149769,0.179769,0.182988,0.024202
66,11.929052,0,1,0,198,0.603481,-0.237144,0.378962,0.116593,0.138839,0.195210,0.187014,0.031527
