tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.191997018,upperArm_Link,medium,0.146952468
0.040000,0.192124963,upperArm_Link,medium,0.146952468
0.080000,0.192482491,upperArm_Link,medium,0.146952468
0.120000,0.193154084,upperArm_Link,medium,0.146952468
0.160000,0.194124119,upperArm_Link,medium,0.146952468
0.200000,0.195311124,upperArm_Link,medium,0.146952468
0.240000,0.196612194,upperArm_Link,medium,0.146952468
0.280000,0.197950039,upperArm_Link,medium,0.146952468
0.320000,0.199286371,upperArm_Link,medium,0.146952468
0.360000,0.200532953,upperArm_Link,medium,0.146952468
0.400000,0.201016968,upperArm_Link,medium,0.146952468
0.440000,0.201606855,upperArm_Link,medium,0.146952468
0.480000,0.202239642,upperArm_Link,medium,0.146952468
0.520000,0.202858760,upperArm_Link,medium,0.146952468
0.560000,0.203422755,upperArm_Link,medium,0.146952468
0.600000,0.203876091,upperArm_Link,medium,0.146952468
0.640000,0.203795422,upperArm_Link,medium,0.146952468
0.680000,0.203726536,upperArm_Link,medium,0.146952468
0.720000,0.203728788,upperArm_Link,medium,0.146952468
0.760000,0.203863359,upperArm_Link,medium,0.146952468
0.800000,0.204168815,upperArm_Link,medium,0.146952468
0.840000,0.204628320,upperArm_Link,medium,0.146952468
0.880000,0.205146659,upperArm_Link,medium,0.146952468
0.920000,0.205582366,upperArm_Link,medium,0.146952468
0.960000,0.205823899,upperArm_Link,medium,0.146952468
1.000000,0.205883751,upperArm_Link,medium,0.146952468
