t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.89460266,-0.11158509,1.45111954,-0.00803665,1.57079256,0.89461368,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.89459322,-0.11159327,1.45112158,-0.00802901,1.57080106,0.89461368,-0.00278910,-0.00241295,0.00060078,0.00225541,0.00251067,0.00000000,-0.54113332,-0.46609534,0.11620394,0.43624477,0.48561798,-0.00000000
0.020000,0.89453048,-0.11164726,1.45113504,-0.00797846,1.57085734,0.89461368,-0.01049986,-0.00900341,0.00224780,0.00843854,0.00939360,0.00000000,-0.98542418,-0.83664186,0.20952477,0.78658333,0.87560708,0.00000000
0.030000,0.89436994,-0.11178418,1.45116928,-0.00784991,1.57100043,0.89461368,-0.02219662,-0.01885010,0.00472053,0.01772148,0.01972716,0.00000000,-1.33942660,-1.11848096,0.28162139,1.05724348,1.17689994,-0.00000000
0.040000,0.89407616,-0.11203227,1.45123152,-0.00761625,1.57126053,0.89461368,-0.03700928,-0.03110014,0.00781501,0.02933858,0.03265905,0.00000000,-1.60969458,-1.31845405,0.33415274,1.25445300,1.39642920,0.00000000
0.050000,0.89362206,-0.11241158,1.45132703,-0.00725771,1.57165965,0.89461368,-0.05413325,-0.04496910,0.01134390,0.04258646,0.04740630,-0.00000000,-1.80278213,-1.44340254,0.36877772,1.38443969,1.54112750,0.00000000
0.060000,0.89298827,-0.11293465,1.45145928,-0.00676123,1.57221232,0.89461368,-0.07282950,-0.05974092,0.01513641,0.05682405,0.06325527,0.00000000,-1.92524324,-1.50016785,0.38715525,1.45343134,1.61792747,0.00000000
0.070000,0.89216248,-0.11360724,1.45163012,-0.00611987,1.57292628,0.89461368,-0.09242454,-0.07476798,0.01903837,0.07147253,0.07956163,-0.00000000,-1.98363194,-1.49559138,0.39094425,1.46765574,1.63376175,0.00000000
0.080000,0.89113881,-0.11442893,1.45183995,-0.00533214,1.57380316,0.89461368,-0.11231041,-0.08947108,0.02291219,0.08601537,0.09575040,0.00000000,-1.98450223,-1.43651453,0.38180363,1.43334069,1.59556300,0.00000000
0.090000,0.88991712,-0.11539387,1.45208787,-0.00440143,1.57483920,0.89461368,-0.13194470,-0.10333941,0.02663688,0.09999831,0.11131589,0.00000000,-1.93440811,-1.32977872,0.36139232,1.35671397,1.51026383,0.00000000
0.100000,0.88850235,-0.11649145,1.45237184,-0.00333535,1.57602593,0.89461368,-0.15085053,-0.11593059,0.03010800,0.11302937,0.12582178,-0.00000000,-1.83990359,-1.18222536,0.33136924,1.24400337,1.38479691,0.00000000
0.110000,0.88690392,-0.11770697,1.45268889,-0.00214512,1.57735087,0.89461368,-0.16861658,-0.12687066,0.03323775,0.12477885,0.13890105,-0.00000000,-1.70754268,-1.00069585,0.29339329,1.10143670,1.22609485,0.00000000
0.120000,0.88513498,-0.11902233,1.45303522,-0.00084495,1.57879820,0.89461368,-0.18489705,-0.13585406,0.03595489,0.13497934,0.15025600,0.00000000,-1.54387938,-0.79203160,0.24912339,0.93524174,1.04109031,0.00000000
0.130000,0.88321187,-0.12041673,1.45340643,0.00054861,1.58034948,0.89461368,-0.19941168,-0.14264365,0.03820477,0.14342569,0.15965829,0.00000000,-1.35546770,-0.56307403,0.20021847,0.75164628,0.83671593,0.00000000
0.140000,0.88115336,-0.12186732,1.45379763,0.00201724,1.58198432,0.89461368,-0.21194575,-0.14707070,0.03994934,0.14997503,0.16694886,-0.00000000,-1.14886164,-0.32066453,0.14833744,0.55687811,0.61990434,0.00000000
0.150000,0.87898006,-0.12334993,1.45420365,0.00354151,1.58368111,0.89461368,-0.22235011,-0.14903490,0.04116713,0.15454677,0.17203803,0.00000000,-0.93061522,-0.07164453,0.09513921,0.35716503,0.39758817,0.00000000
0.160000,0.87671374,-0.12483970,1.45461920,0.00510151,1.58541767,0.89461368,-0.23054110,-0.14850436,0.04185326,0.15712260,0.17490539,0.00000000,-0.70728244,0.17714458,0.04228271,0.15873483,0.17670009,0.00000000
0.170000,0.87437668,-0.12631181,1.45503898,0.00667745,1.58717196,0.89461368,-0.23650065,-0.14551559,0.04201945,0.15774650,0.17559990,-0.00000000,-0.48541731,0.41886138,-0.00857314,-0.03218470,-0.03582729,0.00000000
0.180000,0.87199102,-0.12774216,1.45545795,0.00825028,1.58892281,0.89461368,-0.24027619,-0.14017351,0.04169400,0.15652470,0.17423982,0.00000000,-0.27157383,0.64666447,-0.05576944,-0.20936577,-0.23306132,0.00000000
0.190000,0.86957807,-0.12910801,1.45587137,0.00980235,1.59065053,0.89461368,-0.24198071,-0.13265148,0.04092179,0.15362574,0.17101276,-0.00000000,-0.07230601,0.85371243,-0.09764727,-0.36658058,-0.40806936,0.00000000
0.200000,0.86715772,-0.13038872,1.45627510,0.01131797,1.59233769,0.89461368,-0.24179274,-0.12319125,0.03976431,0.14928040,0.16617563,-0.00000000,0.10583214,1.03316386,-0.13254769,-0.49760135,-0.55391876,0.00000000
0.210000,0.86474772,-0.13156639,1.45666563,0.01278410,1.59396975,0.89461368,-0.23995287,-0.11209927,0.03829865,0.14377814,0.16005063,0.00000000,0.25767576,1.17966798,-0.15920014,-0.59765810,-0.66529971,0.00000000
0.220000,0.86236328,-0.13262637,1.45704032,0.01419071,1.59553555,0.89461368,-0.23672557,-0.09970568,0.03660686,0.13742692,0.15298059,0.00000000,0.38361657,1.29383657,-0.17788729,-0.66781211,-0.74339360,0.00000000
0.230000,0.86001700,-0.13355721,1.45739727,0.01553076,1.59702727,0.89461368,-0.23236095,-0.08632332,0.03476522,0.13051318,0.14528437,0.00000000,0.48543544,1.37777202,-0.18928018,-0.71058250,-0.79100465,0.00000000
0.240000,0.85771908,-0.13435051,1.45773535,0.01679997,1.59844013,0.89461368,-0.22709133,-0.07224401,0.03284333,0.12329815,0.13725276,0.00000000,0.56491323,1.43357675,-0.19404982,-0.72848838,-0.81093707,0.00000000
0.250000,0.85547747,-0.13500067,1.45805408,0.01799651,1.59977209,0.89461368,-0.22113122,-0.05773854,0.03090406,0.11601789,0.12914854,0.00000000,0.62383079,1.46335317,-0.19286725,-0.72404884,-0.80599507,0.00000000
0.260000,0.85329810,-0.13550470,1.45835356,0.01912081,1.60102364,0.89461368,-0.21467731,-0.04305670,0.02900359,0.10888326,0.12120643,0.00000000,0.66396901,1.46920367,-0.18640348,-0.69978300,-0.77898288,0.00000000
0.270000,0.85118498,-0.13586198,1.45863445,0.02017528,1.60219745,0.89461368,-0.20790850,-0.02842721,0.02719136,0.10207992,0.11363310,0.00000000,0.68710873,1.45323066,-0.17532953,-0.65820996,-0.73270470,0.00000000
0.280000,0.84914044,-0.13607411,1.45889783,0.02116405,1.60329813,0.89461368,-0.20098586,-0.01405782,0.02551013,0.09576836,0.10660721,0.00000000,0.69503083,1.41753655,-0.16031644,-0.60184883,-0.66996474,0.00000000
0.290000,0.84716529,-0.13614463,1.45914521,0.02209274,1.60433193,0.89461368,-0.19405267,-0.00013521,0.02399593,0.09008384,0.10027933,0.00000000,0.68951616,1.36422375,-0.14203521,-0.53321872,-0.59356723,-0.00000000
0.300000,0.84525900,-0.13607886,1.45937840,0.02296819,1.60530645,0.89461368,-0.18723439,0.01317493,0.02267808,0.08513648,0.09477204,0.00000000,0.67234560,1.29539466,-0.12115688,-0.45483873,-0.50631637,-0.00000000
0.310000,0.84341986,-0.13588366,1.45959950,0.02379822,1.60623042,0.89461368,-0.18063868,0.02572797,0.02157921,0.08101117,0.09017984,0.00000000,0.64530000,1.21315168,-0.09835246,-0.36922798,-0.41101638,0.00000000
0.320000,0.84164518,-0.13556724,1.45981077,0.02459136,1.60711333,0.89461368,-0.17435537,0.03740026,0.02071522,0.07776763,0.08656919,-0.00000000,0.61016023,1.11959722,-0.07429298,-0.27890556,-0.31047147,-0.00000000
0.330000,0.83993147,-0.13513894,1.46001462,0.02535663,1.60796521,0.89461368,-0.16845652,0.04808922,0.02009530,0.07544037,0.08397854,0.00000000,0.56870715,1.01683369,-0.04964947,-0.18639058,-0.20748585,-0.00000000
0.340000,0.83827459,-0.13460901,1.46021350,0.02610325,1.60879634,0.89461368,-0.16299634,0.05771325,0.01972194,0.07403873,0.08241827,0.00000000,0.52272163,0.90696349,-0.02509294,-0.09420216,-0.10486375,-0.00000000
0.350000,0.83666996,-0.13398842,1.46040986,0.02684044,1.60961695,0.89461368,-0.15801126,0.06621180,0.01959091,0.07354684,0.08187071,0.00000000,0.47398453,0.79208903,-0.00129441,-0.00485939,-0.00540936,-0.00000000
0.360000,0.83511272,-0.13328866,1.46060609,0.02757709,1.61043698,0.89461368,-0.15351988,0.07354536,0.01969129,0.07392366,0.08229017,-0.00000000,0.42427672,0.67431271,0.02107508,0.07911861,0.08807308,-0.00000000
0.370000,0.83359791,-0.13252146,1.46080440,0.02832159,1.61126574,0.89461368,-0.14952302,0.07969539,0.02000541,0.07510293,0.08360292,-0.00000000,0.37537905,0.55573694,0.04134453,0.15521275,0.17277938,-0.00000000
0.380000,0.83212066,-0.13169869,1.46100683,0.02908152,1.61211168,0.89461368,-0.14600367,0.08466444,0.02050894,0.07699323,0.08570716,-0.00000000,0.32907240,0.43846413,0.05884289,0.22090390,0.24590531,-0.00000000
0.390000,0.83067636,-0.13083204,1.46121511,0.02986344,1.61298209,0.89461368,-0.14292700,0.08847603,0.02117080,0.07947794,0.08847307,-0.00000000,0.28713762,0.32459668,0.07289916,0.27367297,0.30464666,-0.00000000
0.400000,0.82926082,-0.12993288,1.46143065,0.03067259,1.61388282,0.89461368,-0.14024040,0.09117473,0.02195321,0.08241522,0.09174280,-0.00000000,0.25135558,0.21623700,0.08284231,0.31100084,0.34619923,-0.00000000
0.410000,0.82787048,-0.12901204,1.46165443,0.03151270,1.61481801,0.89461368,-0.13787453,0.09282524,0.02281218,0.08563988,0.09533242,-0.00000000,0.22307259,0.11512868,0.08819289,0.33108761,0.36855937,-0.00000000
0.420000,0.82650251,-0.12807962,1.46188700,0.03238578,1.61578991,0.89461368,-0.13575526,0.09350250,0.02370272,0.08898309,0.09905400,-0.00000000,0.20189670,0.02158016,0.08923774,0.33501011,0.37292581,-0.00000000
0.430000,0.82515478,-0.12714498,1.46212845,0.03329224,1.61679896,0.89461368,-0.13381566,0.09328187,0.02458417,0.09229219,0.10273762,-0.00000000,0.18700140,-0.06445898,0.08645527,0.32456437,0.36129784,-0.00000000
