tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.189020812,left_link,medium,0.133021615
0.040000,0.187092854,left_link,medium,0.133021615
0.080000,0.185119831,left_link,medium,0.133021615
0.120000,0.183105481,left_link,medium,0.133021615
0.160000,0.181092737,left_link,medium,0.133021615
0.200000,0.179141121,left_link,medium,0.133021615
0.240000,0.177312009,left_link,medium,0.133021615
0.280000,0.175664331,left_link,medium,0.133021615
0.320000,0.174248389,left_link,medium,0.133021615
0.360000,0.173092808,left_link,medium,0.133021615
0.400000,0.172187351,left_link,medium,0.133021615
0.440000,0.171464454,left_link,medium,0.133021615
0.480000,0.170793954,left_link,medium,0.133021615
0.520000,0.170013850,left_link,medium,0.133021615
0.560000,0.168976344,left_link,medium,0.133021615
0.600000,0.167596014,left_link,medium,0.133021615
0.640000,0.165898437,left_link,medium,0.133021615
0.680000,0.164040496,left_link,medium,0.133021615
0.720000,0.162256319,left_link,medium,0.133021615
0.760000,0.160773189,left_link,medium,0.133021615
0.800000,0.159725060,left_link,medium,0.133021615
0.840000,0.159065484,left_link,medium,0.133021615
0.880000,0.158535907,left_link,medium,0.133021615
0.920000,0.157785314,left_link,medium,0.133021615
0.960000,0.156556757,left_link,medium,0.133021615
1.000000,0.154880674,left_link,medium,0.133021615
