tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.120345324,left_link,medium,0.130933523
0.040000,0.119459401,left_link,medium,0.130933523
0.080000,0.118680039,left_link,medium,0.130933523
0.120000,0.118024548,left_link,medium,0.130933523
0.160000,0.117444172,left_link,medium,0.130933523
0.200000,0.116856307,left_link,medium,0.130933523
0.240000,0.116180282,left_link,medium,0.130933523
0.280000,0.115369671,left_link,medium,0.130933523
0.320000,0.114233911,gripper_base_link,medium,0.130933523
0.360000,0.112769063,gripper_base_link,medium,0.130933523
0.400000,0.111285815,gripper_base_link,medium,0.130933523
0.440000,0.109871536,gripper_base_link,medium,0.130933523
0.480000,0.108681667,gripper_base_link,medium,0.130933523
0.520000,0.107894978,gripper_base_link,medium,0.130933523
0.560000,0.107650562,gripper_base_link,medium,0.130933523
0.600000,0.107985824,gripper_base_link,medium,0.130933523
0.640000,0.108777089,gripper_base_link,medium,0.130933523
0.680000,0.109720437,gripper_base_link,medium,0.130933523
0.720000,0.110329045,gripper_base_link,medium,0.130933523
0.760000,0.110087386,gripper_base_link,medium,0.130933523
0.800000,0.108984790,gripper_base_link,medium,0.130933523
0.840000,0.107090755,gripper_base_link,medium,0.130933523
0.880000,0.104798440,gripper_base_link,medium,0.130933523
0.920000,0.102637343,gripper_base_link,medium,0.130933523
0.960000,0.101009772,gripper_base_link,medium,0.130933523
1.000000,0.099933579,gripper_base_link,medium,0.130933523
