frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,trigger_horizon_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.093880,1786977579.294675,0,50000,0,0,0,0,0.000000,,0,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.591001,0.994846,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,95.0432,0.00000000,0.00000000,1.57079256,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.224135,1786977579.389755,2611,50000,0,2611,30,1705,0.011490,0.224694,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.590988,0.994821,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.346828,,0,1.000000,SAFE,1,current,50000,213.9017,0.00002568,-0.00002568,1.57078528,-0.00002934,1.57079637,0.00002201,0.00019712,-0.00019712,-0.00005583,-0.00022528,0.00000000,0.00016896
2,0.388378,1786977579.603674,2554,50000,0,2554,17,1679,0.006656,0.223639,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.589268,0.991571,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.348766,,0,1.000000,SAFE,1,current,50000,195.6720,0.00330856,-0.00332323,1.56740344,-0.00146721,1.57079637,0.00327188,0.01998800,-0.02007733,-0.02059054,-0.00875452,0.00000000,0.01978700
3,0.583867,1786977579.799365,2789,50000,0,2789,29,1759,0.010398,0.224952,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.580737,0.974199,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.347563,,0,1.000000,SAFE,1,current,50000,194.3072,0.02064733,-0.01649512,1.55303574,-0.00381108,1.57079637,0.02076471,0.08869428,-0.06737913,-0.07349615,-0.01198977,0.00000000,0.08948233
4,0.779294,1786977579.993700,2654,50000,0,2654,25,1723,0.009420,0.225044,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.563615,0.940864,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.363742,,0,1.000000,SAFE,1,current,50000,149.2702,0.05398237,-0.03149369,1.53555024,-0.00591653,1.57079637,0.05419144,0.17057585,-0.07674787,-0.08947355,-0.01077361,0.00000000,0.17104509
5,0.937432,1786977580.142987,2607,50000,0,2607,25,1679,0.009590,0.225593,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.543451,0.902731,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.377632,,0,1.000000,SAFE,1,current,50000,185.4305,0.09211519,-0.04340377,1.52164841,-0.00760382,1.57079256,0.09234261,0.24113661,-0.07531461,-0.08790958,-0.01066976,-0.00002412,0.24125260
6,1.112453,1786977580.328435,2432,50000,0,2432,14,1689,0.005757,0.224621,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.513273,0.847304,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.403093,,0,1.000000,SAFE,1,current,50000,149.3309,0.14754276,-0.05688745,1.50592363,-0.00956622,1.57079637,0.14801593,0.31669004,-0.07704009,-0.08984482,-0.01121230,0.00002180,0.31809415
7,1.271050,1786977580.477783,2450,50000,0,2450,17,1653,0.006939,0.223526,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.478613,0.785428,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.427696,,0,1.000000,SAFE,1,current,50000,176.6590,0.20941871,-0.06917534,1.49153388,-0.01130486,1.57079637,0.20995793,0.39014739,-0.07747903,-0.09073193,-0.01096271,0.00000000,0.39056380
8,1.441194,1786977580.654473,2638,50000,0,2638,30,1819,0.011372,0.223585,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.436672,0.712518,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.447073,,0,1.000000,SAFE,1,current,50000,185.0326,0.28232813,-0.08225186,1.47628593,-0.01315355,1.57079637,0.28312409,0.42851397,-0.07685526,-0.08961745,-0.01086537,0.00000000,0.43002296
9,1.629533,1786977580.839523,2548,50000,0,2548,7,1705,0.002747,0.223896,1,0,0,,,,,,,,,,1.200,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.400001,0.387774,0.629676,0.000000,0,,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,0.452612,,0,1.000000,SAFE,1,current,50000,162.2369,0.36517051,-0.09685794,1.45924067,-0.01523332,1.57079637,0.36594081,0.43985945,-0.07755237,-0.09050342,-0.01104275,0.00000000,0.43972321
