frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
0,0.089792,1786627829.170818,0,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,90.4967,0.00000000,0.00000000,1.57080007,0.00000000,1.57079637,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,0.192689,1786627829.261351,2532,50000,1,0,0,0.322216,left_link,0,0.655889,-0.578862,0.354080,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.000000,0.000000,0.000000,0.000000,0.121066,1,0.049174,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.328101,,0,1.000000,SAFE,1,current,50000,174.5437,0.00000000,0.00000367,1.57080007,-0.00000367,1.57079637,0.00000000,0.00000000,0.00003565,0.00000000,-0.00003565,0.00000000,0.00000000
2,0.345257,1786627829.435920,2519,50000,1,0,0,0.321905,left_link,0,0.654959,-0.579099,0.368168,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.048241,0.035101,0.004048,0.032844,0.114792,2,0.044858,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.328297,,0,1.000000,SAFE,1,current,50000,139.6684,0.00000000,-0.00216780,1.56876421,-0.00155524,1.57079637,0.00000000,0.00000000,-0.01423282,-0.01334393,-0.01016974,0.00000000,0.00000000
3,0.482106,1786627829.575608,2611,50000,1,1,0,0.321880,left_link,0,0.652091,-0.576819,0.366816,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.046070,0.015870,0.019950,0.038374,0.115700,3,0.039737,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.327826,,0,1.000000,SAFE,1,current,50000,148.9605,0.00000000,-0.01071431,1.56001604,-0.00431727,1.57079637,0.00000000,0.00000000,-0.06245172,-0.06392537,-0.02018289,0.00000000,0.00000000
4,0.630103,1786627829.724617,2516,50000,1,1,0,0.319329,left_link,0,0.656224,-0.576772,0.365491,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590998,0.869855,0.000000,0,,0.025862,0.017361,0.003362,0.018871,0.116308,4,0.043224,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.325897,,0,1.000000,SAFE,1,current,50000,144.1467,0.00000000,-0.02836119,1.54236174,-0.00693991,1.57079256,0.00000000,0.00000000,-0.11923839,-0.11928852,-0.01772094,-0.00002578,0.00000000
5,0.775793,1786627829.868777,2513,50000,1,1,0,0.314645,left_link,0,0.656949,-0.579245,0.355742,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.009598,0.001193,0.006878,0.006586,0.124787,5,0.047473,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.320778,,0,1.000000,SAFE,1,current,50000,148.6923,0.00000000,-0.05391635,1.51565123,-0.00967259,1.57079256,0.00000000,0.00000000,-0.17540728,-0.18333749,-0.01875677,0.00000000,0.00000000
6,0.928652,1786627830.017496,2562,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,,,,,,,,0,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,131.4298,0.00000000,-0.08504323,1.47805762,-0.01251531,1.57079637,0.00000000,0.00000000,-0.20363207,-0.24593736,-0.01859708,0.00002496,0.00000000
7,1.058338,1786627830.148939,2627,50000,1,1,0,0.306915,left_link,0,0.652615,-0.576839,0.349387,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.006519,-0.004854,0.002203,0.003752,0.129217,6,0.043338,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.315412,,0,1.000000,SAFE,1,current,50000,149.0253,0.00000000,-0.11144203,1.44295466,-0.01490320,1.57079637,0.00000000,0.00000000,-0.20355876,-0.27067578,-0.01841278,0.00000000,0.00000000
8,1.205749,1786627830.297982,2570,50000,1,1,0,0.302468,left_link,0,0.656397,-0.577278,0.358301,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.010993,-0.003834,0.009465,-0.004067,0.118561,7,0.043430,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.312581,,0,1.000000,SAFE,1,current,50000,145.1465,0.00000000,-0.14088896,1.40499043,-0.01765055,1.57079637,0.00000000,0.00000000,-0.19976073,-0.25753996,-0.01863737,0.00000000,0.00000000
9,1.351159,1786627830.443145,2524,50000,1,1,0,0.306564,left_link,0,0.658726,-0.576767,0.359430,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.590997,0.869855,0.000000,0,,0.015367,-0.008070,0.012987,-0.001529,0.117965,8,0.046522,0,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,0.000000,0.315411,,0,1.000000,SAFE,1,current,50000,146.1821,0.00000000,-0.17005712,1.37233043,-0.02033922,1.57079637,0.00000000,0.00000000,-0.20059267,-0.22460650,-0.01849024,0.00000000,0.00000000
