t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.62288612,-0.20736830,1.33563173,-0.02774863,1.57084775,0.62287515,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.62288316,-0.20736552,1.33563482,-0.02774700,1.57085684,0.62287609,-0.00087104,0.00081988,0.00091069,0.00048263,0.00268309,0.00027701,-0.16768066,0.15873881,0.17587535,0.09346966,0.51926117,0.05359525
0.020000,0.62286375,-0.20734712,1.33565519,-0.02773616,1.57091702,0.62288230,-0.00322790,0.00307365,0.00339672,0.00181038,0.01005015,0.00103705,-0.29764750,0.28714018,0.31551375,0.16923479,0.93800003,0.09673320
0.030000,0.62281486,-0.20730025,1.33570684,-0.02770854,1.57107022,0.62289811,-0.00670791,0.00646876,0.00710913,0.00381250,0.02113211,0.00217933,-0.39279238,0.38736649,0.42160045,0.22855446,1.26344575,0.13016869
0.040000,0.62272696,-0.20721485,1.33580038,-0.02765819,1.57134904,0.62292685,-0.01097731,0.01073427,0.01172584,0.00633085,0.03503218,0.00361060,-0.45600716,0.46158009,0.49682073,0.27268774,1.50282750,0.15465658
0.050000,0.62259371,-0.20708349,1.33594338,-0.02758069,1.57177750,0.62297100,-0.01573126,0.01562086,0.01695161,0.00921983,0.05092588,0.00524515,-0.49018368,0.51194335,0.54385986,0.30289369,1.66337446,0.17095171
0.060000,0.62241165,-0.20690112,1.33614055,-0.02747301,1.57237169,0.62303217,-0.02069383,0.02090085,0.02251805,0.01234649,0.06806099,0.00700484,-0.49821381,0.54061863,0.56540310,0.32043137,1.75231579,0.17980892
0.070000,0.62217996,-0.20666486,1.33639407,-0.02733337,1.57314058,0.62311127,-0.02561802,0.02636815,0.02818363,0.01559043,0.08575761,0.00881905,-0.48298941,0.54976829,0.56413572,0.32655985,1.77688067,0.18198306
0.080000,0.62190014,-0.20637375,1.33670383,-0.02716117,1.57408668,0.62320852,-0.03028575,0.03183833,0.03373368,0.01884386,0.10340811,0.01062474,-0.44740233,0.54155470,0.54274299,0.32253818,1.74429827,0.17822899
0.090000,0.62157573,-0.20602862,1.33706773,-0.02695678,1.57520680,0.62332355,-0.03450783,0.03714858,0.03898036,0.02201156,0.12047718,0.01236639,-0.39434442,0.51814022,0.50391019,0.30962544,1.66179777,0.16930154
0.100000,0.62121201,-0.20563179,1.33748189,-0.02672150,1.57649274,0.62345548,-0.03812404,0.04215768,0.04376270,0.02501092,0.13650177,0.01399604,-0.32670754,0.48168722,0.45032257,0.28908069,1.53660833,0.15595557
