frame,t_s,track_id,age,center_x,center_y,center_z,instant_speed_m_s,window_speed_m_s,median_speed_m_s,raw_cluster_speed_m_s,window_velocity_x_m_s,window_velocity_y_m_s,window_velocity_z_m_s,cluster_radius_raw_m,tracked_radius_m,risk_radius_m,raw_radius_m,association_error_m,valid_streak,dynamic_state,prediction_ready,dynamic_valid,block_reason
1,0.200959,1,1,0.594298,-0.623463,0.352578,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.116986,0.135994,0.190994,0.116986,0.028877,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
2,0.368992,1,2,0.592204,-0.637016,0.355974,0.000000,0.080104,0.080104,0.021666,-0.011875,-0.076844,0.019255,0.117098,0.134307,0.189307,0.117098,0.030200,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
3,0.582719,1,3,0.588385,-0.634085,0.347623,0.000000,0.038986,0.038986,0.028474,-0.017560,-0.031544,-0.014715,0.113234,0.135093,0.190093,0.113234,0.035023,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
4,0.712375,1,4,0.587217,-0.626179,0.349646,0.000000,0.015432,0.015432,0.019693,-0.013438,-0.005156,-0.005566,0.114798,0.145329,0.200329,0.114798,0.033344,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
5,0.879304,1,5,0.586632,-0.636144,0.351657,0.000000,0.021912,0.021912,0.029110,-0.011315,-0.018716,-0.001360,0.121366,0.150272,0.205272,0.121366,0.032299,0,0,0,0,"speed_ok,valid_streak_not_ready"
6,1.012569,1,6,0.591721,-0.632774,0.349133,0.000000,0.012403,0.012403,0.074917,-0.000743,0.006524,-0.010523,0.111860,0.142015,0.197015,0.111860,0.030771,0,0,0,0,"speed_ok,valid_streak_not_ready"
7,1.157078,1,7,0.589159,-0.626149,0.350629,0.000000,0.013459,0.013459,0.004857,0.001223,0.012534,0.004748,0.117832,0.148297,0.203297,0.117832,0.032214,0,0,0,0,"speed_ok,valid_streak_not_ready"
8,1.314281,1,8,0.594539,-0.625382,0.353520,0.000000,0.013772,0.013772,0.067714,0.012116,0.001319,0.006412,0.122484,0.154439,0.209439,0.122484,0.028102,0,0,0,0,"speed_ok,valid_streak_not_ready"
10,1.589093,1,9,0.588296,-0.637588,0.352126,0.000000,0.003093,0.003093,0.047361,0.002285,-0.001982,0.000645,0.112508,0.143452,0.198452,0.112508,0.031794,0,0,0,0,"speed_ok,valid_streak_not_ready"
11,1.725921,1,10,0.588504,-0.631234,0.351059,0.000000,0.005681,0.005681,0.055362,-0.004509,0.002158,0.002699,0.112274,0.142199,0.197199,0.112274,0.033638,0,0,0,0,"speed_ok,valid_streak_not_ready"
12,1.892875,1,11,0.584438,-0.637753,0.361351,0.000000,0.022463,0.022463,0.038655,-0.006432,-0.015808,0.014605,0.117270,0.145157,0.200157,0.117270,0.035657,0,0,0,0,"speed_ok,valid_streak_not_ready"
14,2.164402,1,12,0.589491,-0.630548,0.359184,0.000000,0.010870,0.010870,0.018168,-0.005978,-0.006118,0.006708,0.112864,0.138922,0.193922,0.112864,0.029112,0,0,0,0,"speed_ok,valid_streak_not_ready"
15,2.313909,1,13,0.579651,-0.638376,0.354851,0.000000,0.012579,0.012579,0.061934,-0.011952,-0.001089,0.003766,0.117185,0.138962,0.193962,0.117185,0.038651,0,0,0,0,"speed_ok,valid_streak_not_ready"
16,2.471893,1,14,0.585471,-0.642790,0.355102,0.000000,0.016874,0.016874,0.033487,-0.004057,-0.015459,0.005409,0.116575,0.149532,0.204532,0.116575,0.033627,0,0,0,0,"speed_ok,valid_streak_not_ready"
17,2.618915,1,15,0.579197,-0.638761,0.357078,0.000000,0.009353,0.009353,0.051435,-0.007169,-0.001379,-0.005846,0.112611,0.140613,0.195613,0.112611,0.035364,0,0,0,0,"speed_ok,valid_streak_not_ready"
18,2.772797,1,16,0.588310,-0.643960,0.358737,0.000000,0.022051,0.022051,0.032749,-0.001934,-0.021953,-0.000732,0.111473,0.137434,0.192434,0.111473,0.034284,0,0,0,0,"speed_ok,valid_streak_not_ready"
20,3.052695,1,17,0.583931,-0.636276,0.357938,0.000000,0.007706,0.007706,0.033018,0.005807,0.002848,0.004189,0.112365,0.138620,0.193620,0.112365,0.035966,0,0,0,0,"speed_ok,valid_streak_not_ready"
21,3.202291,1,18,0.582399,-0.639130,0.353253,0.000000,0.007035,0.007035,0.019937,-0.004218,0.005025,-0.002539,0.116544,0.143249,0.198249,0.116544,0.035435,0,0,0,0,"speed_ok,valid_streak_not_ready"
22,3.349030,1,19,0.587007,-0.631393,0.353995,0.000000,0.015294,0.015294,0.033044,0.010692,0.010088,-0.004221,0.115783,0.137118,0.192118,0.115783,0.031646,0,0,0,0,"speed_ok,valid_streak_not_ready"
26,3.896622,2,1,0.587473,-0.626487,0.357283,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.112057,0.137135,0.192135,0.112057,0.033136,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
29,4.297108,2,2,0.588099,-0.632830,0.357576,0.000000,0.015854,0.015854,0.011805,0.001555,-0.015760,0.000728,0.114927,0.139770,0.194770,0.114927,0.029135,0,0,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready"
30,4.446456,2,3,0.585962,-0.630319,0.352293,0.000000,0.011676,0.011676,0.031001,-0.002726,-0.006914,-0.009006,0.114355,0.140036,0.195036,0.114355,0.035077,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
31,4.593699,2,4,0.586224,-0.633647,0.355455,0.000000,0.010658,0.010658,0.053640,-0.001776,-0.010182,-0.002601,0.113766,0.145356,0.200356,0.113766,0.028625,0,0,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready"
33,4.869321,2,5,0.587036,-0.634180,0.353560,0.000000,0.008807,0.008807,0.025635,-0.000450,-0.007917,-0.003831,0.113370,0.137834,0.192834,0.113370,0.032163,0,0,0,0,"speed_ok,valid_streak_not_ready"
