tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.160370452,left_link,medium,0.197760634
0.040000,0.158908104,left_link,medium,0.198022839
0.080000,0.157811751,left_link,medium,0.198285044
0.120000,0.157236133,left_link,medium,0.198547248
0.160000,0.157161577,left_link,medium,0.198809453
0.200000,0.157448167,left_link,medium,0.199071657
0.240000,0.157899888,left_link,medium,0.199333862
0.280000,0.158329020,left_link,medium,0.199596066
0.320000,0.158586746,left_link,medium,0.199858271
0.360000,0.158572912,left_link,medium,0.200120475
0.400000,0.158240490,left_link,medium,0.200382680
0.440000,0.157597581,left_link,medium,0.200644885
0.480000,0.156702272,left_link,medium,0.200907089
0.520000,0.155643981,left_link,medium,0.201169294
0.560000,0.154521621,left_link,medium,0.201431498
0.600000,0.153425213,left_link,medium,0.201693703
0.640000,0.152421530,left_link,medium,0.201955907
0.680000,0.151546324,left_link,medium,0.202218112
0.720000,0.150806643,left_link,medium,0.202480317
0.760000,0.150184849,left_link,medium,0.202742521
0.800000,0.149639691,left_link,medium,0.203004726
0.840000,0.149101781,left_link,medium,0.203266930
0.880000,0.148471125,left_link,medium,0.203529135
0.920000,0.147642470,left_link,medium,0.203791339
0.960000,0.146557551,left_link,medium,0.204053544
1.000000,0.145270032,left_link,medium,0.204315748
