t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.72876751,-0.27422178,1.24810898,-0.04845832,1.57084036,0.72876012,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.72876601,-0.27421758,1.24810967,-0.04845468,1.57085001,0.72876101,-0.00044257,0.00123939,0.00020151,0.00107351,0.00284880,0.00026171,-0.08478903,0.23982386,0.03868786,0.20779722,0.55128906,0.05063341
0.020000,0.72875620,-0.27418979,1.24811414,-0.04843060,1.57091390,0.72876688,-0.00162428,0.00464099,0.00074274,0.00402259,0.01066916,0.00097967,-0.14812808,0.43300254,0.06807194,0.37558727,0.99559287,0.09136695
0.030000,0.72873175,-0.27411905,1.24812536,-0.04836927,1.57107652,0.72878181,-0.00333961,0.00975514,0.00153446,0.00846142,0.02242963,0.00205843,-0.19181236,0.58289058,0.08891034,0.50622453,1.34058814,0.12291483
0.040000,0.72868826,-0.27399037,1.24814540,-0.04825760,1.57137243,0.72880895,-0.00540100,0.01616568,0.00249499,0.01403275,0.03717549,0.00340973,-0.21763708,0.69284252,0.10196121,0.60256338,1.59395158,0.14599127
0.050000,0.72862314,-0.27379270,1.24817557,-0.04808594,1.57182704,0.72885064,-0.00763881,0.02349005,0.00355025,0.02040787,0.05402881,0.00495240,-0.22739744,0.76621289,0.10798267,0.66745821,1.76335990,0.16131046
0.060000,0.72853540,-0.27351869,1.24821649,-0.04784777,1.57245736,0.72890839,-0.00990138,0.03137919,0.00463374,0.02728662,0.07218842,0.00661246,-0.22288864,0.80635624,0.10773285,0.70376339,1.85648982,0.16958664
0.070000,0.72842548,-0.27316429,1.24826814,-0.04753943,1.57327274,0.72898305,-0.01205500,0.03951760,0.00568653,0.03439736,0.09092993,0.00832304,-0.20590589,0.81662709,0.10196986,0.71433331,1.88101803,0.17153400
0.080000,0.72829505,-0.27272845,1.24832995,-0.04715986,1.57427573,0.72907482,-0.01398390,0.04762333,0.00665729,0.04149701,0.10960570,0.01002442,-0.17824440,0.80037998,0.09145185,0.70202236,1.84462125,0.16786676
0.090000,0.72814688,-0.27221276,1.24840087,-0.04671025,1.57546273,0.72918334,-0.01559028,0.05544799,0.00750225,0.04837105,0.12764486,0.01166404,-0.14169937,0.76096945,0.07693694,0.66968491,1.75497619,0.15929914
0.100000,0.72798459,-0.27162114,1.24847945,-0.04619381,1.57682485,0.72930774,-0.01679426,0.06277669,0.00818523,0.05483347,0.14455332,0.01319645,-0.09806599,0.70175003,0.05918324,0.62017534,1.61975955,0.14654534
0.110000,0.72781254,-0.27095949,1.24856394,-0.04561548,1.57834862,0.72944678,-0.01753395,0.06942814,0.00867764,0.06072683,0.15991374,0.01458337,-0.04913949,0.62607626,0.03894890,0.55634805,1.44664805,0.13031957
0.120000,0.72763561,-0.27023534,1.24865230,-0.04498161,1.58001682,0.72959882,-0.01776539,0.07525455,0.00895847,0.06592222,0.17338555,0.01579365,0.00328494,0.53730268,0.01699204,0.48105741,1.24331840,0.11133605
0.130000,0.72745902,-0.26945753,1.24874236,-0.04429970,1.58180915,0.72976198,-0.01746258,0.08014171,0.00901427,0.07031928,0.18470497,0.01680328,0.05741209,0.43878383,-0.00592922,0.39715781,1.01744730,0.09030899
0.140000,0.72728816,-0.26863590,1.24883182,-0.04357813,1.58370311,0.72993416,-0.01661746,0.08400893,0.00883920,0.07384619,0.19368495,0.01759540,0.11144676,0.33387423,-0.02905674,0.30750362,0.77671147,0.06795260
0.150000,0.72712844,-0.26778091,1.24891838,-0.04282582,1.58567468,0.73011313,-0.01523994,0.08680907,0.00843498,0.07645969,0.20021524,0.01816028,0.16359374,0.22592842,-0.05163241,0.21494923,0.52878761,0.04498109
0.160000,0.72698505,-0.26690333,1.24899978,-0.04205203,1.58769913,0.73029660,-0.01335786,0.08852856,0.00781092,0.07814503,0.20426233,0.01849535,0.21205783,0.11830095,-0.07289809,0.12234903,0.28135244,0.02210868
0.170000,0.72686282,-0.26601388,1.24907392,-0.04126597,1.58975178,0.73048229,-0.01101704,0.08918733,0.00698391,0.07891603,0.20586950,0.01860517,0.25504382,0.01434634,-0.09209566,0.03255739,0.04208266,0.00004957
0.180000,0.72676603,-0.26512294,1.24913886,-0.04047662,1.59180878,0.73066799,-0.00828123,0.08883891,0.00597842,0.07881505,0.20515679,0.01850144,0.29075651,-0.08258086,-0.10846699,-0.05157130,-0.18134503,-0.02048202
0.190000,0.72669824,-0.26424018,1.24919300,-0.03969235,1.59384783,0.73085167,-0.00523214,0.08757032,0.00482652,0.07791299,0.20232100,0.01820300,0.31740069,-0.16912613,-0.12125395,-0.12718266,-0.38125389,-0.03877187
0.200000,0.72666210,-0.26337421,1.24923504,-0.03892070,1.59584902,0.73103149,-0.00196943,0.08550217,0.00356782,0.07630930,0.19763570,0.01773585,0.33318116,-0.24193492,-0.12969842,-0.19142230,-0.54996724,-0.05410579
0.210000,0.72665917,-0.26253229,1.24926415,-0.03816808,1.59779553,0.73120593,0.00139053,0.08278665,0.00224904,0.07413033,0.19144680,0.01713270,0.33679948,-0.29842980,-0.13324608,-0.24208941,-0.68158018,-0.06593565
0.220000,0.72668983,-0.26172009,1.24927998,-0.03743956,1.59967418,0.73137381,0.00472832,0.07958619,0.00091835,0.07151138,0.18412382,0.01642843,0.32894424,-0.33914176,-0.13215788,-0.27959735,-0.77727512,-0.07437772
0.230000,0.72675330,-0.26094168,1.24928263,-0.03673890,1.60147538,0.73153427,0.00793512,0.07605207,-0.00038021,0.06857869,0.17601118,0.01565550,0.31080082,-0.36537890,-0.12689856,-0.30501309,-0.84000629,-0.07971436
0.240000,0.72684778,-0.26019970,1.24927261,-0.03606864,1.60319283,0.73168679,0.01091399,0.07232250,-0.00160727,0.06544787,0.16742373,0.01484355,0.28355457,-0.37844929,-0.11793289,-0.31940355,-0.87272792,-0.08222794
0.250000,0.72697054,-0.25949546,1.24925084,-0.03543025,1.60482323,0.73183110,0.01357982,0.06852261,-0.00272807,0.06222382,0.15864680,0.01401941,0.24839086,-0.37966104,-0.10572561,-0.32383567,-0.87839423,-0.08220082
0.260000,0.72711808,-0.25882910,1.24921851,-0.03482416,1.60636599,0.73196721,0.01585937,0.06476445,-0.00371252,0.05900079,0.14993618,0.01320707,0.20649505,-0.37032223,-0.09074149,-0.31937640,-0.85995946,-0.07991536
0.270000,0.72728623,-0.25819970,1.24917713,-0.03424995,1.60782293,0.73209535,0.01769123,0.06114697,-0.00453519,0.05586237,0.14151810,0.01242769,0.15905251,-0.35174096,-0.07344527,-0.30709268,-0.82037783,-0.07565394
0.280000,0.72747025,-0.25760541,1.24912841,-0.03370639,1.60919798,0.73221594,0.01902588,0.05775607,-0.00517527,0.05288146,0.13358927,0.01169963,0.10724860,-0.32522531,-0.05430172,-0.28805144,-0.76260357,-0.06969890
0.290000,0.72766496,-0.25704358,1.24907428,-0.03319159,1.61049690,0.73232957,0.01982562,0.05466455,-0.00561662,0.05012031,0.12631683,0.01103842,0.05226868,-0.29208337,-0.03377558,-0.26331963,-0.68959092,-0.06233262
0.300000,0.72786489,-0.25651092,1.24901678,-0.03270308,1.61172697,0.73243697,0.02006462,0.05193213,-0.00584772,0.04763048,0.11983839,0.01045674,-0.00470187,-0.25362324,-0.01233162,-0.23396419,-0.60429409,-0.05383745
0.310000,0.72806434,-0.25600358,1.24895805,-0.03223794,1.61289668,0.73253900,0.01972890,0.04960546,-0.00586174,0.04545288,0.11426204,0.00996449,-0.06247771,-0.21115301,0.00956542,-0.20105205,-0.50966733,-0.04449577
0.320000,0.72825754,-0.25551734,1.24890028,-0.03179288,1.61401548,0.73263658,0.01881633,0.04771808,-0.00565645,0.04361774,0.10966630,0.00956871,-0.11987346,-0.16598077,0.03145078,-0.16565017,-0.40866486,-0.03458993
0.330000,0.72843878,-0.25504769,1.24884565,-0.03136437,1.61509344,0.73273071,0.01733665,0.04629049,-0.00523431,0.04214462,0.10610015,0.00927363,-0.17570376,-0.11941461,0.05285970,-0.12882547,-0.30424090,-0.02440230
0.340000,0.72860246,-0.25458997,1.24879629,-0.03094875,1.61614099,0.73282240,0.01531143,0.04533008,-0.00460240,0.04104242,0.10358304,0.00908066,-0.22878324,-0.07276261,0.07332743,-0.09164490,-0.19934970,-0.01421525
0.350000,0.72874330,-0.25413955,1.24875426,-0.03054229,1.61716857,0.73291266,0.01277410,0.04483116,-0.00377245,0.04030935,0.10210487,0.00898838,-0.27792655,-0.02733288,0.09238922,-0.05517540,-0.09694547,-0.00431112
0.360000,0.72885638,-0.25369187,1.24872145,-0.03014137,1.61818642,0.73300249,0.00976997,0.04477498,-0.00276085,0.03993298,0.10162599,0.00899255,-0.32194832,0.01556650,0.10958030,-0.02048391,0.00001756,0.00502770
0.370000,0.72893733,-0.25324268,1.24869958,-0.02974252,1.61920419,0.73309281,0.00635616,0.04512970,-0.00158863,0.03989019,0.10207723,0.00908611,-0.35966318,0.05462744,0.12443593,0.01136263,0.08858515,0.01351885
0.380000,0.72898237,-0.25278806,1.24869013,-0.02934257,1.62023074,0.73318447,0.00260168,0.04585038,-0.00028146,0.04014720,0.10335986,0.00925916,-0.38988577,0.08854185,0.13649136,0.03929728,0.16580308,0.02087999
0.390000,0.72898849,-0.25232464,1.24869430,-0.02893872,1.62127374,0.73327822,-0.00141263,0.04687902,0.00113032,0.04065954,0.10534562,0.00949900,-0.41143073,0.11600163,0.14528182,0.06225310,0.22871711,0.02682873
0.400000,0.72895356,-0.25184969,1.24871297,-0.02852871,1.62233947,0.73337463,-0.00559406,0.04814453,0.00261174,0.04137211,0.10787668,0.00979009,-0.42311270,0.13569870,0.15034255,0.07916315,0.27437302,0.03108272
0.410000,0.72887640,-0.25136124,1.24874663,-0.02811083,1.62343247,0.73347413,-0.00983900,0.04956368,0.00412355,0.04221984,0.11076778,0.01011427,-0.42412430,0.14669496,0.15135464,0.08925760,0.30064713,0.03343967
0.420000,0.72875691,-0.25085819,1.24879541,-0.02768408,1.62455539,0.73357696,-0.01404333,0.05105124,0.00562622,0.04313593,0.11382901,0.01045295,-0.41517016,0.14953235,0.14858244,0.09295505,0.30873793,0.03401765
0.430000,0.72859598,-0.25034024,1.24885901,-0.02724809,1.62570905,0.73368318,-0.01811280,0.05253017,0.00708395,0.04406000,0.11688869,0.01078935,-0.39733290,0.14512279,0.14243614,0.09097122,0.30067446,0.03301478
0.440000,0.72839539,-0.24980784,1.24893683,-0.02680303,1.62689265,0.73379269,-0.02196398,0.05393258,0.00846506,0.04493881,0.11979542,0.01110864,-0.37169514,0.13437821,0.13332592,0.08402182,0.27848578,0.03062922
0.450000,0.72815768,-0.24926204,1.24902796,-0.02634962,1.62810401,0.73390525,-0.02552431,0.05519966,0.00974196,0.04572627,0.12241808,0.01139799,-0.33933951,0.11821054,0.12166196,0.07282256,0.24420091,0.02705910
0.460000,0.72788608,-0.24870446,1.24913124,-0.02588894,1.62933970,0.73402051,-0.02873199,0.05628175,0.01089116,0.04638348,0.12464588,0.01164653,-0.30134863,0.09753171,0.10785446,0.05808917,0.19984891,0.02250255
0.470000,0.72758438,-0.24813716,1.24924529,-0.02542249,1.63059530,0.73413802,-0.03153610,0.05713830,0.01189327,0.04687866,0.12638827,0.01184541,-0.25880511,0.07325365,0.09231359,0.04053736,0.14745882,0.01715772
0.480000,0.72725684,-0.24756256,1.24936857,-0.02495199,1.63186561,0.73425723,-0.03389653,0.05773786,0.01273302,0.04718722,0.12757502,0.01198772,-0.21279158,0.04628829,0.07544954,0.02088283,0.08905968,0.01122274
0.490000,0.72690803,-0.24698334,1.24949938,-0.02447942,1.63314478,0.73437757,-0.03578398,0.05805814,0.01339922,0.04729169,0.12815620,0.01206856,-0.16439066,0.01754755,0.05767250,-0.00015869,0.02668053,0.00489576
0.500000,0.72654280,-0.24640237,1.24963595,-0.02400687,1.63442661,0.73449839,-0.03717999,0.05808594,0.01388479,0.04718180,0.12810213,0.01208499,-0.11468496,-0.01205663,0.03939265,-0.02187149,-0.03764958,-0.00162509
0.510000,0.72616609,-0.24582261,1.24977646,-0.02353651,1.63570467,0.73461905,-0.03807693,0.05781717,0.01418676,0.04685441,0.12740346,0.01203607,-0.06475712,-0.04161233,0.02102018,-0.04353986,-0.10190161,-0.00814166
0.520000,0.72578291,-0.24524700,1.24991908,-0.02307050,1.63697257,0.73473890,-0.03847800,0.05725689,0.01430625,0.04631354,0.12607112,0.01192283,-0.01568975,-0.07020762,0.00296526,-0.06444808,-0.16404651,-0.01445583
0.530000,0.72539814,-0.24467839,1.25006199,-0.02261092,1.63822409,0.73485730,-0.03839721,0.05641926,0.01424849,0.04557037,0.12413632,0.01174829,0.03143452,-0.09693056,-0.01436191,-0.08388044,-0.22205525,-0.02036945
0.540000,0.72501649,-0.24411946,1.25020348,-0.02215971,1.63945345,0.73497367,-0.03785940,0.05532756,0.01402281,0.04464324,0.12165057,0.01151744,0.07553308,-0.12086924,-0.03055114,-0.10112122,-0.27389878,-0.02568437
0.550000,0.72464236,-0.24357258,1.25034193,-0.02171858,1.64065550,0.73508748,-0.03690024,0.05401420,0.01364263,0.04355764,0.11868566,0.01123726,0.11552331,-0.14111171,-0.04519227,-0.11545471,-0.31754805,-0.03020247
0.560000,0.72427974,-0.24303978,1.25047588,-0.02128897,1.64182587,0.73519828,-0.03556623,0.05252069,0.01312549,0.04234622,0.11533368,0.01091670,0.15032258,-0.15674605,-0.05787509,-0.12616519,-0.35097403,-0.03372561
0.570000,0.72393210,-0.24252260,1.25060406,-0.02087194,1.64296125,0.73530572,-0.03391470,0.05089768,0.01249302,0.04104880,0.11170702,0.01056672,0.17884827,-0.16686034,-0.06818943,-0.13253695,-0.37214767,-0.03605563
0.580000,0.72360228,-0.24202206,1.25072544,-0.02046813,1.64405954,0.73540956,-0.03201379,0.04920492,0.01177096,0.03971233,0.10793834,0.01020023,0.20001776,-0.17054264,-0.07572510,-0.13385427,-0.37903993,-0.03699442
0.590000,0.72329239,-0.24153851,1.25083928,-0.02007765,1.64512005,0.73550972,-0.02994247,0.04751130,0.01098915,0.03839094,0.10418059,0.00983213,0.21274843,-0.16688102,-0.08007191,-0.12940145,-0.36962176,-0.03634382
0.600000,0.72300370,-0.24107158,1.25094514,-0.01970006,1.64614376,0.73560626,-0.02779056,0.04589482,0.01018152,0.03714592,0.10060703,0.00947931,0.21595766,-0.15496356,-0.08081968,-0.11846276,-0.34186413,-0.03390570
0.610000,0.72273651,-0.24062007,1.25104295,-0.01933425,1.64713345,0.73569942,-0.02565769,0.04444166,0.00938575,0.03604496,0.09740913,0.00916044,0.20895283,-0.13424936,-0.07770669,-0.10061750,-0.29456505,-0.02956193
0.620000,0.72249015,-0.24018192,1.25113302,-0.01897846,1.64809382,0.73578964,-0.02364266,0.04323601,0.00863915,0.03515406,0.09477385,0.00889375,0.19260134,-0.10568164,-0.07106505,-0.07662500,-0.22983086,-0.02351446
0.630000,0.72226298,-0.23975428,1.25121601,-0.01863028,1.64903134,0.73587752,-0.02183263,0.04234983,0.00797461,0.03452943,0.09286086,0.00869489,0.16816061,-0.07057467,-0.06137534,-0.04753957,-0.15059495,-0.01604524
0.640000,0.72205256,-0.23933366,1.25129288,-0.01828683,1.64995389,0.73596381,-0.02030222,0.04184193,0.00742020,0.03421673,0.09180051,0.00857665,0.13688803,-0.03024270,-0.04911812,-0.01441557,-0.05979071,-0.00743624
0.650000,0.72185579,-0.23891603,1.25136486,-0.01794479,1.65087053,0.73604935,-0.01911345,0.04175801,0.00699920,0.03425107,0.09169383,0.00854902,0.10004102,0.01400000,-0.03477399,0.02169269,0.03964845,0.00203060
0.660000,0.72166899,-0.23849697,1.25143337,-0.01760056,1.65179118,0.73613511,-0.01831579,0.04213059,0.00673008,0.03465702,0.09261248,0.00861918,0.05887699,0.06083917,-0.01882351,0.05973086,0.14478915,0.01207331
0.670000,0.72148805,-0.23807183,1.25150001,-0.01725036,1.65272634,0.73622208,-0.01794611,0.04297907,0.00662649,0.03544860,0.09459884,0.00879147,0.01465333,0.10896056,-0.00174727,0.09864462,0.25269799,0.02240993
0.680000,0.72130856,-0.23763578,1.25156648,-0.01689029,1.65368677,0.73631129,-0.01802873,0.04430969,0.00669728,0.03662931,0.09766589,0.00906742,-0.03137254,0.15704990,0.01597417,0.13737964,0.36044157,0.03275852
0.690000,0.72112592,-0.23718405,1.25163455,-0.01651650,1.65468321,0.73640377,-0.01857538,0.04611558,0.00694652,0.03819209,0.10179734,0.00944574,-0.07794322,0.20379294,0.03386023,0.17488158,0.46508650,0.04283711
0.700000,0.72093550,-0.23671195,1.25170600,-0.01612524,1.65572611,0.73650053,-0.01958522,0.04837668,0.00737343,0.04011932,0.10694752,0.00992232,-0.12380129,0.24787541,0.05143033,0.21009612,0.56369937,0.05236374
0.710000,0.72073272,-0.23621511,1.25178259,-0.01571299,1.65682531,0.73660252,-0.02104484,0.05105984,0.00797247,0.04238287,0.11304144,0.01049023,-0.16768936,0.28798305,0.06820390,0.24196891,0.65334681,0.06105646
