tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.160370452,left_link,medium,0.197760634
0.040000,0.158883593,left_link,medium,0.198022839
0.080000,0.157626176,left_link,medium,0.198285044
0.120000,0.156650176,left_link,medium,0.198547248
0.160000,0.155879482,left_link,medium,0.198809453
0.200000,0.155173686,left_link,medium,0.199071657
0.240000,0.154401177,left_link,medium,0.199333862
0.280000,0.153502542,left_link,medium,0.199596066
0.320000,0.152493839,left_link,medium,0.199858271
0.360000,0.151438423,left_link,medium,0.200120475
0.400000,0.150412505,left_link,medium,0.200382680
0.440000,0.149468386,left_link,medium,0.200644885
0.480000,0.148609043,left_link,medium,0.200907089
0.520000,0.147796565,left_link,medium,0.201169294
0.560000,0.146976015,left_link,medium,0.201431498
0.600000,0.146102956,left_link,medium,0.201693703
0.640000,0.145173561,left_link,medium,0.201955907
0.680000,0.144241545,left_link,medium,0.202218112
0.720000,0.143396182,left_link,medium,0.202480317
0.760000,0.142722960,left_link,medium,0.202742521
0.800000,0.142260689,left_link,medium,0.203004726
0.840000,0.141954369,left_link,medium,0.203266930
0.880000,0.141634616,left_link,medium,0.203529135
0.920000,0.141084812,left_link,medium,0.203791339
0.960000,0.140157125,left_link,medium,0.204053544
1.000000,0.138900695,left_link,medium,0.204315748
