frame,t_s,cluster_index,dynamic_tracker_input,radius_in_legacy_band,point_count,center_x,center_y,center_z,raw_radius_m,bbox_dx_m,bbox_dy_m,bbox_dz_m,raw_centroid_speed_m_s
3,0.456120,0,1,0,88,0.649842,-0.596330,0.334475,0.128000,0.213176,0.053153,0.214739,
4,0.601364,0,1,0,93,0.652087,-0.594913,0.333303,0.122655,0.211479,0.054044,0.209257,0.019716
6,0.890152,0,1,0,109,0.646019,-0.594629,0.333196,0.130510,0.230856,0.071952,0.229955,
9,1.313726,0,1,0,95,0.650367,-0.596553,0.339829,0.123366,0.209005,0.063474,0.213531,
10,1.461514,0,1,0,87,0.659702,-0.593008,0.334382,0.110128,0.185846,0.050073,0.206673,0.075750
11,1.606643,0,1,0,90,0.651794,-0.595060,0.336583,0.123729,0.214587,0.049148,0.209265,0.055478
12,1.751151,0,1,0,84,0.656463,-0.593472,0.338750,0.122370,0.193002,0.060799,0.210674,0.037345
13,1.890599,0,1,0,91,0.661799,-0.593307,0.329281,0.115286,0.191945,0.053101,0.213302,0.079880
14,2.043938,0,1,0,98,0.655134,-0.594401,0.346034,0.114545,0.189607,0.055015,0.197745,0.122965
16,2.322507,0,1,0,91,0.656120,-0.592721,0.345956,0.111254,0.185916,0.042369,0.213107,
21,2.989176,0,1,0,101,0.653264,-0.593985,0.339495,0.122536,0.200384,0.057485,0.218708,
23,3.265034,0,1,0,86,0.656327,-0.595286,0.341116,0.119635,0.194399,0.059823,0.207298,
24,3.408857,0,1,0,104,0.649983,-0.596952,0.342745,0.122071,0.229259,0.057743,0.221572,0.047000
27,3.820732,0,1,0,91,0.660149,-0.594219,0.332839,0.124211,0.190539,0.076801,0.213582,
29,4.122084,0,1,0,89,0.654860,-0.594999,0.340899,0.120670,0.195494,0.064709,0.211358,
35,4.910172,0,1,0,104,0.664256,-0.578583,0.344278,0.121676,0.184164,0.072589,0.212921,
39,5.453595,0,1,0,111,0.666556,-0.569104,0.354148,0.112020,0.176346,0.070991,0.200409,
41,5.748984,0,1,0,159,0.665368,-0.557506,0.349925,0.126943,0.278447,0.110140,0.222249,
42,5.921181,0,1,0,142,0.673722,-0.550516,0.366211,0.118674,0.182080,0.128258,0.205585,0.116893
43,6.067563,0,1,0,179,0.674409,-0.545421,0.360674,0.129066,0.225289,0.165742,0.219976,0.047815
44,6.228283,0,1,0,147,0.675678,-0.548614,0.356152,0.133409,0.217332,0.159988,0.219213,0.035675
45,6.380959,0,1,0,196,0.679620,-0.531454,0.370744,0.125872,0.182413,0.170829,0.212514,0.149208
46,6.538639,0,1,0,203,0.683315,-0.531566,0.365722,0.140286,0.191429,0.219960,0.218048,0.041522
47,6.688715,0,1,0,208,0.683442,-0.537998,0.361775,0.142884,0.157610,0.240408,0.215961,0.048275
48,6.848088,0,1,0,205,0.684119,-0.525840,0.371788,0.133565,0.174902,0.193980,0.201912,0.104771
49,6.991479,0,1,0,227,0.687625,-0.519073,0.366482,0.135436,0.176256,0.221630,0.208971,0.060840
50,7.144417,0,1,0,226,0.685381,-0.511678,0.372516,0.129747,0.175700,0.206246,0.209597,0.063798
51,7.297569,0,1,0,230,0.678205,-0.507992,0.380494,0.129324,0.156015,0.209295,0.204373,0.074194
52,7.448732,0,1,0,245,0.680487,-0.504620,0.387309,0.132612,0.179039,0.198881,0.211858,0.052829
53,7.600700,0,1,0,205,0.688143,-0.503037,0.365914,0.135265,0.199984,0.210899,0.212094,0.148257
54,7.758230,0,1,0,236,0.686256,-0.484487,0.374684,0.129419,0.160765,0.206771,0.211920,0.135544
55,7.913768,0,1,0,248,0.680222,-0.475598,0.385485,0.130880,0.174705,0.195624,0.211133,0.095792
56,8.085015,0,1,0,254,0.681897,-0.464040,0.374475,0.129482,0.200922,0.192806,0.209991,0.096621
57,8.231697,0,1,0,255,0.684259,-0.465472,0.377845,0.126731,0.161198,0.197458,0.200533,0.028319
58,8.387703,0,1,0,260,0.680478,-0.463656,0.378239,0.135033,0.184616,0.203146,0.211616,0.027290
59,8.540549,0,1,0,247,0.682498,-0.451568,0.376575,0.127502,0.182532,0.214253,0.216779,0.080365
60,8.695735,0,1,0,253,0.677688,-0.437417,0.385408,0.123409,0.163777,0.197591,0.206014,0.113949
61,8.855845,0,1,0,227,0.688611,-0.423226,0.383167,0.119463,0.140939,0.182033,0.201253,0.109907
62,9.000980,0,1,0,221,0.681758,-0.421147,0.368132,0.138008,0.219890,0.200779,0.223204,0.115128
63,9.167511,0,1,0,250,0.679154,-0.408329,0.379465,0.132732,0.181299,0.201425,0.207725,0.108029
64,9.351716,0,1,0,237,0.684104,-0.396565,0.372128,0.126379,0.183977,0.200713,0.215279,0.084157
65,9.497564,0,1,0,217,0.682226,-0.388750,0.386947,0.118397,0.156527,0.183785,0.198860,0.105841
66,9.665322,0,1,0,230,0.684718,-0.387435,0.376404,0.123088,0.155765,0.193196,0.210527,0.063983
67,9.821241,0,1,0,208,0.685646,-0.379312,0.369476,0.132102,0.181657,0.201974,0.213564,0.069911
68,9.988480,0,1,0,205,0.686808,-0.350089,0.375330,0.125147,0.132129,0.189656,0.203494,0.184849
69,10.146621,0,1,0,188,0.685593,-0.340168,0.375190,0.126641,0.156366,0.194722,0.205714,0.061342
70,10.302379,0,1,0,216,0.690705,-0.320313,0.388894,0.119811,0.129582,0.195456,0.202726,0.155093
71,10.463704,0,1,0,217,0.676218,-0.303161,0.387969,0.129024,0.168933,0.195408,0.206365,0.139766
