tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.152761633,left_link,medium,0.186718929
0.040000,0.151086122,left_link,medium,0.186971376
0.080000,0.149791783,left_link,medium,0.187223823
0.120000,0.149035408,left_link,medium,0.187476270
0.160000,0.148788878,left_link,medium,0.187728717
0.200000,0.148900177,left_link,medium,0.187981164
0.240000,0.149163826,left_link,medium,0.188233611
0.280000,0.149389272,left_link,medium,0.188486058
0.320000,0.149430439,left_link,medium,0.188738505
0.360000,0.149192596,left_link,medium,0.188990952
0.400000,0.148634130,left_link,medium,0.189243399
0.440000,0.147766212,left_link,medium,0.189495846
0.480000,0.146646474,left_link,medium,0.189748293
0.520000,0.145361400,left_link,medium,0.190000740
0.560000,0.144006273,left_link,medium,0.190253187
0.600000,0.142668465,left_link,medium,0.190505634
0.640000,0.141414616,left_link,medium,0.190758081
0.680000,0.140283442,left_link,medium,0.191010528
0.720000,0.139286469,left_link,medium,0.191262975
0.760000,0.138409870,left_link,medium,0.191515422
0.800000,0.137613599,left_link,medium,0.191767869
0.840000,0.136825185,left_link,medium,0.192020316
0.880000,0.135937125,left_link,medium,0.192272763
0.920000,0.134835720,left_link,medium,0.192525210
0.960000,0.133458007,left_link,medium,0.192777657
1.000000,0.131860945,left_link,medium,0.193030104
