tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.190363009,left_link,medium,0.203987824
0.040000,0.186059389,left_link,medium,0.204470616
0.080000,0.181402285,left_link,medium,0.204953407
0.120000,0.176349805,left_link,medium,0.205436199
0.160000,0.171084159,left_link,medium,0.205918991
0.200000,0.165851678,left_link,medium,0.206401782
0.240000,0.160827663,left_link,medium,0.206884574
0.280000,0.156055949,left_link,medium,0.207367365
0.320000,0.151486469,left_link,medium,0.207850157
0.360000,0.147030949,left_link,medium,0.208332948
0.400000,0.142605916,left_link,medium,0.208815740
0.440000,0.138167750,left_link,medium,0.209298531
0.480000,0.133727954,left_link,medium,0.209781323
0.520000,0.129331163,left_link,medium,0.210264114
0.560000,0.125024020,left_link,medium,0.210746906
0.600000,0.120832372,left_link,medium,0.211229698
0.640000,0.116748305,left_link,medium,0.211712489
0.680000,0.112732659,left_link,medium,0.212195281
0.720000,0.108739941,left_link,medium,0.212678072
0.760000,0.104746201,left_link,medium,0.213160864
0.800000,0.100768227,left_link,medium,0.213643655
0.840000,0.096864279,left_link,medium,0.214126447
0.880000,0.093101102,left_link,medium,0.214609238
0.920000,0.089503465,left_link,medium,0.215092030
0.960000,0.086045279,left_link,medium,0.215574822
1.000000,0.082678394,left_link,medium,0.216057613
