tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.216936128,left_link,medium,0.198563464
0.040000,0.210360104,left_link,medium,0.199158421
0.080000,0.203269440,left_link,medium,0.199753378
0.120000,0.195712691,left_link,medium,0.200348335
0.160000,0.188088177,left_link,medium,0.200943292
0.200000,0.180839209,left_link,medium,0.201538250
0.240000,0.174176811,left_link,medium,0.202133207
0.280000,0.167939594,left_link,medium,0.202728164
0.320000,0.161713776,left_link,medium,0.203323121
0.360000,0.155036063,left_link,medium,0.203918078
0.400000,0.147589340,left_link,medium,0.204513036
0.440000,0.139390373,left_link,medium,0.205107993
0.480000,0.130877729,left_link,medium,0.205702950
0.520000,0.122758271,left_link,medium,0.206297907
0.560000,0.115764765,left_link,medium,0.206892864
0.600000,0.110423669,left_link,medium,0.207487821
0.640000,0.106843124,left_link,medium,0.208082779
0.680000,0.104614127,left_link,medium,0.208677736
0.720000,0.102973551,left_link,medium,0.209272693
0.760000,0.101062908,left_link,medium,0.209867650
0.800000,0.098184225,left_link,medium,0.210462607
0.840000,0.094035134,left_link,medium,0.211057564
0.880000,0.088797958,left_link,medium,0.211652522
0.920000,0.082932680,left_link,medium,0.212247479
0.960000,0.076911167,left_link,medium,0.212842436
1.000000,0.071003242,left_link,medium,0.213437393
