t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.62233603,-0.20708220,1.33600223,-0.02769361,1.57084405,0.62232864,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.62233338,-0.20707812,1.33600294,-0.02769073,1.57085340,0.62232940,-0.00078290,0.00120172,0.00020892,0.00084871,0.00275914,0.00022434,-0.15143056,0.23242583,0.04041387,0.16416133,0.53367762,0.04339167
0.020000,0.62231583,-0.20705119,1.33600762,-0.02767171,1.57091525,0.62233443,-0.00292912,0.00449573,0.00078179,0.00317553,0.01032328,0.00083935,-0.27301278,0.41901508,0.07288017,0.29601300,0.96227234,0.07823779
0.030000,0.62227121,-0.20698271,1.33601953,-0.02762334,1.57107250,0.62234721,-0.00615065,0.00944034,0.00164187,0.00666912,0.02167978,0.00176267,-0.36684259,0.56310147,0.09795087,0.39790903,1.29342554,0.10515824
0.040000,0.62219013,-0.20685825,1.33604118,-0.02753540,1.57135835,0.62237045,-0.01018045,0.01562719,0.00271799,0.01104170,0.03589245,0.00291816,-0.43501593,0.66801870,0.11617791,0.47220347,1.53477865,0.12477290
0.050000,0.62206573,-0.20666728,1.33607439,-0.02740046,1.57179700,0.62240612,-0.01477243,0.02268126,0.00394446,0.01602903,0.05210149,0.00423585,-0.47962873,0.73710047,0.12811324,0.52125037,1.69397308,0.13770163
0.060000,0.62189356,-0.20640287,1.33612037,-0.02721358,1.57240442,0.62245550,-0.01970147,0.03026086,0.00526112,0.02139040,0.06952352,0.00565197,-0.50277694,0.77368048,0.13430883,0.54740377,1.77865022,0.14456431
0.070000,0.62167126,-0.20606134,1.33617973,-0.02697213,1.57318915,0.62251929,-0.02476341,0.03805765,0.00661334,0.02690864,0.08745158,0.00710898,-0.50655648,0.78109245,0.13531663,0.55301770,1.79645150,0.14598081
0.080000,0.62139846,-0.20564192,1.33625259,-0.02667553,1.57415303,0.62259764,-0.02977503,0.04579660,0.00795200,0.03239013,0.10525511,0.00855550,-0.49306329,0.76267006,0.13168859,0.54044621,1.75501831,0.14257101
0.090000,0.62107647,-0.20514641,1.33633858,-0.02632502,1.57529198,0.62269022,-0.03457408,0.05323605,0.00923350,0.03766479,0.12237997,0.00994638,-0.46439331,0.72174703,0.12397667,0.51204335,1.66199207,0.13495477
0.100000,0.62070816,-0.20457889,1.33643694,-0.02592341,1.57659676,0.62279625,-0.03901929,0.06016765,0.01041976,0.04258608,0.13834844,0.01124264,-0.42264248,0.66165706,0.11273282,0.47016314,1.52501419,0.12375198
0.110000,0.62029767,-0.20394534,1.33654655,-0.02547489,1.57805375,0.62291464,-0.04299032,0.06641641,0.01147823,0.04703098,0.15275922,0.01241153,-0.36990673,0.58573385,0.09850900,0.41715964,1.35172606,0.10958250
0.120000,0.61985027,-0.20325332,1.33666599,-0.02498472,1.57964566,0.62304397,-0.04638779,0.07184066,0.01238185,0.05090004,0.16528740,0.01342647,-0.30828200,0.49731111,0.08185716,0.35538688,1.14976911,0.09306621
0.130000,0.61937209,-0.20251164,1.33679360,-0.02445906,1.58135238,0.62318259,-0.04913331,0.07633208,0.01310912,0.05411733,0.17568451,0.01426710,-0.23986422,0.39972254,0.06332925,0.28719891,0.92678474,0.07482298
0.140000,0.61886997,-0.20173004,1.33692753,-0.02390472,1.58315167,0.62332868,-0.05116942,0.07981567,0.01364402,0.05663048,0.18377847,0.01491924,-0.16674934,0.29630185,0.04347724,0.21494977,0.69041435,0.05547269
