t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.52802136,-0.10876868,1.38174778,-0.00951610,1.61393357,0.44812329,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.52801837,-0.10876836,1.38174828,-0.00951604,1.61393338,0.44812078,-0.00088103,0.00009460,0.00014815,0.00001933,-0.00005595,-0.00074233,-0.17033761,0.01831742,0.02865994,0.00374469,-0.01076151,-0.14365878
0.020000,0.52799864,-0.10876624,1.38175160,-0.00951560,1.61393213,0.44810413,-0.00329342,0.00035472,0.00055445,0.00007253,-0.00020697,-0.00278035,-0.30667413,0.03314541,0.05169451,0.00678109,-0.01904407,-0.25946922
0.030000,0.52794850,-0.10876083,1.38176005,-0.00951450,1.61392900,0.44806175,-0.00690926,0.00074673,0.00116462,0.00015276,-0.00042915,-0.00584551,-0.41143463,0.04473851,0.06950297,0.00915973,-0.02502421,-0.34941741
0.040000,0.52785745,-0.10875097,1.38177541,-0.00951248,1.61392339,0.44798463,-0.01142494,0.00123955,0.00192842,0.00025370,-0.00070037,-0.00968911,-0.48704416,0.05335132,0.08248459,0.01093111,-0.02887846,-0.41548945
0.050000,0.52771793,-0.10873580,1.38179898,-0.00950937,1.61391490,0.44786614,-0.01656106,0.00180467,0.00279956,0.00036953,-0.00100022,-0.01408233,-0.53592779,0.05923839,0.09103861,0.01214576,-0.03078334,-0.45967146
0.060000,0.52752502,-0.10871472,1.38183162,-0.00950506,1.61390335,0.44770185,-0.02206249,0.00241608,0.00373576,0.00049493,-0.00131012,-0.01881619,-0.56051057,0.06265429,0.09556431,0.01285419,-0.03091539,-0.48394953
0.070000,0.52727624,-0.10868740,1.38187378,-0.00949946,1.61388872,0.44748931,-0.02769835,0.00305036,0.00469875,0.00062510,-0.00161321,-0.02370159,-0.56321757,0.06385360,0.09646095,0.01310691,-0.02945113,-0.49030976
0.080000,0.52697129,-0.10865371,1.38192556,-0.00949255,1.61387116,0.44722788,-0.03326201,0.00368662,0.00565421,0.00075572,-0.00189441,-0.02856928,-0.54647384,0.06309088,0.09412777,0.01295445,-0.02656710,-0.48073826
0.090000,0.52661185,-0.10861372,1.38198674,-0.00948435,1.61385095,0.44691849,-0.03857108,0.00430649,0.00657187,0.00088300,-0.00214041,-0.03326987,-0.51270445,0.06062071,0.08896405,0.01244731,-0.02243982,-0.45722112
0.100000,0.52620125,-0.10856769,1.38205679,-0.00947491,1.61382850,0.44656347,-0.04346743,0.00489419,0.00742539,0.00100365,-0.00233965,-0.03767384,-0.46433445,0.05669765,0.08136904,0.01163602,-0.01724583,-0.42174446
0.110000,0.52574432,-0.10851599,1.38213496,-0.00946431,1.61380434,0.44616637,-0.04781718,0.00543645,0.00819247,0.00111488,-0.00248236,-0.04167152,-0.40378891,0.05157628,0.07174200,0.01057109,-0.01116164,-0.37629438
0.120000,0.52524710,-0.10845914,1.38222029,-0.00945266,1.61377907,0.44573170,-0.05151070,0.00592257,0.00885479,0.00121440,-0.00256051,-0.04517310,-0.33349288,0.04551116,0.06048219,0.00930303,-0.00436380,-0.32285697
0.130000,0.52471658,-0.10839775,1.38231166,-0.00944007,1.61375337,0.44526479,-0.05446262,0.00634437,0.00939801,0.00130043,-0.00256784,-0.04810865,-0.25587142,0.03875686,0.04798888,0.00788237,0.00297118,-0.26341835
0.140000,0.52416052,-0.10833249,1.38240782,-0.00942670,1.61372797,0.44477158,-0.05661180,0.00669625,0.00981179,0.00137170,-0.00249988,-0.05042808,-0.17334960,0.03156795,0.03466131,0.00635962,0.01066675,-0.19996460
0.150000,0.52358715,-0.10826407,1.38250744,-0.00941269,1.61370363,0.44425839,-0.05792136,0.00697513,0.01008978,0.00142745,-0.00235390,-0.05210118,-0.08835248,0.02419901,0.02089876,0.00478529,0.01854640,-0.13448184
0.160000,0.52300494,-0.10819323,1.38260915,-0.00939820,1.61368115,0.44373175,-0.05837868,0.00718048,0.01022964,0.00146741,-0.00212893,-0.05311758,-0.00330510,0.01690459,0.00710048,0.00320990,0.02643359,-0.06895617
