t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,qdd1_rad_s2,qdd2_rad_s2,qdd3_rad_s2,qdd4_rad_s2,qdd5_rad_s2,qdd6_rad_s2
0.000000,0.51190265,-0.09940431,1.38487629,-0.00837795,1.62052489,0.41634008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.010000,0.51190248,-0.09940315,1.38487597,-0.00837780,1.62052569,0.41633758,-0.00005053,0.00034293,-0.00009452,0.00004401,0.00023465,-0.00073765,-0.00985613,0.06633636,-0.01827452,0.00851469,0.04538732,-0.14276302
0.020000,0.51190133,-0.09939546,1.38487386,-0.00837682,1.62053095,0.41632103,-0.00019225,0.00128332,-0.00035334,0.00016473,0.00087795,-0.00276318,-0.01825002,0.11965035,-0.03290510,0.01536032,0.08183688,-0.25790304
0.030000,0.51189838,-0.09937591,1.38486848,-0.00837431,1.62054432,0.41627891,-0.00041090,0.00269566,-0.00074137,0.00034606,0.00184376,-0.00581020,-0.02525464,0.16088322,-0.04415902,0.02065734,0.10999662,-0.34738878
0.040000,0.51189291,-0.09934037,1.38485871,-0.00836974,1.62056863,0.41620225,-0.00069295,0.00446385,-0.00122616,0.00057312,0.00305241,-0.00963201,-0.03094295,0.19097621,-0.05230358,0.02452623,0.13051448,-0.41318893
0.050000,0.51188435,-0.09928581,1.38484373,-0.00836274,1.62060593,0.41608445,-0.00102561,0.00648119,-0.00177797,0.00083222,0.00443074,-0.01400159,-0.03538792,0.21087058,-0.05760608,0.02708747,0.14403842,-0.45727219
0.060000,0.51187226,-0.09921024,1.38482301,-0.00835303,1.62065759,0.41592108,-0.00139681,0.00865040,-0.00236970,0.00111091,0.00591203,-0.01871162,-0.03866253,0.22150758,-0.06033381,0.02846151,0.15121638,-0.48160727
0.070000,0.51185632,-0.09911259,1.38479629,-0.00834049,1.62072432,0.41570971,-0.00179521,0.01088362,-0.00297695,0.00139790,0.00743607,-0.02357447,-0.04083974,0.22382845,-0.06075406,0.02876884,0.15269630,-0.48816287
0.080000,0.51183631,-0.09899261,1.38476350,-0.00832508,1.62080627,0.41544965,-0.00221019,0.01310239,-0.00357798,0.00168313,0.00894912,-0.02842218,-0.04199252,0.21877445,-0.05913414,0.02812993,0.14912613,-0.47890770
0.090000,0.51181210,-0.09885082,1.38472481,-0.00830686,1.62090310,0.41514181,-0.00263189,0.01523767,-0.00415372,0.00195775,0.01040392,-0.03310648,-0.04219385,0.20728682,-0.05574133,0.02666524,0.14115381,-0.45581045
0.100000,0.51178368,-0.09868834,1.38468056,-0.00828599,1.62101402,0.41478849,-0.00305114,0.01722982,-0.00468779,0.00221409,0.01175968,-0.03749881,-0.04151669,0.19030682,-0.05084293,0.02449525,0.12942729,-0.42083983
0.110000,0.51175111,-0.09850687,1.38463124,-0.00826266,1.62113785,0.41439317,-0.00345953,0.01902863,-0.00516645,0.00244570,0.01298211,-0.04149027,-0.04003401,0.16877569,-0.04470625,0.02174043,0.11459452,-0.37596454
0.120000,0.51171455,-0.09830855,1.38457745,-0.00823717,1.62127312,0.41396032,-0.00384938,0.02059330,-0.00557868,0.00264735,0.01404338,-0.04499165,-0.03781878,0.14363469,-0.03759856,0.01852124,0.09730344,-0.32315328
0.130000,0.51167421,-0.09809589,1.38451992,-0.00820983,1.62141811,0.41349521,-0.00421371,0.02189243,-0.00591608,0.00281498,0.01492214,-0.04793344,-0.03494397,0.11582506,-0.02978717,0.01495817,0.07820199,-0.26437476
0.140000,0.51163038,-0.09787166,1.38445940,-0.00818100,1.62157091,0.41300369,-0.00454630,0.02290404,-0.00617296,0.00294576,0.01560354,-0.05026581,-0.03148255,0.08628805,-0.02153937,0.01117168,0.05793813,-0.20159767
0.150000,0.51158341,-0.09763881,1.38439674,-0.00815104,1.62172949,0.41249203,-0.00484165,0.02361557,-0.00634630,0.00303807,0.01607919,-0.05195863,-0.02750749,0.05596492,-0.01312247,0.00728224,0.03715979,-0.13679073
0.160000,0.51153369,-0.09740036,1.38433276,-0.00812036,1.62189180,0.41196668,-0.00509498,0.02402386,-0.00643574,0.00309147,0.01634718,-0.05300142,-0.02309176,0.02579692,-0.00480374,0.00341033,0.01651492,-0.07192263
0.170000,0.51148166,-0.09715932,1.38426829,-0.00808934,1.62205576,0.41143413,-0.00530226,0.02413516,-0.00644360,0.00310674,0.01641210,-0.05340344,-0.01830833,-0.00327472,0.00314951,-0.00032359,-0.00334853,-0.00896207
0.180000,0.51142781,-0.09691859,1.38420414,-0.00805835,1.62221940,0.41090066,-0.00546017,0.02396516,-0.00637486,0.00308586,0.01628498,-0.05319359,-0.01323016,-0.03030873,0.01046998,-0.00379904,-0.02178261,0.05012224
0.190000,0.51137263,-0.09668087,1.38414103,-0.00802773,1.62238088,0.41037214,-0.00556612,0.02353892,-0.00623720,0.00303202,0.01598337,-0.05242048,-0.00793024,-0.05436387,0.01689039,-0.00689555,-0.03813939,0.10336159
0.200000,0.51131666,-0.09644856,1.38407959,-0.00799781,1.62253856,0.40985390,-0.00561828,0.02289095,-0.00604094,0.00294961,0.01553128,-0.05115240,-0.00248152,-0.07449889,0.02214343,-0.00949266,-0.05177092,0.14878730
0.210000,0.51126045,-0.09622365,1.38402036,-0.00796882,1.62269110,0.40935046,-0.00561550,0.02206460,-0.00579895,0.00284416,0.01495881,-0.04947623,0.00304291,-0.08999140,0.02602601,-0.01149781,-0.06218092,0.18487388
