tau,distance_m,nearest_link,surface_density,forecast_radius
0.000000,0.094438657,left_link,medium,0.151070058
0.040000,0.094445307,left_link,medium,0.151070058
0.080000,0.094479685,left_link,medium,0.151070058
0.120000,0.094542511,left_link,medium,0.151070058
0.160000,0.094617264,left_link,medium,0.151070058
0.200000,0.094682904,left_link,medium,0.151070058
0.240000,0.094727232,left_link,medium,0.151070058
0.280000,0.094756167,left_link,medium,0.151070058
0.320000,0.094789195,left_link,medium,0.151070058
0.360000,0.094848592,left_link,medium,0.151070058
0.400000,0.094947930,left_link,medium,0.151070058
0.440000,0.095080634,left_link,medium,0.151070058
0.480000,0.095215132,left_link,medium,0.151070058
0.520000,0.095306948,left_link,medium,0.151070058
0.560000,0.095317578,left_link,medium,0.151070058
0.600000,0.095233772,left_link,medium,0.151070058
0.640000,0.095086446,left_link,medium,0.151070058
0.680000,0.094956239,left_link,medium,0.151070058
0.720000,0.094944978,left_link,medium,0.151070058
0.760000,0.095133763,left_link,medium,0.151070058
0.800000,0.095540464,left_link,medium,0.151070058
0.840000,0.096078231,left_link,medium,0.151070058
0.880000,0.096548774,left_link,medium,0.151070058
0.920000,0.096725487,left_link,medium,0.151070058
0.960000,0.096472947,left_link,medium,0.151070058
1.000000,0.095868033,left_link,medium,0.151070058
